image_id,building_id,cohort,panel,model,arm,horizon,reference_allowed,medoid_reference_error
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,B,ALL,7,True,1.008697477134712
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,B,ALL,8,True,0.9942395582755055
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,B,ALL,10,True,0.9988652452609572
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,B,ALL,13,True,1.0127486105271577
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,B,ALL,24,True,1.0459691370371182
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,B,G2,7,True,0.9996717321709441
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,B,G2,8,True,1.0024077015569934
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,B,G2,10,True,1.0151674505460606
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,B,G2,13,True,1.0367178913294324
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,B,G2,20,True,1.0459691370371182
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,B,MIX,7,True,1.0386315754249666
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,B,MIX,8,True,1.044403314818438
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,Q,ALL,7,True,1.008697477134712
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,Q,ALL,8,True,0.9942395582755055
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,Q,ALL,10,True,0.9988652452609572
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,Q,ALL,13,True,1.0127486105271577
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,Q,ALL,24,True,1.0459691370371182
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,QB,ALL,7,True,1.008697477134712
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,QB,ALL,8,True,0.9942395582755055
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,QB,ALL,10,True,0.9988652452609572
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,QB,ALL,13,True,1.0127486105271577
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,QB,ALL,24,True,1.0459691370371182
