variant,cohort,panel,model,repeat,workers,half_support,left_status,right_status,status,ari
primary,all26,native,Q,0,25,full_requirement,singleton_rejected,singleton_rejected,unavailable,
primary,all26,native,T,0,23,full_requirement,usable,usable,usable,0.8257575757575758
primary,all26,native,S,0,0,full_requirement,insufficient_workers,insufficient_workers,unavailable,
primary,all26,native,B,0,26,full_requirement,usable,usable,usable,-0.05568445475638049
primary,all26,native,QT,0,23,full_requirement,singleton_rejected,singleton_rejected,unavailable,
primary,all26,native,QS,0,0,full_requirement,insufficient_workers,insufficient_workers,unavailable,
primary,all26,native,QB,0,25,full_requirement,singleton_rejected,singleton_rejected,unavailable,
primary,all26,native,TS,0,0,full_requirement,insufficient_workers,insufficient_workers,unavailable,
primary,all26,native,TB,0,23,full_requirement,usable,usable,usable,0.6050401427297056
primary,all26,native,SB,0,0,full_requirement,insufficient_workers,insufficient_workers,unavailable,
primary,all26,native,QTS,0,0,full_requirement,insufficient_workers,insufficient_workers,unavailable,
primary,all26,native,QTB,0,23,full_requirement,singleton_rejected,singleton_rejected,unavailable,
primary,all26,native,QSB,0,0,full_requirement,insufficient_workers,insufficient_workers,unavailable,
primary,all26,native,TSB,0,0,full_requirement,insufficient_workers,insufficient_workers,unavailable,
primary,all26,native,QTSB,0,0,full_requirement,insufficient_workers,insufficient_workers,unavailable,
primary,all26,native,Q_median2,0,25,full_requirement,usable,usable,usable,0.23878205128205124
primary,all26,common,Q,0,0,full_requirement,insufficient_workers,insufficient_workers,unavailable,
primary,all26,common,T,0,0,full_requirement,insufficient_workers,insufficient_workers,unavailable,
primary,all26,common,S,0,0,full_requirement,insufficient_workers,insufficient_workers,unavailable,
primary,all26,common,B,0,0,full_requirement,insufficient_workers,insufficient_workers,unavailable,
primary,all26,common,QT,0,0,full_requirement,insufficient_workers,insufficient_workers,unavailable,
primary,all26,common,QS,0,0,full_requirement,insufficient_workers,insufficient_workers,unavailable,
primary,all26,common,QB,0,0,full_requirement,insufficient_workers,insufficient_workers,unavailable,
primary,all26,common,TS,0,0,full_requirement,insufficient_workers,insufficient_workers,unavailable,
primary,all26,common,TB,0,0,full_requirement,insufficient_workers,insufficient_workers,unavailable,
primary,all26,common,SB,0,0,full_requirement,insufficient_workers,insufficient_workers,unavailable,
primary,all26,common,QTS,0,0,full_requirement,insufficient_workers,insufficient_workers,unavailable,
primary,all26,common,QTB,0,0,full_requirement,insufficient_workers,insufficient_workers,unavailable,
