cohort,panel,model,config,horizon,k,comparison,bound,images,buildings,G1,ALL,G2,MIX
all26,common,B,ospa30_t6,7,2,G1|ALL,lower,1,1,0.02,0.0,,
all26,common,B,ospa30_t6,7,2,G1|ALL,upper,1,1,0.65,0.775,,
all26,common,B,ospa30_t6,7,2,G2|ALL,lower,28,11,,0.2910606060606061,0.3674621212121212,
all26,common,B,ospa30_t6,7,2,G2|ALL,upper,28,11,,0.7160606060606061,0.7776515151515152,
all26,common,B,ospa30_t6,7,2,MIX|ALL,lower,27,11,,0.25060606060606055,,0.0865909090909091
all26,common,B,ospa30_t6,7,2,MIX|ALL,upper,27,11,,0.6910606060606062,,0.607840909090909
all26,common,B,ospa30_t6,7,2,G1|G2|MIX|ALL,lower,1,1,0.02,0.0,0.0,0.0
all26,common,B,ospa30_t6,7,2,G1|G2|MIX|ALL,upper,1,1,0.65,0.775,0.72,0.88
all26,common,B,ospa30_t6,8,2,G1|ALL,lower,1,1,0.015,0.0,,
all26,common,B,ospa30_t6,8,2,G1|ALL,upper,1,1,0.26,0.45,,
all26,common,B,ospa30_t6,8,2,G2|ALL,lower,28,11,,0.2665530303030303,0.3453787878787879,
all26,common,B,ospa30_t6,8,2,G2|ALL,upper,28,11,,0.5054545454545455,0.5891287878787878,
all26,common,B,ospa30_t6,8,2,MIX|ALL,lower,27,11,,0.224280303030303,,0.009318181818181817
all26,common,B,ospa30_t6,8,2,MIX|ALL,upper,27,11,,0.47068181818181826,,0.25803030303030305
all26,common,B,ospa30_t6,8,2,G1|G2|MIX|ALL,lower,1,1,0.015,0.0,0.0,0.0
all26,common,B,ospa30_t6,8,2,G1|G2|MIX|ALL,upper,1,1,0.26,0.45,0.38,0.515
all26,common,B,ospa30_t6,8,3,G1|ALL,lower,1,1,0.015,0.0,,
all26,common,B,ospa30_t6,8,3,G1|ALL,upper,1,1,0.26,0.465,,
all26,common,B,ospa30_t6,8,3,G2|ALL,lower,28,11,,0.2665530303030303,0.3453787878787879,
all26,common,B,ospa30_t6,8,3,G2|ALL,upper,28,11,,0.5207575757575758,0.6035984848484847,
all26,common,B,ospa30_t6,8,3,MIX|ALL,lower,27,11,,0.224280303030303,,0.009318181818181817
all26,common,B,ospa30_t6,8,3,MIX|ALL,upper,27,11,,0.4907575757575758,,0.27397727272727274
all26,common,B,ospa30_t6,8,3,G1|G2|MIX|ALL,lower,1,1,0.015,0.0,0.0,0.0
all26,common,B,ospa30_t6,8,3,G1|G2|MIX|ALL,upper,1,1,0.26,0.465,0.38,0.52
all26,common,B,ospa30_t6,10,2,G1|ALL,lower,1,1,0.005,0.0,,
all26,common,B,ospa30_t6,10,2,G1|ALL,upper,1,1,0.015,0.045,,
