cohort,model,label,n,worker_ids,quality_effect_mean,time_effect_mean,scope_reject_effect_mean,scope_accept_effect_mean,edit_effect_mean,benefit_effect_mean,in_scope_error_person_mean,in_scope_responses,oos_error_person_mean,oos_responses,control_natural_unchanged_person_mean,control_natural_gain_person_median_mean,recovered_c1_import_unchanged_person_mean,recovered_c1_import_gain_person_median_mean,trap_natural_unchanged_person_mean,trap_natural_gain_person_median_mean,trap_synthetic_disjoint_source_unchanged_person_mean,trap_synthetic_disjoint_source_gain_person_median_mean
all26,B,1,4,6|11|19|21,1.5016336629191849,-0.9743776133256852,-0.034940984940985,-0.1004273504273504,-2.9209140192579195,-2.172656596649521,0.14285714285714285,112,0.3055555555555556,36,0.5416666666666667,-0.6491756420275555,0.875,0.0,0.5833333333333334,-0.1714959999116652,0.45833333333333337,1.393798368030441
all26,B,2,20,1|2|8|10|12|13|15|17|18|27|28|29|30|31|32|33|34|35|36|37,-0.6632102094489158,0.19487552266513702,-0.006369556369556342,0.010683760683760668,0.8621827939382708,0.4966950968094686,0.17142857142857143,560,0.41666666666666663,180,0.39166666666666666,-0.41717046479192926,0.2975,-5.734303697598185,0.025,7.9454438395428,0.075,5.45659071006399
all26,Q_median2,1,12,1|2|6|8|11|15|17|18|21|27|28|33,-1.6562917998498883,-0.025639548498349946,-0.0766076516076516,-0.07264957264957263,-0.7000321985067258,0.5086041602671542,0.10119047619047618,336,0.3333333333333333,108,0.5833333333333334,-0.18961143070358474,0.509090909090909,-3.6857104177438984,0.19444444444444445,6.983485309430653,0.2222222222222222,4.640980514781418
all26,Q_median2,2,12,10|12|13|19|29|30|31|32|34|35|36|37,1.0514860050747574,0.025639548498349974,0.05434472934472936,0.056980056980056974,1.1633655153178708,-0.4049978644678804,0.23214285714285712,336,0.46296296296296297,108,0.25000000000000006,-0.7220645579588157,0.19090909090909092,-6.740296305161894,0.041666666666666664,6.20175575650346,0.05555555555555555,4.9179367913353795
all26,S,1,9,1|2|11|19|27|32|33|35|36,-0.06694617238192335,0.2286176344218505,-0.04287749287749286,-0.29487179487179493,0.057247019597153455,-0.34643079993672377,0.1349206349206349,252,0.1111111111111111,81,0.4074074074074074,-0.6889306796132183,0.425,-5.021208875357238,0.14814814814814817,5.968256343964563,0.14814814814814817,4.140299263149911
all26,S,2,15,6|8|10|12|13|15|17|18|21|28|29|30|31|34|37,-0.44367693239095124,-0.1371705806531103,0.007916157916157927,0.1643874643874644,0.33631844169062397,0.2907435166014533,0.1857142857142857,420,0.5703703703703702,135,0.4222222222222223,-0.3159823831619895,0.3071428571428571,-5.322600210650414,0.1,6.967239046368551,0.13333333333333333,5.162954287003491
all26,SB,1,4,6|11|19|21,1.5016336629191849,-0.9743776133256852,-0.034940984940985,-0.1004273504273504,-2.9209140192579195,-2.172656596649521,0.14285714285714285,112,0.3055555555555556,36,0.5416666666666667,-0.6491756420275555,0.875,0.0,0.5833333333333334,-0.1714959999116652,0.45833333333333337,1.393798368030441
all26,SB,2,20,1|2|8|10|12|13|15|17|18|27|28|29|30|31|32|33|34|35|36|37,-0.6632102094489158,0.19487552266513702,-0.006369556369556342,0.010683760683760668,0.8621827939382708,0.4966950968094686,0.17142857142857143,560,0.41666666666666663,180,0.39166666666666666,-0.41717046479192926,0.2975,-5.734303697598185,0.025,7.9454438395428,0.075,5.45659071006399
all26,T,1,10,1|2|6|10|12|13|17|19|21|30,0.0289795148507787,-0.8063825934047735,-0.017083842083842078,-0.05042735042735038,-0.06284891851471253,-0.28134239584975906,0.1607142857142857,280,0.3555555555555556,90,0.3833333333333333,-0.6060845754321564,0.3125,-7.572661445364791,0.15,5.522068270055165,0.16666666666666666,4.2823607926108185
all26,T,2,14,8|11|15|18|27|28|29|31|32|33|34|35|36|37,-0.5391046204149544,0.5759875667176952,-0.0068797604511890076,0.022588522588522557,0.4420349276343476,0.28976425057777694,0.17091836734693877,392,0.42857142857142855,126,0.4404761904761905,-0.34851900783051726,0.37142857142857144,-3.8646273135032416,0.09523809523809525,7.357300720761265,0.11904761904761905,5.134528553378099
all26,TB,1,11,1|2|6|10|11|12|13|17|19|21|30,-0.08210251571794401,-0.7287282979756793,-0.012213712213712213,-0.06254856254856254,-0.49916457934215347,-0.5030071837751783,0.16558441558441556,308,0.3434343434343435,99,0.4242424242424242,-0.5509859776655968,0.3888888888888889,-6.731254618102037,0.22727272727272727,5.020062063686513,0.2424242424242424,3.8930552660098345
all26,TB,2,13,8|15|18|27|28|29|31|32|33|34|35|36|37,-0.48881091264647647,0.616616252133267,-0.010215710215710197,0.03846153846153844,0.8500623211151868,0.5212580439321729,0.1675824175824176,364,0.4444444444444444,117,0.4102564102564103,-0.3753281622790186,0.3230769230769231,-4.161906337618875,0.02564102564102564,7.923246930050592,0.05128205128205128,5.529492288253338
all26,TS,1,9,1|2|6|10|12|13|17|19|21,-0.007427120838566016,-0.8546418170566277,-0.08652828652828656,-0.04795821462488127,-0.2839861130687419,-0.3797101500987712,0.09126984126984126,252,0.3580246913580247,81,0.4259259259259259,-0.6195346813407482,0.35714285714285715,-7.202445837618385,0.16666666666666666,5.300619743465136,0.18518518518518517,4.1178128608044915
all26,TS,2,15,8|11|15|18|27|28|29|30|31|32|33|34|35|36|37,-0.4793883633169656,0.5127850902339766,0.034106634106634164,0.01623931623931622,0.5410583212901611,0.31071112669868184,0.2119047619047619,420,0.4222222222222222,135,0.41111111111111115,-0.3576199821254715,0.3466666666666667,-4.2845968725756665,0.08888888888888889,7.367821006668208,0.11111111111111112,5.176446128410744
all26,TSB,1,12,1|2|6|10|11|12|13|17|19|21|31|34,-0.036609158285803134,-0.5992548324483701,-0.08851241351241355,0.03846153846153838,-0.08998807314458945,-0.7130009406325509,0.08928571428571429,336,0.4444444444444445,108,0.38888888888888884,-0.6530832244541246,0.35,-6.461498766502819,0.20833333333333334,5.074366512894087,0.2222222222222222,3.9942532533172823
all26,TSB,2,12,8|15|18|27|28|29|30|32|33|35|36|37,-0.5681966364893284,0.59925483244837,0.06624949124949131,-0.05413105413105406,0.5533213899557344,0.8166072364318246,0.24404761904761904,336,0.35185185185185186,108,0.4444444444444445,-0.2585927642082759,0.35000000000000003,-4.172590523911293,0.027777777777777776,8.110874553040025,0.05555555555555555,5.564664052799515
current20,B,1,12,2|6|8|10|11|13|15|17|28|32|33|36,-0.6055002299567435,0.029248168590742835,-0.04642857142857146,-0.06666666666666667,-1.312248484893171,0.5897435773522223,0.14285714285714282,336,0.36111111111111116,108,0.5694444444444445,-0.09339197262816368,0.5375,-4.020165061357296,0.18055555555555555,7.5795746017902355,0.25,4.765020518141497
current20,B,2,8,1|12|29|30|31|34|35|37,0.9082503449351149,-0.043872252886114294,0.06964285714285726,0.09999999999999998,1.9683727273397564,-0.8846153660283332,0.25892857142857145,224,0.5277777777777778,72,0.10416666666666667,-0.9028382030375777,0.0625,-6.793021515872828,0.0,6.080651180981301,0.0,5.055056397372127
