cohort,axis,model,buildings,replicates,gain_lower,gain_upper,extra_over_Qmedian_lower,extra_over_Qmedian_upper
all26,benefit,B,12,1000,-0.055338368931254704,0.09114176129693205,-0.08899542531568552,0.06394703578100482
all26,benefit,Q,12,1000,0.0,0.0,-0.0624666686396876,-5.933709451334492e-05
all26,benefit,QB,12,1000,0.0,0.0,-0.0624666686396876,-5.933709451334492e-05
all26,benefit,QS,12,1000,0.0,0.0,-0.0624666686396876,-5.933709451334492e-05
all26,benefit,QSB,12,1000,0.0,0.0,-0.0624666686396876,-5.933709451334492e-05
all26,benefit,QT,12,1000,0.0,0.0,-0.0624666686396876,-5.933709451334492e-05
all26,benefit,QTB,12,1000,0.0,0.0,-0.0624666686396876,-5.933709451334492e-05
all26,benefit,QTS,12,1000,0.0,0.0,-0.0624666686396876,-5.933709451334492e-05
all26,benefit,QTSB,12,1000,0.0,0.0,-0.0624666686396876,-5.933709451334492e-05
all26,benefit,Q_median2,12,1000,5.933709451338501e-05,0.06246666863968747,0.0,0.0
all26,benefit,S,12,1000,-0.03307610707510624,0.0056797087016379946,-0.08788456080581558,0.00026620681776737466
all26,benefit,SB,12,1000,-0.04480610456755804,0.11483022700022598,-0.07337257335791054,0.0673035748363616
all26,benefit,T,12,1000,-0.030092008484823178,0.012049808216155667,-0.07902942277294538,0.004504452857066709
all26,benefit,TB,12,1000,-0.03178297999888937,0.10249578568727817,-0.08200693923457492,0.07984131194657475
all26,benefit,TS,12,1000,-0.02223812246883896,0.011747096770611903,-0.07595425021606055,0.0033138218430235214
all26,benefit,TSB,12,1000,-0.03625759543690071,0.0657369113257174,-0.06314732447017701,0.025674923536474166
all26,edit,B,12,1000,0.03436724144453533,0.23055378977620103,-0.09966992584435279,0.1744370499817886
all26,edit,Q,12,1000,0.0,0.0,-0.1453996289535849,-0.05242341197176993
all26,edit,QB,12,1000,0.0,0.0,-0.1453996289535849,-0.05242341197176993
all26,edit,QS,12,1000,0.0,0.0,-0.1453996289535849,-0.05242341197176993
all26,edit,QSB,12,1000,0.0,0.0,-0.1453996289535849,-0.05242341197176993
all26,edit,QT,12,1000,0.0,0.0,-0.1453996289535849,-0.05242341197176993
all26,edit,QTB,12,1000,0.0,0.0,-0.1453996289535849,-0.05242341197176993
all26,edit,QTS,12,1000,0.0,0.0,-0.1453996289535849,-0.05242341197176993
all26,edit,QTSB,12,1000,0.0,0.0,-0.1453996289535849,-0.05242341197176993
all26,edit,Q_median2,12,1000,0.0524234119717698,0.1453996289535848,0.0,0.0
all26,edit,S,12,1000,-0.003257788169050174,0.04203374137551796,-0.12653792725460028,-0.034700231608465075
all26,edit,SB,12,1000,0.016339024551478,0.2100321849192862,-0.09424967635117695,0.09931933229371721
all26,edit,T,12,1000,-0.005380390211249619,0.018212494328081863,-0.13590072122008987,-0.046678690595205505
all26,edit,TB,12,1000,0.026608553527900095,0.20599948694487008,-0.10035099257729312,0.13468483148058963
all26,edit,TS,12,1000,-0.005757263287061637,0.020729734303738444,-0.13780843889479177,-0.04234801267102391
all26,edit,TSB,12,1000,-0.02926328846556301,0.057846823159205335,-0.1664157987040881,-0.0032955672667149853
all26,quality,B,22,1000,-0.07455131260033102,0.0044282706646826,-0.12499789400809491,0.028499344919165844
all26,quality,Q,22,1000,0.0,0.0,-0.07884063883061748,0.04711608232091708
all26,quality,QB,22,1000,0.0,0.0,-0.07884063883061748,0.04711608232091708
all26,quality,QS,22,1000,0.0,0.0,-0.07884063883061748,0.04711608232091708
all26,quality,QSB,22,1000,0.0,0.0,-0.07884063883061748,0.04711608232091708
all26,quality,QT,22,1000,0.0,0.0,-0.07884063883061748,0.04711608232091708
all26,quality,QTB,22,1000,0.0,0.0,-0.07884063883061748,0.04711608232091708
all26,quality,QTS,22,1000,0.0,0.0,-0.07884063883061748,0.04711608232091708
all26,quality,QTSB,22,1000,0.0,0.0,-0.07884063883061748,0.04711608232091708
all26,quality,Q_median2,22,1000,-0.04711608232091723,0.07884063883061761,0.0,0.0
all26,quality,S,22,1000,-0.01147299396458663,0.004164263821879193,-0.08103802723582187,0.04019613919083997
all26,quality,SB,22,1000,-0.06509045422549332,0.03153958480092696,-0.10867663863284147,0.045955881848821385
all26,quality,T,22,1000,-0.014243992498722113,0.010374671183177569,-0.08395331385176022,0.04856731354377223
all26,quality,TB,22,1000,-0.02360809096564101,0.008132781971487051,-0.09308893032865674,0.042062728923813894
all26,quality,TS,22,1000,-0.013427945920403039,0.003740724393393592,-0.08421430143884963,0.0458357513435731
all26,quality,TSB,22,1000,-0.023470126269210162,0.007142846741432246,-0.08960068585382128,0.04165024116340789
all26,scope_accept,B,6,1000,-0.018747947889823046,0.014869937150838064,-0.04055364877287668,0.03274390941450789
all26,scope_accept,Q,6,1000,0.0,0.0,-0.04327104014883606,0.041664250927643816
all26,scope_accept,QB,6,1000,0.0,0.0,-0.04327104014883606,0.041664250927643816
all26,scope_accept,QS,6,1000,0.0,0.0,-0.04327104014883606,0.041664250927643816
all26,scope_accept,QSB,6,1000,0.0,0.0,-0.04327104014883606,0.041664250927643816
all26,scope_accept,QT,6,1000,0.0,0.0,-0.04327104014883606,0.041664250927643816
all26,scope_accept,QTB,6,1000,0.0,0.0,-0.04327104014883606,0.041664250927643816
all26,scope_accept,QTS,6,1000,0.0,0.0,-0.04327104014883606,0.041664250927643816
all26,scope_accept,QTSB,6,1000,0.0,0.0,-0.04327104014883606,0.041664250927643816
all26,scope_accept,Q_median2,6,1000,-0.04166425092764392,0.04327104014883609,0.0,0.0
