variant,cohort,panel,model,half_support,attempts,valid,ari_median,shared_workers_median
ospa60,all26,common,B,full_requirement,100,0,,0.0
ospa60,all26,common,B,half_diagnostic,100,68,0.36770046898841,24.0
ospa60,all26,common,Q,full_requirement,100,0,,0.0
ospa60,all26,common,Q,half_diagnostic,100,0,,24.0
ospa60,all26,common,QB,full_requirement,100,0,,0.0
ospa60,all26,common,QB,half_diagnostic,100,0,,24.0
ospa60,all26,common,QS,full_requirement,100,0,,0.0
ospa60,all26,common,QS,half_diagnostic,100,0,,24.0
ospa60,all26,common,QSB,full_requirement,100,0,,0.0
ospa60,all26,common,QSB,half_diagnostic,100,0,,24.0
ospa60,all26,common,QT,full_requirement,100,0,,0.0
ospa60,all26,common,QT,half_diagnostic,100,0,,24.0
ospa60,all26,common,QTB,full_requirement,100,0,,0.0
ospa60,all26,common,QTB,half_diagnostic,100,0,,24.0
ospa60,all26,common,QTS,full_requirement,100,0,,0.0
ospa60,all26,common,QTS,half_diagnostic,100,0,,24.0
ospa60,all26,common,QTSB,full_requirement,100,0,,0.0
ospa60,all26,common,QTSB,half_diagnostic,100,0,,24.0
ospa60,all26,common,Q_median2,full_requirement,100,0,,0.0
ospa60,all26,common,Q_median2,half_diagnostic,100,69,0.2159090909090908,24.0
ospa60,all26,common,S,full_requirement,100,0,,0.0
ospa60,all26,common,S,half_diagnostic,100,68,-0.0067976093756283995,24.0
ospa60,all26,common,SB,full_requirement,100,0,,0.0
ospa60,all26,common,SB,half_diagnostic,100,69,0.0847174228068219,24.0
ospa60,all26,common,T,full_requirement,100,0,,0.0
ospa60,all26,common,T,half_diagnostic,100,69,0.6809583858764187,24.0
ospa60,all26,common,TB,full_requirement,100,0,,0.0
ospa60,all26,common,TB,half_diagnostic,100,69,0.1506154960173786,24.0
ospa60,all26,common,TS,full_requirement,100,0,,0.0
ospa60,all26,common,TS,half_diagnostic,100,69,0.4201680672268907,24.0
ospa60,all26,common,TSB,full_requirement,100,0,,0.0
ospa60,all26,common,TSB,half_diagnostic,100,69,0.1506154960173786,24.0
ospa60,all26,native,B,full_requirement,100,83,0.5636607742224211,26.0
ospa60,all26,native,B,half_diagnostic,100,100,0.6291012838801712,26.0
ospa60,all26,native,Q,full_requirement,100,0,,25.0
ospa60,all26,native,Q,half_diagnostic,100,4,0.0643521247393791,25.0
ospa60,all26,native,QB,full_requirement,100,0,,25.0
ospa60,all26,native,QB,half_diagnostic,100,2,0.2714714647635108,25.0
ospa60,all26,native,QS,full_requirement,100,0,,0.0
ospa60,all26,native,QS,half_diagnostic,100,8,0.0618101545253861,25.0
ospa60,all26,native,QSB,full_requirement,100,0,,0.0
ospa60,all26,native,QSB,half_diagnostic,100,4,0.1721092626822755,25.0
ospa60,all26,native,QT,full_requirement,100,0,,22.0
ospa60,all26,native,QT,half_diagnostic,100,0,,24.0
ospa60,all26,native,QTB,full_requirement,100,3,-0.1028869778869778,22.0
ospa60,all26,native,QTB,half_diagnostic,100,0,,24.0
ospa60,all26,native,QTS,full_requirement,100,0,,0.0
ospa60,all26,native,QTS,half_diagnostic,100,0,,24.0
ospa60,all26,native,QTSB,full_requirement,100,0,,0.0
ospa60,all26,native,QTSB,half_diagnostic,100,0,,24.0
ospa60,all26,native,Q_median2,full_requirement,100,100,0.2387820512820512,25.0
ospa60,all26,native,Q_median2,half_diagnostic,100,100,0.2387820512820512,25.0
ospa60,all26,native,S,full_requirement,100,0,,0.0
ospa60,all26,native,S,half_diagnostic,100,69,0.0124491261671054,26.0
ospa60,all26,native,SB,full_requirement,100,0,,0.0
ospa60,all26,native,SB,half_diagnostic,100,68,0.48321813844347455,26.0
ospa60,all26,native,T,full_requirement,100,100,0.8178438661710037,22.0
ospa60,all26,native,T,half_diagnostic,100,100,0.6809583858764187,24.0
ospa60,all26,native,TB,full_requirement,100,87,0.1791530944625408,22.0
ospa60,all26,native,TB,half_diagnostic,100,100,0.1506154960173786,24.0
ospa60,all26,native,TS,full_requirement,100,0,,0.0
ospa60,all26,native,TS,half_diagnostic,100,69,0.4201680672268907,24.0
ospa60,all26,native,TSB,full_requirement,100,0,,0.0
ospa60,all26,native,TSB,half_diagnostic,100,69,0.1506154960173786,24.0
ospa60,current20,common,B,full_requirement,100,0,,0.0
ospa60,current20,common,B,half_diagnostic,100,62,0.09402392984200869,20.0
ospa60,current20,common,Q,full_requirement,100,0,,0.0
ospa60,current20,common,Q,half_diagnostic,100,64,0.09709734581588125,20.0
ospa60,current20,common,QB,full_requirement,100,0,,0.0
ospa60,current20,common,QB,half_diagnostic,100,69,-0.0070671378091873,20.0
ospa60,current20,common,QS,full_requirement,100,0,,0.0
ospa60,current20,common,QS,half_diagnostic,100,66,0.0416805232235894,20.0
ospa60,current20,common,QSB,full_requirement,100,0,,0.0
ospa60,current20,common,QSB,half_diagnostic,100,68,0.1689468934289886,20.0
ospa60,current20,common,QT,full_requirement,100,0,,0.0
ospa60,current20,common,QT,half_diagnostic,100,69,0.326241134751773,20.0
ospa60,current20,common,QTB,full_requirement,100,0,,0.0
ospa60,current20,common,QTB,half_diagnostic,100,69,0.4629198536747589,20.0
ospa60,current20,common,QTS,full_requirement,100,0,,0.0
ospa60,current20,common,QTS,half_diagnostic,100,69,0.2122719734660033,20.0
ospa60,current20,common,QTSB,full_requirement,100,0,,0.0
ospa60,current20,common,QTSB,half_diagnostic,100,69,0.2976451259583789,20.0
ospa60,current20,common,Q_median2,full_requirement,100,0,,0.0
ospa60,current20,common,Q_median2,half_diagnostic,100,69,0.1133333333333334,20.0
ospa60,current20,common,S,full_requirement,100,0,,0.0
ospa60,current20,common,S,half_diagnostic,100,68,-0.0138628184476661,20.0
ospa60,current20,common,SB,full_requirement,100,0,,0.0
ospa60,current20,common,SB,half_diagnostic,100,64,-0.09275315579040515,20.0
ospa60,current20,common,T,full_requirement,100,0,,0.0
ospa60,current20,common,T,half_diagnostic,100,69,0.7999113180356945,20.0
ospa60,current20,common,TB,full_requirement,100,0,,0.0
ospa60,current20,common,TB,half_diagnostic,100,69,0.7999113180356945,20.0
ospa60,current20,common,TS,full_requirement,100,0,,0.0
ospa60,current20,common,TS,half_diagnostic,100,69,0.4643449419568823,20.0
ospa60,current20,common,TSB,full_requirement,100,0,,0.0
ospa60,current20,common,TSB,half_diagnostic,100,69,0.6208425720620843,20.0
ospa60,current20,native,B,full_requirement,100,76,0.01072961373390555,20.0
ospa60,current20,native,B,half_diagnostic,100,90,0.17220686376440403,20.0
ospa60,current20,native,Q,full_requirement,100,94,0.1152993348115299,20.0
ospa60,current20,native,Q,half_diagnostic,100,94,0.1152993348115299,20.0
ospa60,current20,native,QB,full_requirement,100,85,-0.0195640022358859,20.0
ospa60,current20,native,QB,half_diagnostic,100,100,-0.0070671378091873,20.0
ospa60,current20,native,QS,full_requirement,100,0,,0.0
ospa60,current20,native,QS,half_diagnostic,100,66,0.0416805232235894,20.0
ospa60,current20,native,QSB,full_requirement,100,0,,0.0
ospa60,current20,native,QSB,half_diagnostic,100,68,0.17154549241092196,20.0
ospa60,current20,native,QT,full_requirement,100,100,0.3028915186904705,19.0
ospa60,current20,native,QT,half_diagnostic,100,100,0.3275080190244441,20.0
ospa60,current20,native,QTB,full_requirement,100,88,0.591386514719848,19.0
ospa60,current20,native,QTB,half_diagnostic,100,100,0.4629198536747589,20.0
ospa60,current20,native,QTS,full_requirement,100,0,,0.0
ospa60,current20,native,QTS,half_diagnostic,100,69,0.2122719734660033,20.0
ospa60,current20,native,QTSB,full_requirement,100,0,,0.0
ospa60,current20,native,QTSB,half_diagnostic,100,69,0.2976451259583789,20.0
ospa60,current20,native,Q_median2,full_requirement,100,100,0.21888888888888894,20.0
ospa60,current20,native,Q_median2,half_diagnostic,100,100,0.21888888888888894,20.0
ospa60,current20,native,S,full_requirement,100,0,,0.0
ospa60,current20,native,S,half_diagnostic,100,68,-0.01163151731143715,20.0
ospa60,current20,native,SB,full_requirement,100,0,,0.0
ospa60,current20,native,SB,half_diagnostic,100,64,-0.0966810966810968,20.0
ospa60,current20,native,T,full_requirement,100,100,0.7891491985203453,19.0
ospa60,current20,native,T,half_diagnostic,100,100,0.7999113180356945,20.0
ospa60,current20,native,TB,full_requirement,100,87,0.7891491985203453,19.0
ospa60,current20,native,TB,half_diagnostic,100,100,0.7999113180356945,20.0
ospa60,current20,native,TS,full_requirement,100,0,,0.0
ospa60,current20,native,TS,half_diagnostic,100,69,0.4643449419568823,20.0
ospa60,current20,native,TSB,full_requirement,100,0,,0.0
ospa60,current20,native,TSB,half_diagnostic,100,69,0.6208425720620843,20.0
primary,all26,common,B,full_requirement,100,0,,0.0
primary,all26,common,B,half_diagnostic,100,69,-0.021411578112609,24.0
primary,all26,common,Q,full_requirement,100,0,,0.0
primary,all26,common,Q,half_diagnostic,100,0,,24.0
primary,all26,common,QB,full_requirement,100,0,,0.0
primary,all26,common,QB,half_diagnostic,100,0,,24.0
primary,all26,common,QS,full_requirement,100,0,,0.0
primary,all26,common,QS,half_diagnostic,100,0,,24.0
primary,all26,common,QSB,full_requirement,100,0,,0.0
primary,all26,common,QSB,half_diagnostic,100,0,,24.0
primary,all26,common,QT,full_requirement,100,0,,0.0
primary,all26,common,QT,half_diagnostic,100,0,,24.0
primary,all26,common,QTB,full_requirement,100,0,,0.0
primary,all26,common,QTB,half_diagnostic,100,0,,24.0
primary,all26,common,QTS,full_requirement,100,0,,0.0
primary,all26,common,QTS,half_diagnostic,100,0,,24.0
primary,all26,common,QTSB,full_requirement,100,0,,0.0
primary,all26,common,QTSB,half_diagnostic,100,0,,24.0
primary,all26,common,Q_median2,full_requirement,100,0,,0.0
primary,all26,common,Q_median2,half_diagnostic,100,69,0.2159090909090908,24.0
primary,all26,common,S,full_requirement,100,0,,0.0
primary,all26,common,S,half_diagnostic,100,68,-0.0067976093756283995,24.0
primary,all26,common,SB,full_requirement,100,0,,0.0
primary,all26,common,SB,half_diagnostic,100,69,-0.0518068436200831,24.0
primary,all26,common,T,full_requirement,100,0,,0.0
primary,all26,common,T,half_diagnostic,100,69,0.6809583858764187,24.0
primary,all26,common,TB,full_requirement,100,0,,0.0
primary,all26,common,TB,half_diagnostic,100,69,0.2261280440313619,24.0
primary,all26,common,TS,full_requirement,100,0,,0.0
primary,all26,common,TS,half_diagnostic,100,69,0.4201680672268907,24.0
primary,all26,common,TSB,full_requirement,100,0,,0.0
primary,all26,common,TSB,half_diagnostic,100,69,0.3052464228934816,24.0
primary,all26,native,B,full_requirement,100,84,0.0,26.0
primary,all26,native,B,half_diagnostic,100,100,0.4343548997351494,26.0
primary,all26,native,Q,full_requirement,100,0,,25.0
primary,all26,native,Q,half_diagnostic,100,3,-0.0574018126888217,25.0
primary,all26,native,QB,full_requirement,100,2,0.16879846032009133,25.0
primary,all26,native,QB,half_diagnostic,100,4,0.0309546165884194,25.0
primary,all26,native,QS,full_requirement,100,0,,0.0
primary,all26,native,QS,half_diagnostic,100,7,0.0618101545253861,25.0
primary,all26,native,QSB,full_requirement,100,0,,0.0
primary,all26,native,QSB,half_diagnostic,100,6,0.0809981515711644,25.0
primary,all26,native,QT,full_requirement,100,0,,22.0
primary,all26,native,QT,half_diagnostic,100,0,,24.0
primary,all26,native,QTB,full_requirement,100,1,-0.0288808664259927,22.0
primary,all26,native,QTB,half_diagnostic,100,0,,24.0
primary,all26,native,QTS,full_requirement,100,0,,0.0
primary,all26,native,QTS,half_diagnostic,100,0,,24.0
primary,all26,native,QTSB,full_requirement,100,0,,0.0
primary,all26,native,QTSB,half_diagnostic,100,0,,24.0
primary,all26,native,Q_median2,full_requirement,100,100,0.2387820512820512,25.0
primary,all26,native,Q_median2,half_diagnostic,100,100,0.2387820512820512,25.0
primary,all26,native,S,full_requirement,100,0,,0.0
primary,all26,native,S,half_diagnostic,100,69,0.0124491261671054,26.0
primary,all26,native,SB,full_requirement,100,0,,0.0
primary,all26,native,SB,half_diagnostic,100,69,-0.0068846815834767,26.0
primary,all26,native,T,full_requirement,100,100,0.8178438661710037,22.0
primary,all26,native,T,half_diagnostic,100,100,0.6809583858764187,24.0
primary,all26,native,TB,full_requirement,100,89,0.1791530944625408,22.0
primary,all26,native,TB,half_diagnostic,100,100,0.2261280440313619,24.0
primary,all26,native,TS,full_requirement,100,0,,0.0
primary,all26,native,TS,half_diagnostic,100,69,0.4201680672268907,24.0
primary,all26,native,TSB,full_requirement,100,0,,0.0
primary,all26,native,TSB,half_diagnostic,100,69,0.3052464228934816,24.0
primary,current20,common,B,full_requirement,100,0,,0.0
primary,current20,common,B,half_diagnostic,100,68,-0.0457948040510788,20.0
primary,current20,common,Q,full_requirement,100,0,,0.0
primary,current20,common,Q,half_diagnostic,100,37,0.1078814980435998,20.0
primary,current20,common,QB,full_requirement,100,0,,0.0
primary,current20,common,QB,half_diagnostic,100,64,0.32687457688810856,20.0
primary,current20,common,QS,full_requirement,100,0,,0.0
primary,current20,common,QS,half_diagnostic,100,35,-0.0070671378091873,20.0
primary,current20,common,QSB,full_requirement,100,0,,0.0
primary,current20,common,QSB,half_diagnostic,100,64,0.2212263635369986,20.0
primary,current20,common,QT,full_requirement,100,0,,0.0
