image_id,building_id,cohort,panel,model,arm,config,horizon,earliest_possible,earliest_confirmed,status
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,QS,ALL,ospa30_t6,24,8.0,8.0,confirmed_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,QS,ALL,q95,7,,,not_reached_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,QS,ALL,q95,8,,,not_reached_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,QS,ALL,q95,10,5.0,5.0,confirmed_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,QS,ALL,q95,13,6.0,6.0,confirmed_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,QS,ALL,q95,24,8.0,8.0,confirmed_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,QSB,ALL,ospa30_t6,7,,,not_reached_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,QSB,ALL,ospa30_t6,8,,,not_reached_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,QSB,ALL,ospa30_t6,10,5.0,5.0,confirmed_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,QSB,ALL,ospa30_t6,13,6.0,6.0,confirmed_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,QSB,ALL,ospa30_t6,24,8.0,8.0,confirmed_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,QSB,ALL,q95,7,,,not_reached_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,QSB,ALL,q95,8,,,not_reached_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,QSB,ALL,q95,10,5.0,5.0,confirmed_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,QSB,ALL,q95,13,6.0,6.0,confirmed_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,QSB,ALL,q95,24,8.0,8.0,confirmed_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,QT,ALL,ospa30_t6,7,,,not_reached_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,QT,ALL,ospa30_t6,8,,,not_reached_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,QT,ALL,ospa30_t6,10,5.0,5.0,confirmed_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,QT,ALL,ospa30_t6,13,6.0,6.0,confirmed_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,QT,ALL,ospa30_t6,24,8.0,8.0,confirmed_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,QT,ALL,q95,7,,,not_reached_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,QT,ALL,q95,8,,,not_reached_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,QT,ALL,q95,10,5.0,5.0,confirmed_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,QT,ALL,q95,13,6.0,6.0,confirmed_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,QT,ALL,q95,24,8.0,8.0,confirmed_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,QTB,ALL,ospa30_t6,7,,,not_reached_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,QTB,ALL,ospa30_t6,8,,,not_reached_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,QTB,ALL,ospa30_t6,10,5.0,5.0,confirmed_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,QTB,ALL,ospa30_t6,13,6.0,6.0,confirmed_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,QTB,ALL,ospa30_t6,24,8.0,8.0,confirmed_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,QTB,ALL,q95,7,,,not_reached_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,QTB,ALL,q95,8,,,not_reached_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,QTB,ALL,q95,10,5.0,5.0,confirmed_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,QTB,ALL,q95,13,6.0,6.0,confirmed_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,QTB,ALL,q95,24,8.0,8.0,confirmed_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,QTS,ALL,ospa30_t6,7,,,not_reached_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,QTS,ALL,ospa30_t6,8,,,not_reached_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,QTS,ALL,ospa30_t6,10,5.0,5.0,confirmed_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,QTS,ALL,ospa30_t6,13,6.0,6.0,confirmed_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,QTS,ALL,ospa30_t6,24,8.0,8.0,confirmed_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,QTS,ALL,q95,7,,,not_reached_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,QTS,ALL,q95,8,,,not_reached_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,QTS,ALL,q95,10,5.0,5.0,confirmed_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,QTS,ALL,q95,13,6.0,6.0,confirmed_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,QTS,ALL,q95,24,8.0,8.0,confirmed_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,QTSB,ALL,ospa30_t6,7,,,not_reached_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,QTSB,ALL,ospa30_t6,8,,,not_reached_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,QTSB,ALL,ospa30_t6,10,5.0,5.0,confirmed_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,QTSB,ALL,ospa30_t6,13,6.0,6.0,confirmed_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,QTSB,ALL,ospa30_t6,24,8.0,8.0,confirmed_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,QTSB,ALL,q95,7,,,not_reached_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,QTSB,ALL,q95,8,,,not_reached_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,QTSB,ALL,q95,10,5.0,5.0,confirmed_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,QTSB,ALL,q95,13,6.0,6.0,confirmed_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,QTSB,ALL,q95,24,8.0,8.0,confirmed_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,Q_median2,ALL,ospa30_t6,7,,,not_reached_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,Q_median2,ALL,ospa30_t6,8,,,not_reached_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,Q_median2,ALL,ospa30_t6,10,5.0,5.0,confirmed_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,Q_median2,ALL,ospa30_t6,13,6.0,6.0,confirmed_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,Q_median2,ALL,ospa30_t6,24,8.0,8.0,confirmed_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,Q_median2,ALL,q95,7,,,not_reached_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,Q_median2,ALL,q95,8,,,not_reached_in_observed_range
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,all26,common,Q_median2,ALL,q95,10,5.0,5.0,confirmed_in_observed_range
