worker_id,current20_member,effect_time,lower_time,upper_time,label_time,informative_rows_time,informative_buildings_time,effect_error,lower_error,upper_error,label_error,informative_rows_error,informative_buildings_error,behavior_label,cohort
1,True,-0.706492412784398,-0.904870767007104,-0.5726236635616826,low,47.0,18.0,-0.7738954567592793,-1.2675676841804309,-0.19569271768037613,low,60,16,较快／参考偏差较低,all26
10,True,-0.4481132606033994,-0.5498107395572396,-0.3307546916532448,low,77.0,19.0,-0.36154068043199744,-1.3358228347399688,0.6624551502892744,uncertain,61,17,较快／参考偏差未分明,all26
11,True,0.0501837178864648,-0.0526171766794521,0.1846030799163973,uncertain,75.0,17.0,-1.088204248075266,-1.9701812472731304,-0.15365449117432015,low,62,16,速度未分明／参考偏差较低,all26
12,True,-0.8083170773502415,-0.9537309871326486,-0.6421493544546891,low,38.0,16.0,-0.03531498785405851,-0.7845065324507919,0.7275415200561511,uncertain,57,15,较快／参考偏差未分明,all26
13,True,-1.0476122662587344,-1.2539550530921169,-0.8535025090403834,low,77.0,19.0,-0.2237478872839131,-0.9811159374249953,0.5532813007217607,uncertain,59,17,较快／参考偏差未分明,all26
14,False,,,,unavailable,,,-0.00040310898103277244,-0.6430618713159627,0.8275123568879356,uncertain,53,12,无合格时间／参考偏差未分明,all26
15,True,0.4198437149798458,0.2131694542442649,0.6110151779128006,high,79.0,21.0,-1.652403290027344,-2.536650404857153,-0.4898600154619492,low,63,18,较慢／参考偏差较低,all26
17,True,-0.2565046807107554,-0.4581357501468097,-0.0625533062135149,low,73.0,17.0,-1.8321964921763272,-2.5664646912158835,-0.6435670285193947,low,57,15,较快／参考偏差较低,all26
18,False,0.0525203335643033,-0.1953006237415739,0.3826943865792883,uncertain,14.0,8.0,-2.292740918312504,-3.711622261238086,-0.9686389626322378,low,53,12,速度未分明／参考偏差较低,all26
19,False,-1.5853051037987946,-1.8904672603988304,-1.209618715619313,low,38.0,12.0,9.606160848878254,6.572018850660659,11.300827251687227,high,27,11,较快／参考偏差较高,all26
2,True,-0.481934383135464,-0.6738348369642347,-0.320369117145977,low,68.0,19.0,-4.543122844230596,-5.4100442400576725,-3.4283604965698173,low,53,14,较快／参考偏差较低,all26
21,False,-1.0582125463708123,-1.2491948666185864,-0.8405663601643988,low,39.0,12.0,-1.6768067132595008,-2.93089638337005,0.10763597808313162,uncertain,28,11,较快／参考偏差未分明,all26
27,False,1.0421076793153508,0.874507966068096,1.2377713942622404,high,66.0,12.0,-3.1143822328365047,-4.62241826662969,-2.0456703514401373,low,53,12,较慢／参考偏差较低,all26
28,True,0.6099377838639308,0.4248629209353652,0.7575068791276847,high,76.0,17.0,-0.5760350997268663,-1.2601930955533929,0.08341517805395186,uncertain,58,16,较慢／参考偏差未分明,all26
29,True,0.6222327730143529,0.4630604840306662,0.8015437689438761,high,75.0,18.0,0.589443508656021,-0.381130919047541,1.4207286192229964,uncertain,58,16,较慢／参考偏差未分明,all26
30,True,-0.3667048911441326,-0.4892203915171099,-0.1975483478706189,low,76.0,18.0,0.22465080887073482,-0.6489170765809762,1.4308856532674203,uncertain,61,16,较快／参考偏差未分明,all26
31,True,0.2744575959092797,0.1382142963664159,0.4425075006993963,high,31.0,17.0,-0.4090432562794517,-1.1167950054599844,0.5032930936648201,uncertain,68,19,较慢／参考偏差未分明,all26
32,True,0.7083482450308726,0.6107992177746326,0.8316513221678711,high,79.0,18.0,-0.05990590824249679,-0.765329128814397,0.8982446121782229,uncertain,65,17,较慢／参考偏差未分明,all26
33,True,0.8878873087776366,0.7315642590470323,1.0352728547282564,high,78.0,18.0,-1.0306205806457862,-1.761756170719514,-0.45338995052377024,low,63,17,较慢／参考偏差较低,all26
