cohort,source,target,target_available,rows,workers,buildings,contexts,record_mse_gain,building_mse_gain,buildings_improved
all26,P1,C1,541,466,17,13,87,0.4479475430971871,0.41148173538901267,11
all26,C1,C2-B,159,141,19,8,36,0.06519992357263193,-0.4818542372589576,4
all26,C1,C2-A-RP,80,41,19,7,20,-0.30348401257455393,-0.0944169227374505,5
current20,P1,C1,514,439,16,13,87,0.44401238529764075,0.4135789224362726,11
current20,C1,C2-B,159,141,19,8,36,0.06245988694112137,-0.48093863716401297,4
current20,C1,C2-A-RP,80,41,19,7,20,-0.3100530144491165,-0.0980737276439756,5
