cohort,variant,workers,paired_rows,spearman
all26,pooled_clean,24,1248,0.1391304347826087
all26,C1_clean,21,514,0.42207792207792205
all26,P1_legacy,20,555,-0.06766917293233082
all26,pooled_with_deviations,24,1279,0.14782608695652172
all26,reviewed_reference_only,22,601,0.07961603613777528
all26,no_known_time_adjustment,24,1171,0.1243478260869565
current20,pooled_clean,20,1088,0.33684210526315783
current20,C1_clean,19,464,0.343859649122807
current20,P1_legacy,16,445,0.0029411764705882353
current20,pooled_with_deviations,20,1118,0.3443609022556391
current20,reviewed_reference_only,18,509,0.31475748194014447
current20,no_known_time_adjustment,20,1060,0.32481203007518794
