replicate,workers,spearman,median2_ari,train_buildings,test_buildings,cohort,variant,panel,metric
0,24,0.9660869565217389,0.6805555555555555,"[""7y3sRwLe3Va"", ""S9hNv5qa7GM"", ""VFuaQ6m2Qom"", ""Z6MFQCViBuw"", ""b8cTxDM8gDG"", ""e9zR4mvMWw7"", ""jtcxE69GiFV"", ""rPc6DW4iMge"", ""uNb9QFRL6hY"", ""x8F5xyUWy9e"", ""zsNo4HB9uLZ""]","[""2t7WUuJeko7"", ""B6ByNegPMKs"", ""UwV83HsGsw3"", ""VLzqgDo317F"", ""X7HyMhZNoso"", ""jh4fc5c5qoQ"", ""pRbA3pwrgk9"", ""pa4otMbVnkk"", ""q9vSo1VnCiC"", ""wc2JMjhGNzB"", ""yqstnuAEVhm""]",all26,no_known_time_adjustment,all_timed,log_time
1,24,0.9869565217391304,0.6805555555555555,"[""2t7WUuJeko7"", ""S9hNv5qa7GM"", ""UwV83HsGsw3"", ""Z6MFQCViBuw"", ""b8cTxDM8gDG"", ""e9zR4mvMWw7"", ""pa4otMbVnkk"", ""rPc6DW4iMge"", ""uNb9QFRL6hY"", ""x8F5xyUWy9e"", ""zsNo4HB9uLZ""]","[""7y3sRwLe3Va"", ""B6ByNegPMKs"", ""VFuaQ6m2Qom"", ""VLzqgDo317F"", ""X7HyMhZNoso"", ""jh4fc5c5qoQ"", ""jtcxE69GiFV"", ""pRbA3pwrgk9"", ""q9vSo1VnCiC"", ""wc2JMjhGNzB"", ""yqstnuAEVhm""]",all26,no_known_time_adjustment,all_timed,log_time
2,24,0.9852173913043477,0.6805555555555555,"[""2t7WUuJeko7"", ""UwV83HsGsw3"", ""VFuaQ6m2Qom"", ""VLzqgDo317F"", ""Z6MFQCViBuw"", ""jh4fc5c5qoQ"", ""pRbA3pwrgk9"", ""pa4otMbVnkk"", ""q9vSo1VnCiC"", ""uNb9QFRL6hY"", ""x8F5xyUWy9e""]","[""7y3sRwLe3Va"", ""B6ByNegPMKs"", ""S9hNv5qa7GM"", ""X7HyMhZNoso"", ""b8cTxDM8gDG"", ""e9zR4mvMWw7"", ""jtcxE69GiFV"", ""rPc6DW4iMge"", ""wc2JMjhGNzB"", ""yqstnuAEVhm"", ""zsNo4HB9uLZ""]",all26,no_known_time_adjustment,all_timed,log_time
3,24,0.9713043478260868,0.6805555555555555,"[""2t7WUuJeko7"", ""7y3sRwLe3Va"", ""B6ByNegPMKs"", ""S9hNv5qa7GM"", ""Z6MFQCViBuw"", ""jh4fc5c5qoQ"", ""jtcxE69GiFV"", ""pRbA3pwrgk9"", ""rPc6DW4iMge"", ""x8F5xyUWy9e"", ""zsNo4HB9uLZ""]","[""UwV83HsGsw3"", ""VFuaQ6m2Qom"", ""VLzqgDo317F"", ""X7HyMhZNoso"", ""b8cTxDM8gDG"", ""e9zR4mvMWw7"", ""pa4otMbVnkk"", ""q9vSo1VnCiC"", ""uNb9QFRL6hY"", ""wc2JMjhGNzB"", ""yqstnuAEVhm""]",all26,no_known_time_adjustment,all_timed,log_time
4,24,0.9826086956521738,1.0,"[""2t7WUuJeko7"", ""VFuaQ6m2Qom"", ""VLzqgDo317F"", ""Z6MFQCViBuw"", ""b8cTxDM8gDG"", ""jh4fc5c5qoQ"", ""jtcxE69GiFV"", ""pRbA3pwrgk9"", ""rPc6DW4iMge"", ""uNb9QFRL6hY"", ""wc2JMjhGNzB""]","[""7y3sRwLe3Va"", ""B6ByNegPMKs"", ""S9hNv5qa7GM"", ""UwV83HsGsw3"", ""X7HyMhZNoso"", ""e9zR4mvMWw7"", ""pa4otMbVnkk"", ""q9vSo1VnCiC"", ""x8F5xyUWy9e"", ""yqstnuAEVhm"", ""zsNo4HB9uLZ""]",all26,no_known_time_adjustment,all_timed,log_time
5,24,0.9782608695652173,0.6805555555555555,"[""2t7WUuJeko7"", ""B6ByNegPMKs"", ""S9hNv5qa7GM"", ""VFuaQ6m2Qom"", ""X7HyMhZNoso"", ""b8cTxDM8gDG"", ""rPc6DW4iMge"", ""uNb9QFRL6hY"", ""wc2JMjhGNzB"", ""x8F5xyUWy9e"", ""zsNo4HB9uLZ""]","[""7y3sRwLe3Va"", ""UwV83HsGsw3"", ""VLzqgDo317F"", ""Z6MFQCViBuw"", ""e9zR4mvMWw7"", ""jh4fc5c5qoQ"", ""jtcxE69GiFV"", ""pRbA3pwrgk9"", ""pa4otMbVnkk"", ""q9vSo1VnCiC"", ""yqstnuAEVhm""]",all26,no_known_time_adjustment,all_timed,log_time
6,24,0.9417391304347826,0.6805555555555555,"[""2t7WUuJeko7"", ""7y3sRwLe3Va"", ""VFuaQ6m2Qom"", ""Z6MFQCViBuw"", ""jtcxE69GiFV"", ""pRbA3pwrgk9"", ""pa4otMbVnkk"", ""q9vSo1VnCiC"", ""rPc6DW4iMge"", ""x8F5xyUWy9e"", ""zsNo4HB9uLZ""]","[""B6ByNegPMKs"", ""S9hNv5qa7GM"", ""UwV83HsGsw3"", ""VLzqgDo317F"", ""X7HyMhZNoso"", ""b8cTxDM8gDG"", ""e9zR4mvMWw7"", ""jh4fc5c5qoQ"", ""uNb9QFRL6hY"", ""wc2JMjhGNzB"", ""yqstnuAEVhm""]",all26,no_known_time_adjustment,all_timed,log_time
7,24,0.9782608695652173,0.6805555555555555,"[""2t7WUuJeko7"", ""B6ByNegPMKs"", ""S9hNv5qa7GM"", ""b8cTxDM8gDG"", ""jtcxE69GiFV"", ""pa4otMbVnkk"", ""q9vSo1VnCiC"", ""rPc6DW4iMge"", ""uNb9QFRL6hY"", ""yqstnuAEVhm"", ""zsNo4HB9uLZ""]","[""7y3sRwLe3Va"", ""UwV83HsGsw3"", ""VFuaQ6m2Qom"", ""VLzqgDo317F"", ""X7HyMhZNoso"", ""Z6MFQCViBuw"", ""e9zR4mvMWw7"", ""jh4fc5c5qoQ"", ""pRbA3pwrgk9"", ""wc2JMjhGNzB"", ""x8F5xyUWy9e""]",all26,no_known_time_adjustment,all_timed,log_time
8,24,0.9895652173913043,0.6805555555555555,"[""2t7WUuJeko7"", ""S9hNv5qa7GM"", ""UwV83HsGsw3"", ""X7HyMhZNoso"", ""Z6MFQCViBuw"", ""b8cTxDM8gDG"", ""jh4fc5c5qoQ"", ""jtcxE69GiFV"", ""rPc6DW4iMge"", ""wc2JMjhGNzB"", ""zsNo4HB9uLZ""]","[""7y3sRwLe3Va"", ""B6ByNegPMKs"", ""VFuaQ6m2Qom"", ""VLzqgDo317F"", ""e9zR4mvMWw7"", ""pRbA3pwrgk9"", ""pa4otMbVnkk"", ""q9vSo1VnCiC"", ""uNb9QFRL6hY"", ""x8F5xyUWy9e"", ""yqstnuAEVhm""]",all26,no_known_time_adjustment,all_timed,log_time
9,23,0.9693675889328063,1.0,"[""2t7WUuJeko7"", ""7y3sRwLe3Va"", ""S9hNv5qa7GM"", ""VFuaQ6m2Qom"", ""Z6MFQCViBuw"", ""e9zR4mvMWw7"", ""jtcxE69GiFV"", ""pRbA3pwrgk9"", ""pa4otMbVnkk"", ""wc2JMjhGNzB"", ""zsNo4HB9uLZ""]","[""B6ByNegPMKs"", ""UwV83HsGsw3"", ""VLzqgDo317F"", ""X7HyMhZNoso"", ""b8cTxDM8gDG"", ""jh4fc5c5qoQ"", ""q9vSo1VnCiC"", ""rPc6DW4iMge"", ""uNb9QFRL6hY"", ""x8F5xyUWy9e"", ""yqstnuAEVhm""]",all26,no_known_time_adjustment,all_timed,log_time
