image_id,config,k,early_stable_later_stable_n,early_stable_later_changing_n,early_stable_later_unknown_n,early_changing_later_stable_n,early_changing_later_changing_n,early_changing_later_unknown_n,early_unknown_later_stable_n,early_unknown_later_changing_n,early_unknown_later_unknown_n,lookahead,building_id,usable_n,paired_n,early_stable_n,early_stable_later_evaluable_n,early_stable_to_later_stable_rate,early_stable_to_later_changing_rate,early_stable_to_later_unknown_rate,early_stable_to_later_stable_rate_among_evaluable,later_lookahead,min_support,epsilon
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,ospa30_t6,2,200,0,0,0,0,0,0,0,0,1,7y3sRwLe3Va,24,200,200,200,1.0,0.0,0.0,1.0,5,2,0.1
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,ospa30_t6,2,200,0,0,0,0,0,0,0,0,2,7y3sRwLe3Va,24,200,200,200,1.0,0.0,0.0,1.0,5,2,0.1
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,ospa30_t6,2,200,0,0,0,0,0,0,0,0,3,7y3sRwLe3Va,24,200,200,200,1.0,0.0,0.0,1.0,5,2,0.1
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,ospa30_t6,3,200,0,0,0,0,0,0,0,0,1,7y3sRwLe3Va,24,200,200,200,1.0,0.0,0.0,1.0,5,2,0.1
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,ospa30_t6,3,200,0,0,0,0,0,0,0,0,2,7y3sRwLe3Va,24,200,200,200,1.0,0.0,0.0,1.0,5,2,0.1
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,ospa30_t6,3,200,0,0,0,0,0,0,0,0,3,7y3sRwLe3Va,24,200,200,200,1.0,0.0,0.0,1.0,5,2,0.1
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,ospa30_t6,4,200,0,0,0,0,0,0,0,0,1,7y3sRwLe3Va,24,200,200,200,1.0,0.0,0.0,1.0,5,2,0.1
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,ospa30_t6,4,200,0,0,0,0,0,0,0,0,2,7y3sRwLe3Va,24,200,200,200,1.0,0.0,0.0,1.0,5,2,0.1
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,ospa30_t6,4,200,0,0,0,0,0,0,0,0,3,7y3sRwLe3Va,24,200,200,200,1.0,0.0,0.0,1.0,5,2,0.1
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,q_0.925,2,200,0,0,0,0,0,0,0,0,1,7y3sRwLe3Va,24,200,200,200,1.0,0.0,0.0,1.0,5,2,0.1
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,q_0.925,2,200,0,0,0,0,0,0,0,0,2,7y3sRwLe3Va,24,200,200,200,1.0,0.0,0.0,1.0,5,2,0.1
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,q_0.925,2,200,0,0,0,0,0,0,0,0,3,7y3sRwLe3Va,24,200,200,200,1.0,0.0,0.0,1.0,5,2,0.1
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,q_0.925,3,200,0,0,0,0,0,0,0,0,1,7y3sRwLe3Va,24,200,200,200,1.0,0.0,0.0,1.0,5,2,0.1
