feature,algorithm,condition,target,n,buildings,MAE,building_macro_MAE
C_da3_layer11_global,knn,manual,half_TV,133,20,0.0980852554728,0.108781800244
C_da3_layer11_global,knn,manual,half_future_uncovered,133,20,0.352240943267,0.378099522349
C_da3_layer11_global,knn,manual,late_novel_geometry_rate,133,20,0.233654135338,0.245883140239
C_da3_layer11_global,knn,manual,late_support_promotions_rate,133,20,0.153446115288,0.162374552531
C_da3_layer11_global,knn,manual,medoid_reference_abs_change,124,19,0.0235945941765,0.0248476859129
C_da3_layer11_global,knn,manual,same_point_multimodal,166,22,0.355421686747,0.342138467593
C_da3_layer11_global,knn,manual,stable_D10,42,15,0.358793650794,0.381521269841
C_da3_layer11_global,knn,manual,stable_G10,42,15,0.332984126984,0.351925079365
C_da3_layer11_global,knn,manual,stable_P,42,15,0.353857142857,0.381291428571
C_da3_layer11_global,knn,manual,stable_multimode_G10,42,15,0.333396825397,0.286395555556
C_da3_layer11_global,knn,manual,supported_multimodal,166,22,0.44578313253,0.431807628399
C_da3_layer11_global,knn,semi,half_TV,42,12,0.141734340297,0.126587416348
C_da3_layer11_global,knn,semi,half_future_uncovered,42,12,0.406551226551,0.367135242805
C_da3_layer11_global,knn,semi,late_novel_geometry_rate,42,12,0.222772486772,0.210829563492
C_da3_layer11_global,knn,semi,late_support_promotions_rate,42,12,0.172965608466,0.155914704586
C_da3_layer11_global,knn,semi,medoid_reference_abs_change,42,12,0.0206010439223,0.018355197233
C_da3_layer11_global,knn,semi,same_point_multimodal,43,12,0.417054263566,0.432671957672
C_da3_layer11_global,knn,semi,stable_D10,16,7,0.277875,0.311076190476
C_da3_layer11_global,knn,semi,stable_G10,16,7,0.352458333333,0.4127
C_da3_layer11_global,knn,semi,stable_P,16,7,0.277875,0.311076190476
C_da3_layer11_global,knn,semi,stable_multimode_G10,16,7,0.341875,0.268619047619
C_da3_layer11_global,knn,semi,supported_multimodal,43,12,0.403100775194,0.364880952381
C_da3_layer11_global,ridge,manual,half_TV,133,20,0.0896996873122,0.0997857664518
C_da3_layer11_global,ridge,manual,half_future_uncovered,133,20,0.31672708924,0.32548820624
C_da3_layer11_global,ridge,manual,late_novel_geometry_rate,133,20,0.227493311608,0.250997299239
