condition,target,feature,baseline,method_MAE,baseline_MAE,n,groups,delta,lo,hi
manual,half_TV,C_da3_layer11_global,constant,0.0896996873122,0.0955864837805,133,20,-0.00588679646831,-0.0144919909843,0.00312163916178
manual,half_TV,C_hohonet_shared_global,constant,0.0822201340093,0.0955864837805,133,20,-0.0133663497712,-0.0279108555833,0.000876419287177
manual,half_TV,model_feedback,constant,0.0764040247931,0.0955864837805,133,20,-0.0191824589874,-0.0279564744769,-0.0108627174017
manual,half_TV,model_points,constant,0.0801551065427,0.0955864837805,133,20,-0.0154313772379,-0.0220913162718,-0.00688864997598
manual,half_TV,points_plus_shared,constant,0.0813136927547,0.0955864837805,133,20,-0.0142727910259,-0.0273779635044,-0.00211990106099
manual,half_TV,scene,constant,0.0951661048844,0.0955864837805,133,20,-0.000420378896166,-0.00428010423008,0.00250672848253
manual,half_TV,scene_AI,constant,0.0990258044103,0.0955864837805,133,20,0.00343932062973,-0.00220006190419,0.0133513867939
manual,half_TV,C_da3_layer11_global,model_points,0.0896996873122,0.0801551065427,133,20,0.00954458076957,-0.0016874857372,0.0186115745528
manual,half_TV,C_hohonet_shared_global,model_points,0.0822201340093,0.0801551065427,133,20,0.00206502746668,-0.00851190749372,0.0115078538969
manual,half_TV,model_feedback,model_points,0.0764040247931,0.0801551065427,133,20,-0.00375108174956,-0.0119060478885,0.00282925758678
manual,half_TV,points_plus_shared,model_points,0.0813136927547,0.0801551065427,133,20,0.00115858621201,-0.00794429642297,0.00890841311327
manual,half_TV,scene,model_points,0.0951661048844,0.0801551065427,133,20,0.0150109983417,0.00725143646579,0.0216720418643
manual,half_TV,scene_AI,model_points,0.0990258044103,0.0801551065427,133,20,0.0188706978676,0.012109047984,0.0248648770391
manual,half_TV,C_da3_layer11_global,scene,0.0896996873122,0.0951661048844,133,20,-0.00546641757215,-0.0151980621824,0.00387213014387
manual,half_TV,C_hohonet_shared_global,scene,0.0822201340093,0.0951661048844,133,20,-0.012945970875,-0.0266841505511,0.000721800327811
manual,half_TV,model_feedback,scene,0.0764040247931,0.0951661048844,133,20,-0.0187620800913,-0.026627313325,-0.0108478107999
manual,half_TV,model_points,scene,0.0801551065427,0.0951661048844,133,20,-0.0150109983417,-0.0216720418643,-0.00725143646579
manual,half_TV,points_plus_shared,scene,0.0813136927547,0.0951661048844,133,20,-0.0138524121297,-0.0263365021254,-0.00203440111005
manual,half_TV,scene_AI,scene,0.0990258044103,0.0951661048844,133,20,0.0038596995259,-0.001612317614,0.0135758353912
manual,half_future_uncovered,C_da3_layer11_global,constant,0.31672708924,0.346662869294,133,20,-0.0299357800542,-0.0617206046777,-0.000947502636147
manual,half_future_uncovered,C_hohonet_shared_global,constant,0.306119058528,0.346662869294,133,20,-0.0405438107665,-0.0877518157024,0.0139323003467
manual,half_future_uncovered,model_feedback,constant,0.292473539042,0.346662869294,133,20,-0.0541893302528,-0.0829485316111,-0.0236207180047
manual,half_future_uncovered,model_points,constant,0.292404459473,0.346662869294,133,20,-0.0542584098213,-0.0807964709564,-0.023992539636
