dataset_group,dataset_group_source,export_dataset_group,project_version,task_id,title,image_url,export_project_id,export_source_file,export_source_path,export_init_type,export_is_anchor,export_has_expert_ref,condition,runtime_condition_source,annotator_id,active_time,active_time_source,active_time_source_file,active_time_project_ids,active_time_match_status,active_time_session_count,active_time_event_count,lead_time_seconds,iou,iou_manual,iou_corner,rmse_px,layout_2d_iou,layout_3d_iou,layout_depth_rmse,layout_delta1,layout_used,layout_gate_reason,reliability_used,reliability_gate_reason,pointwise_rmse_px,pointwise_rmse_used,pointwise_best_shift,pointwise_gate_reason,boundary_mse,boundary_rmse_px,pred_n_points,pred_n_pairs,pred_pair_coverage,pred_odd_points,ann_n_points,ann_n_pairs,ann_pair_coverage,ann_odd_points,pairing_warning,pairing_failure_reason,boundary_method_used,consensus_uid,iou_to_consensus,consensus_uid_loo,iou_to_consensus_loo,iou_to_others_median,quality,scope,difficulty,model_issue,tool_issue,scope_filled,difficulty_filled,difficulty_has_trivial,difficulty_conflict,model_issue_required,model_issue_filled,model_issue_has_acceptable,model_issue_conflict,model_issue_missing_required,has_model_issue,model_issue_types,model_issue_primary,scope_missing,difficulty_missing,model_issue_missing,difficulty_conflict_v2,model_issue_conflict_v2,is_oos,is_occlusion,is_fail,is_residual,is_normal,n_corners,has_manual_poly,task_scope_n_total,task_scope_n_in_scope,task_scope_n_oos,task_scope_n_unknown,task_scope_oos_rate,task_scope_unknown_rate,task_scope_majority,task_scope_is_mixed,task_scope_has_unknown,analysis_role
MP3D_TXT_SMOKE_semi,cli_argument,MP3D_TXT_SMOKE_semi,smoke_project23_20260506,2948,B6ByNegPMKs_02e18ec4d4f94d2eb4407346c822dee2.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/B6ByNegPMKs_02e18ec4d4f94d2eb4407346c822dee2.jpg,23,project-23-at-2026-05-06-04-06-a2e2aa4c.json,C:\Users\ASUS\Documents\xwechat_files\wxid_lvoh11i1addo22_a66c\msg\file\2026-05\project-23-at-2026-05-06-04-06-a2e2aa4c.json,model_output_txt_smoke,,,semi,derived_from_prediction_presence,9,733.387,lead_time_fallback,,,fallback_no_direct_log,0,0,733.387,0.1896921516729824,,0.1896921516729824,0.0,,,,,False,low_coverage,True,,,False,,low_coverage,4331.646484375,65.81524507570415,8,4,1.0,False,16,6,0.75,False,True,,connect,10,0.1896921545267105,10,0.1896921545267105,0.1896921545267105,corner_drift;normal;over_parsing;trivial;underextend,normal,trivial,underextend;over_parsing;corner_drift,,True,True,True,False,True,True,False,False,False,True,underextend;over_parsing;corner_drift,corner_drift,False,False,False,False,False,False,False,False,False,True,16,False,5,5,0,0,0.0,0.0,in_scope,False,False,smoke
MP3D_TXT_SMOKE_semi,cli_argument,MP3D_TXT_SMOKE_semi,smoke_project23_20260506,2948,B6ByNegPMKs_02e18ec4d4f94d2eb4407346c822dee2.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/B6ByNegPMKs_02e18ec4d4f94d2eb4407346c822dee2.jpg,23,project-23-at-2026-05-06-04-06-a2e2aa4c.json,C:\Users\ASUS\Documents\xwechat_files\wxid_lvoh11i1addo22_a66c\msg\file\2026-05\project-23-at-2026-05-06-04-06-a2e2aa4c.json,model_output_txt_smoke,,,semi,derived_from_prediction_presence,2,162.0,log,active_times_2026-04-30.jsonl;active_times_2026-05-06.jsonl,23,project+task+annotator,2,7,108.201,1.0,,1.0,0.0,1.0,1.0,0.0,1.0,True,,True,,0.0,True,0,,0.0,0.0,8,4,1.0,False,8,4,1.0,False,False,,connect,10,1.0,10,1.0,0.6389836072921753,acceptable;normal;trivial,normal,trivial,acceptable,,True,True,True,False,True,True,True,False,False,False,,,False,False,False,False,False,False,False,False,False,True,8,False,5,5,0,0,0.0,0.0,in_scope,False,False,smoke
MP3D_TXT_SMOKE_semi,cli_argument,MP3D_TXT_SMOKE_semi,smoke_project23_20260506,2948,B6ByNegPMKs_02e18ec4d4f94d2eb4407346c822dee2.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/B6ByNegPMKs_02e18ec4d4f94d2eb4407346c822dee2.jpg,23,project-23-at-2026-05-06-04-06-a2e2aa4c.json,C:\Users\ASUS\Documents\xwechat_files\wxid_lvoh11i1addo22_a66c\msg\file\2026-05\project-23-at-2026-05-06-04-06-a2e2aa4c.json,model_output_txt_smoke,,,semi,derived_from_prediction_presence,11,1888.0,log,active_times_2026-04-30.jsonl;active_times_2026-05-01.jsonl,23,project+task+annotator,3,122,417.941,0.39063568079750927,,0.39063568079750927,16.385895912693172,0.392684898477377,0.32701027038601904,0.8206082582473755,0.39757347106933594,True,,True,,16.384406962228027,True,0,,2301.1005859375,47.96978826237927,8,4,1.0,False,8,4,1.0,False,False,,connect,10,0.3906356692314148,10,0.3906356692314148,0.38352030515670776,corner_drift;normal;reflection;underextend,normal,reflection,underextend;corner_drift,,True,True,False,False,True,True,False,False,False,True,underextend;corner_drift,corner_drift,False,False,False,False,False,False,False,False,False,True,8,False,5,5,0,0,0.0,0.0,in_scope,False,False,smoke
MP3D_TXT_SMOKE_semi,cli_argument,MP3D_TXT_SMOKE_semi,smoke_project23_20260506,2948,B6ByNegPMKs_02e18ec4d4f94d2eb4407346c822dee2.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/B6ByNegPMKs_02e18ec4d4f94d2eb4407346c822dee2.jpg,23,project-23-at-2026-05-06-04-06-a2e2aa4c.json,C:\Users\ASUS\Documents\xwechat_files\wxid_lvoh11i1addo22_a66c\msg\file\2026-05\project-23-at-2026-05-06-04-06-a2e2aa4c.json,model_output_txt_smoke,,,semi,derived_from_prediction_presence,10,796.0,log,active_times_2026-04-20.jsonl;active_times_2026-04-21.jsonl;active_times_2026-04-29.jsonl;active_times_2026-05-03.jsonl,23,project+task+annotator,8,58,102.851,1.0,,1.0,0.0,1.0,1.0,0.0,1.0,True,,True,,0.0,True,0,,0.0,0.0,8,4,1.0,False,8,4,1.0,False,False,,connect,10,1.0,2,1.0,0.6389836072921753,acceptable;normal;trivial,normal,trivial,acceptable,,True,True,True,False,True,True,True,False,False,False,,,False,False,False,False,False,False,False,False,False,True,8,False,5,5,0,0,0.0,0.0,in_scope,False,False,smoke
MP3D_TXT_SMOKE_semi,cli_argument,MP3D_TXT_SMOKE_semi,smoke_project23_20260506,2948,B6ByNegPMKs_02e18ec4d4f94d2eb4407346c822dee2.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/B6ByNegPMKs_02e18ec4d4f94d2eb4407346c822dee2.jpg,23,project-23-at-2026-05-06-04-06-a2e2aa4c.json,C:\Users\ASUS\Documents\xwechat_files\wxid_lvoh11i1addo22_a66c\msg\file\2026-05\project-23-at-2026-05-06-04-06-a2e2aa4c.json,model_output_txt_smoke,,,semi,derived_from_prediction_presence,13,981.0,log,active_times_2026-04-26.jsonl;active_times_2026-04-27.jsonl;active_times_2026-05-04.jsonl;active_times_2026-05-05.jsonl,23,project+task+annotator,2,174,466.516,0.8873314984197394,,0.8873314984197394,2.925954714085543,0.7977758831449244,0.7244020996352335,0.24391640722751617,0.7579803466796875,True,,True,,2.914092935602621,True,0,,147.63162231445312,12.150375398087629,8,4,1.0,False,8,4,1.0,False,False,,connect,10,0.887331485748291,10,0.887331485748291,0.6318682432174683,acceptable;normal;trivial,normal,trivial,acceptable,,True,True,True,False,True,True,True,False,False,False,,,False,False,False,False,False,False,False,False,False,True,8,False,5,5,0,0,0.0,0.0,in_scope,False,False,smoke
MP3D_TXT_SMOKE_semi,cli_argument,MP3D_TXT_SMOKE_semi,smoke_project23_20260506,2949,e9zR4mvMWw7_1ff35596f9cb4b98ba4f08dda81c1654.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/e9zR4mvMWw7_1ff35596f9cb4b98ba4f08dda81c1654.jpg,23,project-23-at-2026-05-06-04-06-a2e2aa4c.json,C:\Users\ASUS\Documents\xwechat_files\wxid_lvoh11i1addo22_a66c\msg\file\2026-05\project-23-at-2026-05-06-04-06-a2e2aa4c.json,model_output_txt_smoke,,,semi,derived_from_prediction_presence,9,350.786,lead_time_fallback,,,fallback_no_direct_log,0,0,350.786,0.998765379782352,,0.998765379782352,9.448197035859272,0.5553609223076336,0.5159293198889194,0.4848945140838623,0.9094314575195312,True,,False,excluded_from_consensus,9.443601543236662,True,0,,132.2900848388672,11.501742687039524,12,6,1.0,False,12,6,1.0,False,False,,connect,,,,,,corner_drift;normal;trivial;underextend,normal,trivial,underextend;corner_drift,,True,True,True,False,True,True,False,False,False,True,underextend;corner_drift,corner_drift,False,False,False,False,False,False,False,False,False,True,12,False,4,1,3,0,0.75,0.0,oos,True,False,smoke
MP3D_TXT_SMOKE_semi,cli_argument,MP3D_TXT_SMOKE_semi,smoke_project23_20260506,2949,e9zR4mvMWw7_1ff35596f9cb4b98ba4f08dda81c1654.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/e9zR4mvMWw7_1ff35596f9cb4b98ba4f08dda81c1654.jpg,23,project-23-at-2026-05-06-04-06-a2e2aa4c.json,C:\Users\ASUS\Documents\xwechat_files\wxid_lvoh11i1addo22_a66c\msg\file\2026-05\project-23-at-2026-05-06-04-06-a2e2aa4c.json,model_output_txt_smoke,,,semi,derived_from_prediction_presence,11,567.0,log,active_times_2026-05-01.jsonl,23,project+task+annotator,1,21,559.144,0.9555276883080062,,0.9555276883080062,5.7365869424875955,,,,,False,out_of_scope,False,oos_or_unknown,5.613774776331865,True,0,,37.09621810913086,6.090666474954187,12,6,1.0,False,12,6,1.0,False,False,,connect,,,,,,corner_drift;oos_split_level;seam,oos_split_level,seam,corner_drift,,True,True,False,False,True,True,False,False,False,True,corner_drift,corner_drift,False,False,False,False,False,True,False,False,False,False,12,False,4,1,3,0,0.75,0.0,oos,True,False,smoke
MP3D_TXT_SMOKE_semi,cli_argument,MP3D_TXT_SMOKE_semi,smoke_project23_20260506,2949,e9zR4mvMWw7_1ff35596f9cb4b98ba4f08dda81c1654.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/e9zR4mvMWw7_1ff35596f9cb4b98ba4f08dda81c1654.jpg,23,project-23-at-2026-05-06-04-06-a2e2aa4c.json,C:\Users\ASUS\Documents\xwechat_files\wxid_lvoh11i1addo22_a66c\msg\file\2026-05\project-23-at-2026-05-06-04-06-a2e2aa4c.json,model_output_txt_smoke,,,semi,derived_from_prediction_presence,10,898.0,log,active_times_2026-04-20.jsonl;active_times_2026-04-21.jsonl;active_times_2026-04-29.jsonl;active_times_2026-05-03.jsonl,23,project+task+annotator,7,60,418.179,1.0,,1.0,0.0,,,,,False,out_of_scope,False,oos_or_unknown,0.0,True,0,,0.0,0.0,12,6,1.0,False,12,6,1.0,False,False,,connect,,,,,,acceptable;low_texture;occlusion;oos_split_level,oos_split_level,occlusion;low_texture,acceptable,,True,True,False,False,True,True,True,False,False,False,,,False,False,False,False,False,True,True,False,False,False,12,False,4,1,3,0,0.75,0.0,oos,True,False,smoke
MP3D_TXT_SMOKE_semi,cli_argument,MP3D_TXT_SMOKE_semi,smoke_project23_20260506,2949,e9zR4mvMWw7_1ff35596f9cb4b98ba4f08dda81c1654.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/e9zR4mvMWw7_1ff35596f9cb4b98ba4f08dda81c1654.jpg,23,project-23-at-2026-05-06-04-06-a2e2aa4c.json,C:\Users\ASUS\Documents\xwechat_files\wxid_lvoh11i1addo22_a66c\msg\file\2026-05\project-23-at-2026-05-06-04-06-a2e2aa4c.json,model_output_txt_smoke,,,semi,derived_from_prediction_presence,13,336.0,log,active_times_2026-05-04.jsonl;active_times_2026-05-05.jsonl,23,project+task+annotator,1,16,276.334,0.9547621027048027,,0.9547621027048027,11.451028207424386,,,,,False,out_of_scope,False,oos_or_unknown,11.430583259072046,True,0,,256.5516357421875,16.017229340375554,12,6,1.0,False,12,6,1.0,False,False,,connect,,,,,,corner_drift;low_texture;oos_split_level;over_parsing;seam,oos_split_level,low_texture;seam,over_parsing;corner_drift,,True,True,False,False,True,True,False,False,False,True,over_parsing;corner_drift,corner_drift,False,False,False,False,False,True,False,False,False,False,12,False,4,1,3,0,0.75,0.0,oos,True,False,smoke
MP3D_TXT_SMOKE_semi,cli_argument,MP3D_TXT_SMOKE_semi,smoke_project23_20260506,2950,q9vSo1VnCiC_46281f6c32544ffe90e6d88f539c4232.jpg,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/q9vSo1VnCiC_46281f6c32544ffe90e6d88f539c4232.jpg,23,project-23-at-2026-05-06-04-06-a2e2aa4c.json,C:\Users\ASUS\Documents\xwechat_files\wxid_lvoh11i1addo22_a66c\msg\file\2026-05\project-23-at-2026-05-06-04-06-a2e2aa4c.json,model_output_txt_smoke,,,semi,derived_from_prediction_presence,9,198.864,lead_time_fallback,,,fallback_no_direct_log,0,0,198.864,1.0,,1.0,0.0,1.0,1.0,0.0,1.0,True,,True,,0.0,True,0,,0.0,0.0,8,4,1.0,False,8,4,1.0,False,False,,connect,10,1.0,10,1.0,1.0,corner_drift;normal;over_parsing;trivial,normal,trivial,over_parsing;corner_drift,,True,True,True,False,True,True,False,False,False,True,over_parsing;corner_drift,corner_drift,False,False,False,False,False,False,False,False,False,True,8,False,4,4,0,0,0.0,0.0,in_scope,False,False,smoke
