worker_id,Q_GT_interval,F_struct_interval,R_peer_interval,R_LOO_medoid_interval,active_time_interval,risk_slope_ci_half_width,risk_slope_for_simulation,support_status,source_artifact,source_artifact_sha256
1,0.8653879785086486|0.883469518536777,1.392961097953252e-05|0.06877653611605908,0.9736686398361585|0.9848252491380003,0.9173754424766768|0.942850726590458,61.70342511740184|89.37555851701427,0.01614497017114812,-0.022741701191497602,supported,analysis_results/final_calibration_profile_20260817_v1/pooled_worker_profile_v2.csv,11f7e30fd00ec388bc0b5798846002ba7d6c77033011987e0ff4f27d251c8574
2,0.8658861908593266|0.8841034841900431,0.0033927655909423995|0.1369138623518784,0.9784339290501269|0.9901866040845161,0.9487620836920055|0.9855960495679539,87.71937686886689|140.97587775662103,0.016106517744142207,-0.02245969126045459,supported,analysis_results/final_calibration_profile_20260817_v1/pooled_worker_profile_v2.csv,11f7e30fd00ec388bc0b5798846002ba7d6c77033011987e0ff4f27d251c8574
6,0.865542575817535|0.8837168041906851,0.0036204643737916633|0.14541777735402014,0.9814632357454145|0.9929204345638039,0.9349267765376069|1.0,6.986918716486609|18.391671191831236,0.016107225823150027,-0.02255712341638745,supported,analysis_results/final_calibration_profile_20260817_v1/pooled_worker_profile_v2.csv,11f7e30fd00ec388bc0b5798846002ba7d6c77033011987e0ff4f27d251c8574
8,0.8654003877540197|0.8836336919549395,1.678675212479038e-05|0.08228648292382384,0.9785074789886389|0.9900502861283056,0.9332107642682823|0.9795117863151461,121.91803710747679|208.2611583738658,0.016089386672574604,-0.02357238816979738,supported,analysis_results/final_calibration_profile_20260817_v1/pooled_worker_profile_v2.csv,11f7e30fd00ec388bc0b5798846002ba7d6c77033011987e0ff4f27d251c8574
10,0.865402158712677|0.8835876725497314,1.7380922536885144e-05|0.08507120003233525,0.9759983129218954|0.9914936898707551,0.9288339234473848|1.0,58.34524549268173|86.97570619436877,0.016007643914914788,-0.02398693300197564,supported,analysis_results/final_calibration_profile_20260817_v1/pooled_worker_profile_v2.csv,11f7e30fd00ec388bc0b5798846002ba7d6c77033011987e0ff4f27d251c8574
11,0.865282223725753|0.883569395633048,1.571247953700126e-05|0.07723003565348169,0.9752285221507336|0.9913460645244712,0.9411322888776962|0.9795117863151461,134.5611262186055|202.57916753711095,0.016118534525254483,-0.022116221032364505,supported,analysis_results/final_calibration_profile_20260817_v1/pooled_worker_profile_v2.csv,11f7e30fd00ec388bc0b5798846002ba7d6c77033011987e0ff4f27d251c8574
12,0.8653173411663444|0.8834929740546287,1.6231861223464347e-05|0.07967817381725999,0.9683809424605018|0.9843467243339603,0.8974414347050648|0.959159441663247,39.83078860349473|56.63827504432913,0.016094695605899937,-0.023835788616024377,supported,analysis_results/final_calibration_profile_20260817_v1/pooled_worker_profile_v2.csv,11f7e30fd00ec388bc0b5798846002ba7d6c77033011987e0ff4f27d251c8574
13,0.865237990335555|0.8834414706813919,1.6231861223464347e-05|0.07967817381725999,0.9741064872608411|0.9913807293651439,0.9263147221846695|0.9946302243321232,26.664861441221547|54.13516111642424,0.016116837349412924,-0.023590509714278698,supported,analysis_results/final_calibration_profile_20260817_v1/pooled_worker_profile_v2.csv,11f7e30fd00ec388bc0b5798846002ba7d6c77033011987e0ff4f27d251c8574
15,0.8656747631285168|0.8836547441453498,1.6231861223464347e-05|0.07967817381725999,0.9770541671959347|0.9924518399635569,0.950317789269345|0.9827793400122493,196.2262234995707|291.613054617739,0.016108828465294312,-0.022491697282243896,supported,analysis_results/final_calibration_profile_20260817_v1/pooled_worker_profile_v2.csv,11f7e30fd00ec388bc0b5798846002ba7d6c77033011987e0ff4f27d251c8574
17,0.8654263786951719|0.883679251352516,1.678675212479038e-05|0.08228648292382384,0.9814632357454145|0.9920237656754823,0.930322143178643|0.983000642383003,44.681231730840054|77.02964708956009,0.016147197115572654,-0.023449868775680404,supported,analysis_results/final_calibration_profile_20260817_v1/pooled_worker_profile_v2.csv,11f7e30fd00ec388bc0b5798846002ba7d6c77033011987e0ff4f27d251c8574
