population,n_records,field,n_answered,value,n_positive,proportion_all,proportion_answered
all_canonical,2501,difficulty,2500,trivial,897,0.358656537385046,0.3588
all_canonical,2501,difficulty,2500,low_texture,215,0.0859656137544982,0.086
all_canonical,2501,difficulty,2500,occlusion,1298,0.5189924030387845,0.5192
all_canonical,2501,difficulty,2500,seam,264,0.10555777688924431,0.1056
all_canonical,2501,difficulty,2500,low_quality,125,0.04998000799680128,0.05
all_canonical,2501,difficulty,2500,reflection,328,0.13114754098360656,0.1312
all_canonical,2501,model_issue,574,corner_drift,112,0.044782087165133946,0.1951219512195122
all_canonical,2501,model_issue,574,over_parsing,85,0.03398640543782487,0.1480836236933798
all_canonical,2501,model_issue,574,overextend_adjacent,69,0.027588964414234307,0.12020905923344948
all_canonical,2501,model_issue,574,acceptable,276,0.11035585765693723,0.4808362369337979
all_canonical,2501,model_issue,574,corner_duplicate,125,0.04998000799680128,0.21777003484320556
all_canonical,2501,model_issue,574,topology_failure,5,0.001999200319872051,0.008710801393728223
all_canonical,2501,model_issue,574,underextend,19,0.0075969612155137945,0.033101045296167246
all_canonical,2501,model_issue,574,fail,5,0.001999200319872051,0.008710801393728223
all_canonical,2501,scope,2500,normal,1984,0.79328268692523,0.7936
all_canonical,2501,scope,2500,oos_open_boundary,279,0.11155537784886045,0.1116
all_canonical,2501,scope,2500,oos_split_level,91,0.03638544582167133,0.0364
all_canonical,2501,scope,2500,oos_geometry,116,0.04638144742103159,0.0464
all_canonical,2501,scope,2500,oos_insufficient,30,0.011995201919232307,0.012
usable_manual_all_workers,1887,difficulty,1887,trivial,586,0.31054583995760465,0.31054583995760465
usable_manual_all_workers,1887,difficulty,1887,low_texture,171,0.09062003179650238,0.09062003179650238
usable_manual_all_workers,1887,difficulty,1887,occlusion,1067,0.5654478007419184,0.5654478007419184
usable_manual_all_workers,1887,difficulty,1887,seam,217,0.11499735029146795,0.11499735029146795
usable_manual_all_workers,1887,difficulty,1887,low_quality,106,0.05617382087970323,0.05617382087970323
usable_manual_all_workers,1887,difficulty,1887,reflection,273,0.14467408585055644,0.14467408585055644
usable_manual_all_workers,1887,scope,1887,normal,1447,0.7668256491785903,0.7668256491785903
usable_manual_all_workers,1887,scope,1887,oos_split_level,84,0.04451510333863275,0.04451510333863275
usable_manual_all_workers,1887,scope,1887,oos_geometry,95,0.050344462109167994,0.050344462109167994
usable_manual_all_workers,1887,scope,1887,oos_open_boundary,235,0.12453630100688924,0.12453630100688924
usable_manual_all_workers,1887,scope,1887,oos_insufficient,26,0.01377848436671966,0.01377848436671966
usable_manual_active19,1524,difficulty,1524,trivial,488,0.32020997375328086,0.32020997375328086
usable_manual_active19,1524,difficulty,1524,seam,184,0.12073490813648294,0.12073490813648294
usable_manual_active19,1524,difficulty,1524,low_texture,127,0.08333333333333333,0.08333333333333333
usable_manual_active19,1524,difficulty,1524,occlusion,854,0.5603674540682415,0.5603674540682415
usable_manual_active19,1524,difficulty,1524,low_quality,93,0.0610236220472441,0.0610236220472441
usable_manual_active19,1524,difficulty,1524,reflection,201,0.13188976377952755,0.13188976377952755
usable_manual_active19,1524,scope,1524,normal,1164,0.7637795275590551,0.7637795275590551
usable_manual_active19,1524,scope,1524,oos_split_level,50,0.03280839895013123,0.03280839895013123
usable_manual_active19,1524,scope,1524,oos_geometry,84,0.05511811023622047,0.05511811023622047
usable_manual_active19,1524,scope,1524,oos_open_boundary,202,0.1325459317585302,0.1325459317585302
usable_manual_active19,1524,scope,1524,oos_insufficient,24,0.015748031496062992,0.015748031496062992
all_semi,574,difficulty,574,trivial,293,0.5104529616724739,0.5104529616724739
all_semi,574,difficulty,574,seam,37,0.06445993031358885,0.06445993031358885
all_semi,574,difficulty,574,low_texture,44,0.07665505226480836,0.07665505226480836
all_semi,574,difficulty,574,occlusion,224,0.3902439024390244,0.3902439024390244
all_semi,574,difficulty,574,low_quality,15,0.02613240418118467,0.02613240418118467
all_semi,574,difficulty,574,reflection,46,0.08013937282229965,0.08013937282229965
all_semi,574,model_issue,574,corner_drift,112,0.1951219512195122,0.1951219512195122
all_semi,574,model_issue,574,over_parsing,85,0.1480836236933798,0.1480836236933798
all_semi,574,model_issue,574,overextend_adjacent,69,0.12020905923344948,0.12020905923344948
all_semi,574,model_issue,574,acceptable,276,0.4808362369337979,0.4808362369337979
all_semi,574,model_issue,574,corner_duplicate,125,0.21777003484320556,0.21777003484320556
all_semi,574,model_issue,574,topology_failure,5,0.008710801393728223,0.008710801393728223
all_semi,574,model_issue,574,underextend,19,0.033101045296167246,0.033101045296167246
all_semi,574,model_issue,574,fail,5,0.008710801393728223,0.008710801393728223
all_semi,574,scope,574,normal,510,0.8885017421602788,0.8885017421602788
all_semi,574,scope,574,oos_open_boundary,32,0.05574912891986063,0.05574912891986063
all_semi,574,scope,574,oos_insufficient,4,0.006968641114982578,0.006968641114982578
all_semi,574,scope,574,oos_geometry,21,0.036585365853658534,0.036585365853658534
all_semi,574,scope,574,oos_split_level,7,0.012195121951219513,0.012195121951219513
