scenario,images,new_annotations,average,not_selected
旧20图只用于预算核对/目标15/pooled,20,282,14.842105263157896,True
旧20图只用于预算核对/目标15/active19,20,284,14.947368421052632,True
旧20图只用于预算核对/目标19/pooled,20,362,19.05263157894737,True
旧20图只用于预算核对/目标19/active19,20,364,19.157894736842106,True
