image_id,condition,cut,n_valid,requested_h,observed_k,horizon_shorter_than_requested,orders,n_orders_supported_at_k,p_all_modes_seen_twice_exact,p_all_modes_seen_twice_replay,p_stable_core10_unconditional,p_stable_core10_given_support,p_stable_core15_unconditional,p_stable_core15_given_support,p_stable_core20_unconditional,p_stable_core20_given_support
uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,manual,0.1,23,2,2,False,200,0,0.0,0.0,0.0,,0.0,,0.0,
uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,manual,0.1,23,3,3,False,200,0,0.0,0.0,0.0,,0.0,,0.0,
uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,manual,0.1,23,4,4,False,200,0,0.0,0.0,0.0,,0.0,,0.0,
uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,manual,0.1,23,5,5,False,200,0,0.0,0.0,0.0,,0.0,,0.0,
uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,manual,0.1,23,6,6,False,200,2,0.00151564682457,0.01,0.0,0.0,0.0,0.0,0.0,0.0
uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,manual,0.1,23,7,7,False,200,3,0.00395256916996,0.015,0.0,0.0,0.0,0.0,0.0,0.0
uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,manual,0.1,23,8,8,False,200,4,0.00790513833992,0.02,0.0,0.0,0.0,0.0,0.0,0.0
uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,manual,0.1,23,10,10,False,200,8,0.0237154150198,0.04,0.0,0.0,0.0,0.0,0.0,0.0
uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,manual,0.1,23,12,12,False,200,14,0.055900621118,0.07,0.0,0.0,0.0,0.0,0.0,0.0
uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,manual,0.1,23,15,15,False,200,31,0.154150197628,0.155,0.015,0.0967741935484,0.025,0.161290322581,0.025,0.161290322581
uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,manual,0.1,23,18,18,False,200,70,0.345567476002,0.35,0.17,0.485714285714,0.17,0.485714285714,0.17,0.485714285714
uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,manual,0.1,23,19,19,False,200,83,0.437718802936,0.415,0.22,0.530120481928,0.22,0.530120481928,0.22,0.530120481928
