candidate,condition,n,groups,delta,lo,hi
continuous_tail_manual__log_active_seconds_high,manual,46,16,-0.0524456521739,-0.125016447368,0.0321084558824
continuous_tail_manual__log_active_seconds_high,semi,16,9,0.05546875,-0.0250240384615,0.148863636364
continuous_tail_manual__log_active_seconds_low,manual,44,14,-0.0588068181818,-0.140182171659,0.00791611842105
continuous_tail_manual__log_active_seconds_low,semi,18,10,-0.0944444444444,-0.184214638158,0.0408392857143
continuous_tail_manual__point_count_high,manual,41,14,0.000914634146341,-0.0840578028294,0.0698923319328
continuous_tail_manual__point_count_high,semi,16,9,-0.10546875,-0.17143452381,-0.0455869222689
continuous_tail_manual__point_count_low,manual,46,15,-0.0377717391304,-0.0833362676056,0.0178594322344
continuous_tail_manual__point_count_low,semi,16,9,-0.01015625,-0.125,0.0630447722567
continuous_tail_manual__reference_band_bias_high,manual,44,14,-0.0184659090909,-0.0781867321867,0.0657054521277
continuous_tail_manual__reference_band_bias_high,semi,17,9,0.0205882352941,-0.0777777777778,0.102659539474
continuous_tail_manual__reference_band_bias_low,manual,45,15,-0.085,-0.14859609015,-0.00518526785714
continuous_tail_manual__reference_band_bias_low,semi,18,10,-0.122222222222,-0.227779356061,-0.0151532738095
continuous_tail_manual__reference_error_high,manual,48,14,-0.046875,-0.0921310763889,0.0188919270833
continuous_tail_manual__reference_error_high,semi,17,10,0.0227941176471,-0.0925625,0.107003571429
continuous_tail_manual__reference_error_low,manual,40,12,0.1109375,0.0392723214286,0.182182579787
continuous_tail_manual__reference_error_low,semi,17,9,0.327941176471,0.191905637255,0.50208984375
continuous_tail_semi__point_count_high,manual,47,16,-0.00585106382979,-0.104863505747,0.0675029761905
continuous_tail_semi__point_count_high,semi,17,10,-0.0147058823529,-0.138775568182,0.133823529412
continuous_tail_semi__point_count_low,manual,45,14,-0.00722222222222,-0.0673701809599,0.0527837643678
continuous_tail_semi__point_count_low,semi,18,10,0.105555555556,-0.0343861607143,0.21704375
local_B,manual,28,10,0.065625,-0.0895180921053,0.174075670498
local_B,semi,8,6,0.1484375,-0.115625,0.493854166667
local_Q,manual,56,13,-0.0508928571429,-0.0787310222672,-0.0210488567731
local_Q,semi,11,6,-0.0670454545455,-0.1,-0.021875
local_QB,manual,41,13,-0.0685975609756,-0.113337837838,-0.0349802631579
local_QB,semi,9,7,-0.0333333333333,-0.128571428571,0.0298076923077
local_QT,manual,51,13,-0.0482843137255,-0.10626953125,0.0269093070652
local_QT,semi,17,9,-0.164705882353,-0.228132102273,-0.0694010416667
local_QTB,manual,34,9,0.00367647058824,-0.084140625,0.0937760416667
local_QTB,semi,10,6,-0.01125,-0.1875,0.373058035714
local_T,manual,27,11,0.0648148148148,-0.0259080357143,0.152800245098
local_T,semi,7,4,-0.128571428571,-0.286538461538,0.315625
local_TB,manual,41,14,-0.0167682926829,-0.0715938995215,0.0427497705018
local_TB,semi,16,9,-0.08046875,-0.164206574675,0.1100625
local_quality_time_edit,manual,7,2,0.0589285714286,-0.075,0.159375
local_quality_time_edit,semi,4,1,-0.246875,,
