information,condition,axis,direction_replication_fraction,n,groups,delta,lo,hi
B,semi,benefit,0.888888888889,18,9,1.88300794623,1.22168967237,2.3318251547
B,semi,edit,0.888888888889,18,9,2.93743710337,1.80218106843,3.52712211217
Q,manual,quality,0.846153846154,39,9,1.70726264514,0.616458103439,2.75638812717
QB,manual,quality,0.671232876712,73,15,0.993315927317,0.347032656949,1.6024755151
QB,semi,benefit,0.833333333333,18,8,1.79263816871,1.10318779456,2.26425750623
QB,semi,edit,0.947368421053,19,8,3.20095471687,2.41754490901,3.59829390217
QT,manual,quality,0.628571428571,70,15,0.509401934415,-0.237363504837,1.20876720539
QT,manual,time,0.985714285714,70,18,1.23473188684,1.01552031521,1.52196225332
QT,oos,time,1,7,5,0.8659517254,0.532004489007,1.0517344633
QTB,manual,quality,0.5,54,12,0.0814154562414,-0.70835659411,0.837484696212
QTB,manual,time,0.928571428571,56,13,0.767041839732,0.611020788002,0.968088418781
QTB,oos,time,1,8,5,0.853547868567,0.622312964088,1.03300997732
QTB,semi,benefit,0.384615384615,13,7,0.0481361575528,-1.16913970797,1.80373621227
QTB,semi,edit,0.8,15,7,2.24633921507,1.06108256088,2.97694054225
T,manual,time,1,60,18,1.42860424298,1.20627565022,1.63417237986
T,oos,time,0.888888888889,9,6,1.00067844762,0.464270734228,1.34106681561
TB,manual,time,0.955223880597,67,16,0.976353744495,0.769122599513,1.14035116606
TB,oos,time,1,9,6,1.15482658683,0.843620951987,1.3425574045
TB,semi,benefit,0.541666666667,24,10,0.189097613472,-0.476626463598,1.02701586175
TB,semi,edit,0.64,25,10,0.618652137359,-0.245326097326,1.36457840994
quality_time_edit,manual,quality,0.444444444444,18,6,-0.504669842133,-1.47548621603,1.18889154505
quality_time_edit,manual,time,0.9375,16,6,0.998550912706,0.759579236747,1.1771192306
quality_time_edit,oos,time,0.833333333333,6,3,0.675096527679,-0.0355132734627,0.842712453454
quality_time_edit,semi,edit,0.888888888889,9,5,1.72638527072,-0.115760802364,2.50492303522
