heldout_building,information,k,workers,valid_halves,requested_halves,conditional_median_Jaccard,support_version,not_a_target_convergence_selection
B6ByNegPMKs,QTSB,3,W002;W008;W015;W017;W018;W027;W028;W032;W033;W036,15,20,0.6,3responses_2buildings_diagnostic_not_primary,True
B6ByNegPMKs,QTSB,3,W001;W006;W010;W011;W012;W013;W021,15,20,0.636363636364,3responses_2buildings_diagnostic_not_primary,True
B6ByNegPMKs,QTSB,3,W029;W030;W031;W034;W035;W037,15,20,0.666666666667,3responses_2buildings_diagnostic_not_primary,True
B6ByNegPMKs,QTSB,4,W002;W008;W015;W017;W018;W027,17,20,0.4,3responses_2buildings_diagnostic_not_primary,True
B6ByNegPMKs,QTSB,4,W001;W006;W010;W011;W012;W013;W021,17,20,0.625,3responses_2buildings_diagnostic_not_primary,True
B6ByNegPMKs,QTSB,4,W028;W032;W033;W036,17,20,0.5,3responses_2buildings_diagnostic_not_primary,True
B6ByNegPMKs,QTSB,4,W029;W030;W031;W034;W035;W037,17,20,0.666666666667,3responses_2buildings_diagnostic_not_primary,True
S9hNv5qa7GM,S,2,W001;W002;W011;W014;W027;W032;W033;W035;W036,17,20,0.6,3responses_2buildings_diagnostic_not_primary,True
S9hNv5qa7GM,S,2,W006;W008;W010;W012;W013;W015;W017;W018;W021;W028;W029;W030;W031;W034;W037,17,20,0.75,3responses_2buildings_diagnostic_not_primary,True
S9hNv5qa7GM,S,3,W006;W008;W010;W012;W013;W015;W017;W018;W021;W031;W034,16,20,0.642857142857,3responses_2buildings_diagnostic_not_primary,True
S9hNv5qa7GM,S,3,W001;W002;W011;W014;W027;W032;W033;W035;W036,16,20,0.818181818182,3responses_2buildings_diagnostic_not_primary,True
S9hNv5qa7GM,S,3,W028;W029;W030;W037,16,20,0.55,3responses_2buildings_diagnostic_not_primary,True
S9hNv5qa7GM,S,4,W006;W008;W010;W012;W013;W015;W017;W018;W021;W031;W034,18,20,0.665178571429,3responses_2buildings_diagnostic_not_primary,True
S9hNv5qa7GM,S,4,W001;W002;W011;W014;W027;W032;W033;W035;W036,18,20,0.571428571429,3responses_2buildings_diagnostic_not_primary,True
S9hNv5qa7GM,S,4,W028;W029;W037,18,20,0.25,3responses_2buildings_diagnostic_not_primary,True
S9hNv5qa7GM,S,4,W030,18,20,0.5,3responses_2buildings_diagnostic_not_primary,True
S9hNv5qa7GM,QS,2,W002;W027,17,20,0.25,3responses_2buildings_diagnostic_not_primary,True
S9hNv5qa7GM,QS,2,W001;W006;W008;W010;W011;W012;W013;W014;W015;W017;W018;W021;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,17,20,0.727272727273,3responses_2buildings_diagnostic_not_primary,True
S9hNv5qa7GM,QS,3,W002;W027,17,20,1,3responses_2buildings_diagnostic_not_primary,True
S9hNv5qa7GM,QS,3,W001;W006;W008;W010;W011;W012;W013;W014;W015;W017;W018;W021;W028;W031;W032;W033;W034;W035;W036,17,20,0.736842105263,3responses_2buildings_diagnostic_not_primary,True
S9hNv5qa7GM,QS,3,W029;W030;W037,17,20,0.75,3responses_2buildings_diagnostic_not_primary,True
S9hNv5qa7GM,QS,4,W002;W027,14,20,0.75,3responses_2buildings_diagnostic_not_primary,True
S9hNv5qa7GM,QS,4,W006;W008;W010;W012;W013;W015;W017;W018;W021;W028;W031;W034,14,20,0.577380952381,3responses_2buildings_diagnostic_not_primary,True
S9hNv5qa7GM,QS,4,W001;W011;W014;W032;W033;W035;W036,14,20,0.609848484848,3responses_2buildings_diagnostic_not_primary,True
S9hNv5qa7GM,QS,4,W029;W030;W037,14,20,0.75,3responses_2buildings_diagnostic_not_primary,True
S9hNv5qa7GM,TS,2,W001;W002;W006;W008;W010;W012;W013;W017;W018;W021;W031;W034,14,20,0.89010989011,3responses_2buildings_diagnostic_not_primary,True
S9hNv5qa7GM,TS,2,W011;W015;W027;W028;W029;W030;W032;W033;W035;W036;W037,14,20,0.863636363636,3responses_2buildings_diagnostic_not_primary,True
S9hNv5qa7GM,TS,3,W001;W002;W006;W010;W012;W013;W017;W021,14,20,0.875,3responses_2buildings_diagnostic_not_primary,True
S9hNv5qa7GM,TS,3,W008;W018;W031;W034,14,20,0.388888888889,3responses_2buildings_diagnostic_not_primary,True
S9hNv5qa7GM,TS,3,W011;W015;W027;W028;W029;W030;W032;W033;W035;W036;W037,14,20,0.772727272727,3responses_2buildings_diagnostic_not_primary,True
S9hNv5qa7GM,TS,4,W001;W002;W006;W010;W012;W013;W017;W021,17,20,0.75,3responses_2buildings_diagnostic_not_primary,True
S9hNv5qa7GM,TS,4,W030,17,20,0.5,3responses_2buildings_diagnostic_not_primary,True
