image_id,building,condition,scene,candidate,selection_source,training_workers,actual_workers,n_subgroup,n_all,training_recovery,rule,p_unified,p_stable_multi,p_current_changes,p_undetermined,onset,topology_disagreement,same_topology_median_d,n_supported_modes,singleton_mass
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,manual,通行与连接,local_Q,training_local_recovery,W001;W006;W008;W010;W011;W012;W013;W014;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,W008;W031;W034,3,3,0.837719298246,D10_distribution,0,0,0,1,,0,0.0179958424951,1,0
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,manual,通行与连接,local_Q,training_local_recovery,W001;W006;W008;W010;W011;W012;W013;W014;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,W008;W031;W034,3,3,0.837719298246,D20_distribution,0,0,0,1,,0,0.0179958424951,1,0
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,manual,通行与连接,local_Q,training_local_recovery,W001;W006;W008;W010;W011;W012;W013;W014;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,W008;W031;W034,3,3,0.837719298246,G10_geometry,0,0,0,1,,0,0.0179958424951,1,0
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,manual,通行与连接,local_Q,training_local_recovery,W001;W006;W008;W010;W011;W012;W013;W014;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,W008;W031;W034,3,3,0.837719298246,P_pattern,0,0,0,1,,0,0.0179958424951,1,0
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,manual,通行与连接,local_QB,training_local_recovery,W001;W012;W029;W030;W031;W034;W035;W037,W031;W034,2,3,0.881944444444,D10_distribution,0,0,0,1,,0,0.0131732998965,1,0
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,manual,通行与连接,local_QB,training_local_recovery,W001;W012;W029;W030;W031;W034;W035;W037,W031;W034,2,3,0.881944444444,D20_distribution,0,0,0,1,,0,0.0131732998965,1,0
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,manual,通行与连接,local_QB,training_local_recovery,W001;W012;W029;W030;W031;W034;W035;W037,W031;W034,2,3,0.881944444444,G10_geometry,0,0,0,1,,0,0.0131732998965,1,0
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,manual,通行与连接,local_QB,training_local_recovery,W001;W012;W029;W030;W031;W034;W035;W037,W031;W034,2,3,0.881944444444,P_pattern,0,0,0,1,,0,0.0131732998965,1,0
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,manual,通行与连接,continuous_tail_manual__point_count_low,training_score_quartile_not_a_global_typology,W008;W014;W029;W034;W036;W037,W008;W034,2,3,,D10_distribution,0,0,0,1,,0,0.0229662267999,1,0
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,manual,通行与连接,continuous_tail_manual__point_count_low,training_score_quartile_not_a_global_typology,W008;W014;W029;W034;W036;W037,W008;W034,2,3,,D20_distribution,0,0,0,1,,0,0.0229662267999,1,0
