fold,information,k,workers,median_recovery,strict_eligible,valid_support_fraction
0,Q,2,W002;W018;W027,0.428571428571,False,0.85
0,Q,2,W001;W006;W008;W010;W011;W012;W013;W014;W015;W017;W021;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,0.761904761905,False,1
0,Q,3,W002;W018;W027,0.6,False,0.85
0,Q,3,W001;W006;W008;W010;W011;W012;W013;W014;W015;W017;W021;W028;W031;W032;W033,0.618055555556,False,1
0,Q,3,W029;W030;W034;W035;W036;W037,0.558441558442,False,1
0,Q,4,W002;W018;W027,0.666666666667,False,0.85
0,Q,4,W001;W006;W008;W011;W015;W017;W021;W033,0.452991452991,False,1
0,Q,4,W010;W012;W013;W014;W028;W031;W032,0.428571428571,False,1
0,Q,4,W029;W030;W034;W035;W036;W037,0.571428571429,False,1
0,Q,5,W002;W018;W027,0.666666666667,False,0.85
0,Q,5,W001;W006;W008;W011;W015;W017;W021;W033,0.5,False,1
0,Q,5,W010;W012;W013;W014;W028;W031;W032,0.444444444444,False,1
0,Q,5,W029;W030;W035;W036,0.333333333333,False,1
0,Q,5,W034;W037,0.5,False,1
0,Q,6,W002,0.5,False,0.975
0,Q,6,W018;W027,0.4,False,0.875
0,Q,6,W001;W006;W008;W011;W015;W017;W021;W033,0.477272727273,False,1
0,Q,6,W010;W012;W013;W014;W028;W031;W032,0.444444444444,False,1
0,Q,6,W029;W030;W035;W036,0.333333333333,False,1
0,Q,6,W034;W037,0.5,False,1
0,Q,7,W002,0.5,False,0.975
0,Q,7,W018;W027,0.5,False,0.875
0,Q,7,W015;W017;W021,0.4,False,0.725
0,Q,7,W001;W006;W008;W011;W033,0.375,False,1
0,Q,7,W010;W012;W013;W014;W028;W031;W032,0.436507936508,False,1
0,Q,7,W029;W030;W035;W036,0.333333333333,False,1
0,Q,7,W034;W037,0.5,False,1
0,Q,8,W002,0.5,False,0.975
0,Q,8,W018;W027,0.5,False,0.875
0,Q,8,W015;W017;W021,0.4,False,0.725
0,Q,8,W001;W006;W008;W011;W033,0.375,False,1
0,Q,8,W013;W028,0.285714285714,False,1
0,Q,8,W010;W012;W014;W031;W032,0.333333333333,False,1
0,Q,8,W029;W030;W035;W036,0.333333333333,False,1
0,Q,8,W034;W037,0.5,False,1
0,Q,9,W002,1,False,0.975
0,Q,9,W018;W027,0.5,False,0.875
0,Q,9,W021,0.333333333333,False,0.725
0,Q,9,W015;W017,0.4,False,1
0,Q,9,W001;W006;W008;W011;W033,0.354166666667,False,1
0,Q,9,W013;W028,0.285714285714,False,1
0,Q,9,W010;W012;W014;W031;W032,0.333333333333,False,1
0,Q,9,W029;W030;W035;W036,0.366666666667,False,1
0,Q,9,W034;W037,0.5,False,1
0,Q,10,W002,1,False,0.975
0,Q,10,W018;W027,0.5,False,0.875
0,Q,10,W021,0.333333333333,False,0.725
0,Q,10,W015;W017,0.45,False,1
0,Q,10,W001;W006;W008;W011;W033,0.333333333333,False,1
0,Q,10,W013;W028,0.333333333333,False,1
0,Q,10,W010;W012;W014;W031;W032,0.354166666667,False,1
0,Q,10,W030;W036,0.4,False,1
0,Q,10,W029;W035,0.333333333333,False,1
0,Q,10,W034;W037,0.5,False,1
0,Q,11,W002,1,False,0.875
0,Q,11,W018;W027,0.5,False,0.875
0,Q,11,W021,0.5,False,0.725
0,Q,11,W015;W017,0.5,False,0.9
0,Q,11,W001;W006;W008;W011;W033,0.333333333333,False,0.9
0,Q,11,W028,0.25,False,0.9
0,Q,11,W013,0.225,False,0.9
0,Q,11,W010;W012;W014;W031;W032,0.354166666667,False,0.9
0,Q,11,W030;W036,0.333333333333,False,0.9
0,Q,11,W029;W035,0.416666666667,False,0.9
0,Q,11,W034;W037,0.5,False,0.9
0,Q,12,W002,1,False,0.725
0,Q,12,W027,0.5,False,0.725
0,Q,12,W018,0.5,False,0.725
0,Q,12,W021,0.5,False,0.725
0,Q,12,W015;W017,0.5,False,0.725
0,Q,12,W001;W006;W008;W011;W033,0.333333333333,False,0.725
0,Q,12,W028,0.25,False,0.725
0,Q,12,W013,0.25,False,0.725
0,Q,12,W010;W012;W014;W031;W032,0.285714285714,False,0.725
0,Q,12,W030;W036,0.333333333333,False,0.725
0,Q,12,W029;W035,0.416666666667,False,0.725
0,Q,12,W034;W037,0.5,False,0.725
0,T,2,W001;W002;W006;W010;W012;W013;W017;W021;W030,0.818181818182,True,1
0,T,2,W008;W011;W015;W018;W027;W028;W029;W031;W032;W033;W034;W035;W036;W037,0.764705882353,True,0.85
0,T,3,W001;W002;W006;W010;W012;W013;W017;W021;W030,0.69696969697,False,1
0,T,3,W008;W011;W015;W018;W031;W034;W035,0.374125874126,False,0.375
0,T,3,W027;W028;W029;W032;W033;W036;W037,0.7,False,1
0,T,4,W006;W012;W013;W021,0.8,True,0.875
0,T,4,W001;W002;W010;W017;W030,0.625,False,1
0,T,4,W008;W011;W015;W018;W031;W034;W035,0.374125874126,False,0.375
0,T,4,W027;W028;W029;W032;W033;W036;W037,0.6,False,1
0,T,5,W006;W012;W013;W021,1,True,0.875
0,T,5,W001;W002;W010;W017;W030,0.8,True,1
0,T,5,W008;W011;W015;W018;W031;W034;W035,0.428571428571,False,0.375
0,T,5,W027;W028;W029;W032;W033;W037,0.666666666667,False,1
0,T,5,W036,1,False,1
0,T,6,W006;W012;W013;W021,0.9,True,0.875
