fold,information,k,workers,n_members,median_recovery,p10_recovery,training_buildings,target_buildings
0,T,5,W006;W012;W013;W021,4,1,0.66,7y3sRwLe3Va;B6ByNegPMKs;S9hNv5qa7GM;UwV83HsGsw3;VLzqgDo317F;X7HyMhZNoso;ZMojNkEp431;jtcxE69GiFV;pRbA3pwrgk9;uNb9QFRL6hY;x8F5xyUWy9e;yqstnuAEVhm,2t7WUuJeko7;VFuaQ6m2Qom;Z6MFQCViBuw;b8cTxDM8gDG;e9zR4mvMWw7;jh4fc5c5qoQ;kEZ7cmS4wCh;pa4otMbVnkk;q9vSo1VnCiC;rPc6DW4iMge;rqfALeAoiTq;wc2JMjhGNzB;zsNo4HB9uLZ
0,QT,7,W001;W006;W012;W013;W021,5,0.8,0.4,7y3sRwLe3Va;B6ByNegPMKs;S9hNv5qa7GM;UwV83HsGsw3;VLzqgDo317F;X7HyMhZNoso;ZMojNkEp431;jtcxE69GiFV;pRbA3pwrgk9;uNb9QFRL6hY;x8F5xyUWy9e;yqstnuAEVhm,2t7WUuJeko7;VFuaQ6m2Qom;Z6MFQCViBuw;b8cTxDM8gDG;e9zR4mvMWw7;jh4fc5c5qoQ;kEZ7cmS4wCh;pa4otMbVnkk;q9vSo1VnCiC;rPc6DW4iMge;rqfALeAoiTq;wc2JMjhGNzB;zsNo4HB9uLZ
1,T,2,W001;W002;W006;W010;W012;W013;W017;W021;W030,9,0.888888888889,0.66,2t7WUuJeko7;VFuaQ6m2Qom;Z6MFQCViBuw;b8cTxDM8gDG;e9zR4mvMWw7;jh4fc5c5qoQ;kEZ7cmS4wCh;pa4otMbVnkk;q9vSo1VnCiC;rPc6DW4iMge;rqfALeAoiTq;wc2JMjhGNzB;zsNo4HB9uLZ,7y3sRwLe3Va;B6ByNegPMKs;S9hNv5qa7GM;UwV83HsGsw3;VLzqgDo317F;X7HyMhZNoso;ZMojNkEp431;jtcxE69GiFV;pRbA3pwrgk9;uNb9QFRL6hY;x8F5xyUWy9e;yqstnuAEVhm
