candidate,condition,rule,image_groups,images,buildings,mean_unified,mean_stable_multi,mean_current_changes,mean_undetermined,median_people
continuous_tail_manual__log_active_seconds_high,manual,D10_distribution,93,93,19,0.0860215053763,0,0.0215053763441,0.89247311828,4
continuous_tail_manual__log_active_seconds_high,manual,D20_distribution,93,93,19,0.0860215053763,0,0.0215053763441,0.89247311828,4
continuous_tail_manual__log_active_seconds_high,manual,G10_geometry,93,93,19,0.0793010752688,0,0.0282258064516,0.89247311828,4
continuous_tail_manual__log_active_seconds_high,manual,P_pattern,93,93,19,0.0860215053763,0,0.0215053763441,0.89247311828,4
continuous_tail_manual__log_active_seconds_high,semi,D10_distribution,27,27,12,0.259259259259,0,0.037037037037,0.703703703704,6
continuous_tail_manual__log_active_seconds_high,semi,D20_distribution,27,27,12,0.259259259259,0,0.037037037037,0.703703703704,6
continuous_tail_manual__log_active_seconds_high,semi,G10_geometry,27,27,12,0.15462962963,0,0.141666666667,0.703703703704,6
continuous_tail_manual__log_active_seconds_high,semi,P_pattern,27,27,12,0.259259259259,0,0.037037037037,0.703703703704,6
continuous_tail_manual__log_active_seconds_low,manual,D10_distribution,74,74,18,0.135135135135,0,0.0675675675676,0.797297297297,5
continuous_tail_manual__log_active_seconds_low,manual,D20_distribution,74,74,18,0.135135135135,0,0.0675675675676,0.797297297297,5
continuous_tail_manual__log_active_seconds_low,manual,G10_geometry,74,74,18,0.1,0,0.102702702703,0.797297297297,5
continuous_tail_manual__log_active_seconds_low,manual,P_pattern,74,74,18,0.135135135135,0,0.0675675675676,0.797297297297,5
continuous_tail_manual__log_active_seconds_low,semi,D10_distribution,20,20,10,0.2,0,0.05,0.75,6
continuous_tail_manual__log_active_seconds_low,semi,D20_distribution,20,20,10,0.2,0,0.05,0.75,6
continuous_tail_manual__log_active_seconds_low,semi,G10_geometry,20,20,10,0.08125,0,0.16875,0.75,6
continuous_tail_manual__log_active_seconds_low,semi,P_pattern,20,20,10,0.2,0,0.05,0.75,6
continuous_tail_manual__point_count_high,manual,D10_distribution,82,82,19,0.146341463415,0,0.0121951219512,0.841463414634,5
continuous_tail_manual__point_count_high,manual,D20_distribution,82,82,19,0.146341463415,0,0.0121951219512,0.841463414634,5
continuous_tail_manual__point_count_high,manual,G10_geometry,82,82,19,0.114634146341,0,0.0439024390244,0.841463414634,5
continuous_tail_manual__point_count_high,manual,P_pattern,82,82,19,0.146341463415,0,0.0121951219512,0.841463414634,5
continuous_tail_manual__point_count_high,semi,D10_distribution,26,26,11,0.115384615385,0,0.0384615384615,0.846153846154,6
continuous_tail_manual__point_count_high,semi,D20_distribution,26,26,11,0.115384615385,0,0.0384615384615,0.846153846154,6
continuous_tail_manual__point_count_high,semi,G10_geometry,26,26,11,0.0615384615385,0,0.0923076923077,0.846153846154,6
continuous_tail_manual__point_count_high,semi,P_pattern,26,26,11,0.115384615385,0,0.0384615384615,0.846153846154,6
continuous_tail_manual__point_count_low,manual,D10_distribution,101,101,19,0.0990099009901,0,0.019801980198,0.881188118812,3
continuous_tail_manual__point_count_low,manual,D20_distribution,101,101,19,0.0990099009901,0,0.019801980198,0.881188118812,3
continuous_tail_manual__point_count_low,manual,G10_geometry,101,101,19,0.0767326732673,0,0.0420792079208,0.881188118812,3
continuous_tail_manual__point_count_low,manual,P_pattern,101,101,19,0.0990099009901,0,0.019801980198,0.881188118812,3
continuous_tail_manual__point_count_low,semi,D10_distribution,24,24,12,0.25,0,0.0416666666667,0.708333333333,6
continuous_tail_manual__point_count_low,semi,D20_distribution,24,24,12,0.25,0,0.0416666666667,0.708333333333,6
continuous_tail_manual__point_count_low,semi,G10_geometry,24,24,12,0.157291666667,0,0.134375,0.708333333333,6
continuous_tail_manual__point_count_low,semi,P_pattern,24,24,12,0.25,0,0.0416666666667,0.708333333333,6
continuous_tail_manual__reference_band_bias_high,manual,D10_distribution,88,88,18,0.125,0,0.0227272727273,0.852272727273,5
continuous_tail_manual__reference_band_bias_high,manual,D20_distribution,88,88,18,0.125,0,0.0227272727273,0.852272727273,5
continuous_tail_manual__reference_band_bias_high,manual,G10_geometry,88,88,18,0.101136363636,0,0.0465909090909,0.852272727273,5
continuous_tail_manual__reference_band_bias_high,manual,P_pattern,88,88,18,0.125,0,0.0227272727273,0.852272727273,5
continuous_tail_manual__reference_band_bias_high,semi,D10_distribution,26,26,11,0.269230769231,0,0.0384615384615,0.692307692308,6
continuous_tail_manual__reference_band_bias_high,semi,D20_distribution,26,26,11,0.269230769231,0,0.0384615384615,0.692307692308,6
