fold,image_id,building,condition,information,k_classes,training_workers,actual_workers,n,unified_fraction,multiple_fraction,undetermined_fraction
0,VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,VFuaQ6m2Qom,manual,T,5,W006;W012;W013;W021,W006;W012;W013,3,0,0,1
0,Z6MFQCViBuw_fbef2c9afec642c88d01cf09c90aec12,Z6MFQCViBuw,semi,T,5,W006;W012;W013;W021,W006;W012;W013;W021,4,0,0,1
0,b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15,b8cTxDM8gDG,manual,T,5,W006;W012;W013;W021,W006;W012;W013;W021,4,0,0,1
0,b8cTxDM8gDG_51c90ec9afc4495ab3788c6badc303df,b8cTxDM8gDG,semi,T,5,W006;W012;W013;W021,W006;W012;W013;W021,4,0.733333333333,0,0
0,e9zR4mvMWw7_12c84e77f6564013a032220e8f9037e8,e9zR4mvMWw7,semi,T,5,W006;W012;W013;W021,W006;W012;W013;W021,4,0,0,1
0,e9zR4mvMWw7_1d316dfbe35f41dd9203eaf88be5aae8,e9zR4mvMWw7,manual,T,5,W006;W012;W013;W021,W006;W013,2,0,0,1
0,e9zR4mvMWw7_1daae4b7becc43949516096170ce2a76,e9zR4mvMWw7,semi,T,5,W006;W012;W013;W021,W006;W012;W013;W021,4,0.466666666667,0,0
0,e9zR4mvMWw7_409f2a738bf54153b9b77c39e7a4ea45,e9zR4mvMWw7,semi,T,5,W006;W012;W013;W021,W006;W012;W013;W021,4,0,0,0
0,e9zR4mvMWw7_4fb8c9be319e4784b4b66f9ca5d839ab,e9zR4mvMWw7,manual,T,5,W006;W012;W013;W021,W006;W012;W013;W021,4,0,0,0
0,e9zR4mvMWw7_ac03b99e3f3642be80b4d24fde0af03a,e9zR4mvMWw7,semi,T,5,W006;W012;W013;W021,W006;W012;W013;W021,4,0,0,1
0,e9zR4mvMWw7_f7ab5b3ece274b48be57eb65bb6d4814,e9zR4mvMWw7,semi,T,5,W006;W012;W013;W021,W006;W012;W013;W021,4,0,0,1
0,jh4fc5c5qoQ_30cdb6fe9aa6449788e271f2e24d76ec,jh4fc5c5qoQ,manual,T,5,W006;W012;W013;W021,W012;W013,2,0,0,1
0,q9vSo1VnCiC_2a8ef249ec0e4ad5bfe138a65f50964e,q9vSo1VnCiC,manual,T,5,W006;W012;W013;W021,W006;W012;W013;W021,4,0.966666666667,0,0
0,q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5,q9vSo1VnCiC,manual,T,5,W006;W012;W013;W021,W006;W013,2,0,0,1
