image_id,building,condition,scene,candidate,selection_source,training_workers,actual_workers,n_subgroup,n_all,training_recovery,rule,p_unified,p_stable_multi,p_current_changes,p_undetermined,onset,topology_disagreement,same_topology_median_d,n_supported_modes,singleton_mass,full_stable_fraction,full_undetermined_fraction,current_changes
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,manual,通行与连接,local_Q,training_local_recovery,W001;W006;W008;W010;W011;W012;W013;W014;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,W008;W031;W034,3,3,0.837719298246,G10_geometry,0,0,0,1,,0,0.0179958424951,1,0,0,1,0
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,manual,通行与连接,local_QB,training_local_recovery,W001;W012;W029;W030;W031;W034;W035;W037,W031;W034,2,3,0.881944444444,G10_geometry,0,0,0,1,,0,0.0131732998965,1,0,0,1,0
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7,manual,卧室,local_Q,training_local_recovery,W001;W006;W008;W010;W011;W012;W013;W014;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,W008;W031;W034,3,3,0.837719298246,G10_geometry,0,0,0,1,,0,0.065568976242,1,0,0,1,0
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7,manual,卧室,local_QB,training_local_recovery,W001;W012;W029;W030;W031;W034;W035;W037,W031;W034,2,3,0.881944444444,G10_geometry,0,0,0,1,,0,0.0800719031583,1,0,0,1,0
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,开放复合空间,local_Q,training_local_recovery,W001;W006;W008;W010;W011;W012;W013;W014;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,W006;W010;W028;W030,4,5,0.857142857143,G10_geometry,0,0,0,1,,0.5,0.0650732234624,1,0.25,0,1,0
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,开放复合空间,local_TB,training_local_recovery,W001;W002;W010;W012;W013;W017;W018;W030,W010;W030,2,5,0.875,G10_geometry,0,0,0,1,,1,,0,1,0,1,0
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,开放复合空间,local_QTB,training_local_recovery,W001;W010;W012;W013;W030,W010;W030,2,5,0.8,G10_geometry,0,0,0,1,,1,,0,1,0,1,0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,复合／待定,local_Q,training_local_recovery,W001;W006;W008;W010;W011;W012;W013;W014;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,W001;W006;W008;W010;W011;W012;W013;W014;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,18,24,0.857142857143,G10_geometry,1,0,0,0,2,0,0.0248509036281,1,0,1,0,0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,复合／待定,local_T,training_local_recovery,W006;W013;W021,W006;W013;W021,3,24,1,G10_geometry,0,0,0,1,,0,0.0242299867004,1,0,1,0,0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,复合／待定,local_B,training_local_recovery,W006;W011;W021,W006;W011;W021,3,24,1,G10_geometry,0,0,0,1,,0,0.0242299867004,1,0,1,0,0
