design_id,common_anchor_count,bridge_per_worker,unique_bridge_tasks_upper_bound,unique_bridge_tasks,bridge_search_attempt_count,stress_bridge_task_count,stress_bridge_assignment_support,stress_bridge_repeat_support,deterministic_min_worker_support,deterministic_min_task_support,min_task_support,n_assignments,projected_max_ci_half_width,worker_task_graph_connected,stratum_balance_valid,design_method,rank_displacement_gate_role,feasible,non_dominated,failure_reason,all_failure_gates
D8,4,4,44,42,3,9,22,4,8,2,2,176,0.0727193062413631,true,true,c1_risk_slope_precision_candidate_with_downward_unique_bridge_search,post_C2_diagnostic_not_dispatch_gate,true,true,,
D10,6,4,44,41,4,8,22,6,10,2,2,220,0.07374537805946896,true,true,c1_risk_slope_precision_candidate_with_downward_unique_bridge_search,post_C2_diagnostic_not_dispatch_gate,true,true,,
D12,6,6,66,52,15,8,44,28,12,2,2,264,0.0731015463885653,true,true,c1_risk_slope_precision_candidate_with_downward_unique_bridge_search,post_C2_diagnostic_not_dispatch_gate,true,true,,
