cohort,pool,k,partitions,expected_clusters_mean,expected_fraction_mean,weighting
all_archived_N20,all_archived_members,1,63,1.0,0.3729587872445015,equal_partition_fixed_cohort
all_archived_N20,all_archived_members,2,63,1.3905498205498208,0.44884568979038525,equal_partition_fixed_cohort
all_archived_N20,all_archived_members,3,63,1.6744965317636122,0.49866587488219066,equal_partition_fixed_cohort
all_archived_N20,all_archived_members,4,63,1.9133233088512593,0.5400175939571582,equal_partition_fixed_cohort
all_archived_N20,all_archived_members,5,63,2.12463088562304,0.5765959437016244,equal_partition_fixed_cohort
all_archived_N20,all_archived_members,6,63,2.3163880514289144,0.6098597802159779,equal_partition_fixed_cohort
all_archived_N20,all_archived_members,7,63,2.493098704281681,0.6405884811706382,equal_partition_fixed_cohort
all_archived_N20,all_archived_members,8,63,2.657657454959021,0.6692735477388455,equal_partition_fixed_cohort
all_archived_N20,all_archived_members,9,63,2.8120849093025697,0.69625701454867,equal_partition_fixed_cohort
all_archived_N20,all_archived_members,10,63,2.9578743965159173,0.721792298286045,equal_partition_fixed_cohort
all_archived_N20,all_archived_members,11,63,3.096176105346009,0.7460751904089425,equal_partition_fixed_cohort
all_archived_N20,all_archived_members,12,63,3.2279039067366657,0.7692614755491617,equal_partition_fixed_cohort
all_archived_N20,all_archived_members,13,63,3.35380165128021,0.7914778482955246,equal_partition_fixed_cohort
all_archived_N20,all_archived_members,14,63,3.4744863882372297,0.8128291086693428,equal_partition_fixed_cohort
all_archived_N20,all_archived_members,15,63,3.5904775393165487,0.83340310160481,equal_partition_fixed_cohort
all_archived_N20,all_archived_members,16,63,3.7022170985629503,0.8532741939114915,equal_partition_fixed_cohort
all_archived_N20,all_archived_members,17,63,3.8100839183780235,0.8725057588936758,equal_partition_fixed_cohort
all_archived_N20,all_archived_members,18,63,3.9144040602164165,0.8911519738439867,equal_partition_fixed_cohort
all_archived_N20,all_archived_members,19,63,4.015458569495837,0.9092591461310898,equal_partition_fixed_cohort
all_archived_N20,all_archived_members,20,63,4.113489638955477,0.9268667281836015,equal_partition_fixed_cohort
all_archived_N20,current20_archived_members,1,63,1.0,0.37295878724450154,equal_partition_available_at_k
all_archived_N20,current20_archived_members,2,63,1.369765372035754,0.44146611540648095,equal_partition_available_at_k
all_archived_N20,current20_archived_members,3,63,1.638445173390994,0.4866867055924411,equal_partition_available_at_k
all_archived_N20,current20_archived_members,4,63,1.8632105863788009,0.5239820813456496,equal_partition_available_at_k
all_archived_N20,current20_archived_members,5,63,2.060874057225229,0.556750175882796,equal_partition_available_at_k
all_archived_N20,current20_archived_members,6,63,2.239050757504981,0.5863313853022499,equal_partition_available_at_k
all_archived_N20,current20_archived_members,7,63,2.4021073821641417,0.6134515964249767,equal_partition_available_at_k
all_archived_N20,current20_archived_members,8,63,2.5528997776675797,0.638571465527827,equal_partition_available_at_k
all_archived_N20,current20_archived_members,9,63,2.693450555292661,0.6620123775801573,equal_partition_available_at_k
all_archived_N20,current20_archived_members,10,63,2.8252662179390766,0.6840118741053676,equal_partition_available_at_k
