method,pool,cohort,metric,scope,stratum,contexts,images,buildings,rho,image_mean_rho,building_mean_rho,building_centered_rank_correlation,leave_building_min,leave_building_max,leave_building_evaluable,interval
historical_pairmap_unaveraged,all_historical,common_responses,band,extended73,all,49,49,15,0.4397845064298039,0.4397845064298039,0.4071428571428571,0.4322700201741703,0.3710812304552395,0.48676925436286667,15,none_LOBO_range_is_not_confidence_interval
historical_pairmap_unaveraged,all_historical,common_responses,band,extended73,without_synthetic,43,43,14,0.5165003598236033,0.5165003598236033,0.45054945054945056,0.4834355199772413,0.4166917685569753,0.575947733142337,14,none_LOBO_range_is_not_confidence_interval
historical_pairmap_unaveraged,all_historical,common_responses,band,extended73,C1|manual,7,7,4,0.48650622985560193,0.48650622985560193,0.39999999999999997,0.9563650695950074,0.39999999999999997,0.6377481392176932,4,none_LOBO_range_is_not_confidence_interval
historical_pairmap_unaveraged,all_historical,common_responses,band,extended73,C2-B|manual,3,3,2,,,,,,,0,none_LOBO_range_is_not_confidence_interval
historical_pairmap_unaveraged,all_historical,common_responses,band,extended73,P1|manual,18,18,10,0.5370469250492601,0.5370469250492601,0.47416632407045034,0.3859055811185945,0.3273268353539886,0.6546536707079772,10,none_LOBO_range_is_not_confidence_interval
historical_pairmap_unaveraged,all_historical,common_responses,band,extended73,P1|oos,5,5,4,0.7,0.7,1.0,-1.0,0.39999999999999997,0.7999999999999999,3,none_LOBO_range_is_not_confidence_interval
historical_pairmap_unaveraged,all_historical,common_responses,band,extended73,P1|semi,16,16,9,-0.0879651081098014,-0.0879651081098014,0.2928895930645031,-0.2310279968290718,-0.16076096427632552,-0.007529232524210426,9,none_LOBO_range_is_not_confidence_interval
historical_pairmap_unaveraged,all_historical,common_responses,band,all_metric_n3,all,96,85,15,0.12931670917908508,0.1244063194852192,0.1464285714285714,0.0662847985725956,0.05759195406914145,0.2047155904953317,15,none_LOBO_range_is_not_confidence_interval
historical_pairmap_unaveraged,all_historical,common_responses,band,all_metric_n3,without_synthetic,90,79,15,0.14639373728601504,0.14265486174446926,0.10357142857142855,0.07637825859761345,0.07102396549133289,0.22514102363150146,15,none_LOBO_range_is_not_confidence_interval
historical_pairmap_unaveraged,all_historical,common_responses,band,all_metric_n3,C1|manual,41,41,11,-0.06727727294321333,-0.06727727294321333,0.08181818181818183,-0.05571703911905377,-0.16599329879872543,0.04513687239173993,11,none_LOBO_range_is_not_confidence_interval
historical_pairmap_unaveraged,all_historical,common_responses,band,all_metric_n3,C1|semi,13,13,6,-0.06782367663050284,-0.06782367663050284,0.4638168285219587,-0.5638607375032509,-0.27799851904915146,0.06748974310538336,6,none_LOBO_range_is_not_confidence_interval
historical_pairmap_unaveraged,all_historical,common_responses,band,all_metric_n3,C2-B|manual,3,3,2,,,,,,,0,none_LOBO_range_is_not_confidence_interval
historical_pairmap_unaveraged,all_historical,common_responses,band,all_metric_n3,P1|manual,18,18,10,0.5370469250492601,0.5370469250492601,0.47416632407045034,0.3859055811185945,0.3273268353539886,0.6546536707079772,10,none_LOBO_range_is_not_confidence_interval
historical_pairmap_unaveraged,all_historical,common_responses,band,all_metric_n3,P1|oos,5,5,4,0.7,0.7,1.0,-1.0,0.39999999999999997,0.7999999999999999,3,none_LOBO_range_is_not_confidence_interval
historical_pairmap_unaveraged,all_historical,common_responses,band,all_metric_n3,P1|semi,16,16,9,-0.0879651081098014,-0.0879651081098014,0.2928895930645031,-0.2310279968290718,-0.16076096427632552,-0.007529232524210426,9,none_LOBO_range_is_not_confidence_interval
historical_pairmap_unaveraged,all_historical,common_responses,floor,extended73,all,72,72,16,0.4798053551526831,0.4798053551526831,0.4238411743477874,0.432531502690982,0.4351424992013267,0.5110908188115043,16,none_LOBO_range_is_not_confidence_interval
historical_pairmap_unaveraged,all_historical,common_responses,floor,extended73,without_synthetic,66,66,15,0.5120532778510256,0.5120532778510256,0.42895459487824666,0.4472722477923439,0.4666243413151431,0.5530816642179143,15,none_LOBO_range_is_not_confidence_interval
historical_pairmap_unaveraged,all_historical,common_responses,floor,extended73,C1|manual,12,12,5,0.469352733786692,0.469352733786692,0.6,0.544061750577581,0.22424242424242422,0.7061521737462181,5,none_LOBO_range_is_not_confidence_interval
historical_pairmap_unaveraged,all_historical,common_responses,floor,extended73,C2-B|manual,4,4,3,0.632455532033676,0.632455532033676,,,,,0,none_LOBO_range_is_not_confidence_interval
historical_pairmap_unaveraged,all_historical,common_responses,floor,extended73,P1|manual,29,29,12,0.5781799206099129,0.5781799206099129,0.7320501594135719,0.4238141162197837,0.5008072824991272,0.6310467552706808,12,none_LOBO_range_is_not_confidence_interval
historical_pairmap_unaveraged,all_historical,common_responses,floor,extended73,P1|oos,9,9,6,-0.05020964452534338,-0.05020964452534338,-0.08571428571428573,0.22841609628806434,-0.48571428571428577,0.19162020190612145,6,none_LOBO_range_is_not_confidence_interval
historical_pairmap_unaveraged,all_historical,common_responses,floor,extended73,P1|semi,18,18,10,0.2594451577191026,0.2594451577191026,0.1043023302537743,-0.05260166062809916,0.1385752912754208,0.3821578531790892,10,none_LOBO_range_is_not_confidence_interval
historical_pairmap_unaveraged,all_historical,common_responses,floor,all_metric_n3,all,151,134,16,0.19592166708463604,0.2690517462525818,0.45294117647058824,0.110382300344766,0.15976008255083868,0.23611899884403428,16,none_LOBO_range_is_not_confidence_interval
historical_pairmap_unaveraged,all_historical,common_responses,floor,all_metric_n3,without_synthetic,145,128,16,0.2077592820822628,0.28206882274641987,0.4323529411764706,0.1171836294468452,0.17119541904965763,0.24802575337137847,16,none_LOBO_range_is_not_confidence_interval
historical_pairmap_unaveraged,all_historical,common_responses,floor,all_metric_n3,C1|manual,69,69,13,0.17220205565341345,0.17220205565341345,0.19780219780219782,0.16413747224526665,0.12114543809052118,0.22041811445967802,13,none_LOBO_range_is_not_confidence_interval
historical_pairmap_unaveraged,all_historical,common_responses,floor,all_metric_n3,C1|semi,21,21,8,-0.2850659760789206,-0.2850659760789206,-0.04761904761904763,-0.424915204357614,-0.4475814355373388,-0.13284165400153897,8,none_LOBO_range_is_not_confidence_interval
