feature,target,context_policy,n_person_view_comparisons,n_distinct_workers,n_view_pairs,n_rooms,n_buildings,room_macro_difference,building_macro_difference,cluster_CI_low,cluster_CI_high
floor_boundary,quality,all_existing_contexts,0,0,0,0,0,,,,
floor_boundary,quality,same_stage_only,0,0,0,0,0,,,,
floor_boundary,time,all_existing_contexts,0,0,0,0,0,,,,
floor_boundary,time,same_stage_only,0,0,0,0,0,,,,
floor_boundary,scope_non_normal,all_existing_contexts,0,0,0,0,0,,,,
floor_boundary,scope_non_normal,same_stage_only,0,0,0,0,0,,,,
ceiling_boundary,quality,all_existing_contexts,0,0,0,0,0,,,,
ceiling_boundary,quality,same_stage_only,0,0,0,0,0,,,,
ceiling_boundary,time,all_existing_contexts,0,0,0,0,0,,,,
ceiling_boundary,time,same_stage_only,0,0,0,0,0,,,,
ceiling_boundary,scope_non_normal,all_existing_contexts,0,0,0,0,0,,,,
ceiling_boundary,scope_non_normal,same_stage_only,0,0,0,0,0,,,,
corner_occlusion,quality,all_existing_contexts,0,0,0,0,0,,,,
corner_occlusion,quality,same_stage_only,0,0,0,0,0,,,,
corner_occlusion,time,all_existing_contexts,0,0,0,0,0,,,,
corner_occlusion,time,same_stage_only,0,0,0,0,0,,,,
corner_occlusion,scope_non_normal,all_existing_contexts,0,0,0,0,0,,,,
corner_occlusion,scope_non_normal,same_stage_only,0,0,0,0,0,,,,
doorway,quality,all_existing_contexts,0,0,0,0,0,,,,
doorway,quality,same_stage_only,0,0,0,0,0,,,,
doorway,time,all_existing_contexts,0,0,0,0,0,,,,
doorway,time,same_stage_only,0,0,0,0,0,,,,
doorway,scope_non_normal,all_existing_contexts,0,0,0,0,0,,,,
doorway,scope_non_normal,same_stage_only,0,0,0,0,0,,,,
reflection_glass,quality,all_existing_contexts,0,0,0,0,0,,,,
reflection_glass,quality,same_stage_only,0,0,0,0,0,,,,
reflection_glass,time,all_existing_contexts,0,0,0,0,0,,,,
reflection_glass,time,same_stage_only,0,0,0,0,0,,,,
reflection_glass,scope_non_normal,all_existing_contexts,0,0,0,0,0,,,,
reflection_glass,scope_non_normal,same_stage_only,0,0,0,0,0,,,,
connected_space,quality,all_existing_contexts,0,0,0,0,0,,,,
connected_space,quality,same_stage_only,0,0,0,0,0,,,,
connected_space,time,all_existing_contexts,0,0,0,0,0,,,,
connected_space,time,same_stage_only,0,0,0,0,0,,,,
connected_space,scope_non_normal,all_existing_contexts,0,0,0,0,0,,,,
connected_space,scope_non_normal,same_stage_only,0,0,0,0,0,,,,
low_contrast,quality,all_existing_contexts,0,0,0,0,0,,,,
low_contrast,quality,same_stage_only,0,0,0,0,0,,,,
low_contrast,time,all_existing_contexts,0,0,0,0,0,,,,
low_contrast,time,same_stage_only,0,0,0,0,0,,,,
low_contrast,scope_non_normal,all_existing_contexts,0,0,0,0,0,,,,
low_contrast,scope_non_normal,same_stage_only,0,0,0,0,0,,,,
