analysis_role,outer_fold,method,n_tasks,n_evaluable,mean_public_gt_quality,coverage,status
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:b8cTxDM8gDG,A2_cross_fitted_worker_quality_weighted_medoid,2,1,0.9596837318523213,0.5,estimated
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:b8cTxDM8gDG,A3_cluster_support_plus_worker_quality_selector,2,2,0.8184441148676221,1.0,estimated
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:b8cTxDM8gDG,A4_image_evidence_weighted_cluster_selector,2,0,,0.0,not_evaluable
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:b8cTxDM8gDG,A5_topology_preserving_variable_corner_selector,2,1,0.9433631216955972,0.5,estimated
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:b8cTxDM8gDG,A_oracle_evaluator_only,2,2,0.8419528979130784,1.0,estimated
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:e9zR4mvMWw7,A0_current_largest_cluster_medoid,3,3,0.8412726768280692,1.0,estimated
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:e9zR4mvMWw7,A1_global_medoid_over_all_legal_submissions,3,0,,0.0,not_evaluable
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:e9zR4mvMWw7,A2_cross_fitted_worker_quality_weighted_medoid,3,0,,0.0,not_evaluable
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:e9zR4mvMWw7,A3_cluster_support_plus_worker_quality_selector,3,3,0.8412726768280692,1.0,estimated
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:e9zR4mvMWw7,A4_image_evidence_weighted_cluster_selector,3,0,,0.0,not_evaluable
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:e9zR4mvMWw7,A5_topology_preserving_variable_corner_selector,3,0,,0.0,not_evaluable
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:e9zR4mvMWw7,A_oracle_evaluator_only,3,3,0.9089962665665601,1.0,estimated
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:q9vSo1VnCiC,A0_current_largest_cluster_medoid,13,13,0.8463257898910415,1.0,estimated
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:q9vSo1VnCiC,A1_global_medoid_over_all_legal_submissions,13,9,0.883738642593848,0.6923076923076923,estimated
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:q9vSo1VnCiC,A2_cross_fitted_worker_quality_weighted_medoid,13,9,0.8849781721001401,0.6923076923076923,estimated
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:q9vSo1VnCiC,A3_cluster_support_plus_worker_quality_selector,13,13,0.849221016742325,1.0,estimated
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:q9vSo1VnCiC,A4_image_evidence_weighted_cluster_selector,13,0,,0.0,not_evaluable
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:q9vSo1VnCiC,A5_topology_preserving_variable_corner_selector,13,11,0.856209261144605,0.8461538461538461,estimated
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:q9vSo1VnCiC,A_oracle_evaluator_only,13,10,0.8795221432912431,0.7692307692307693,estimated
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:rPc6DW4iMge,A0_current_largest_cluster_medoid,5,5,0.9654854132785973,1.0,estimated
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:rPc6DW4iMge,A1_global_medoid_over_all_legal_submissions,5,2,0.9074709712448169,0.4,estimated
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:rPc6DW4iMge,A2_cross_fitted_worker_quality_weighted_medoid,5,2,0.9145871421671063,0.4,estimated
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:rPc6DW4iMge,A3_cluster_support_plus_worker_quality_selector,5,5,0.9700715401198952,1.0,estimated
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:rPc6DW4iMge,A4_image_evidence_weighted_cluster_selector,5,0,,0.0,not_evaluable
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:rPc6DW4iMge,A5_topology_preserving_variable_corner_selector,5,5,0.9386427468968674,1.0,estimated
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:rPc6DW4iMge,A_oracle_evaluator_only,5,5,0.9806521112328503,1.0,estimated
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:uNb9QFRL6hY,A0_current_largest_cluster_medoid,22,19,0.8873555840512971,0.8636363636363636,estimated
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:uNb9QFRL6hY,A1_global_medoid_over_all_legal_submissions,22,13,0.8713274204374419,0.5909090909090909,estimated
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:uNb9QFRL6hY,A2_cross_fitted_worker_quality_weighted_medoid,22,13,0.8685731772783536,0.5909090909090909,estimated
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:uNb9QFRL6hY,A3_cluster_support_plus_worker_quality_selector,22,20,0.868936036256397,0.9090909090909091,estimated
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:uNb9QFRL6hY,A4_image_evidence_weighted_cluster_selector,22,0,,0.0,not_evaluable
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:uNb9QFRL6hY,A5_topology_preserving_variable_corner_selector,22,20,0.8791843179101584,0.9090909090909091,estimated
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:uNb9QFRL6hY,A_oracle_evaluator_only,22,18,0.9144790509812465,0.8181818181818182,estimated
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:wc2JMjhGNzB,A0_current_largest_cluster_medoid,13,13,0.9068403237829856,1.0,estimated
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:wc2JMjhGNzB,A1_global_medoid_over_all_legal_submissions,13,7,0.9338394735303506,0.5384615384615384,estimated
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:wc2JMjhGNzB,A2_cross_fitted_worker_quality_weighted_medoid,13,7,0.9338394735303506,0.5384615384615384,estimated
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:wc2JMjhGNzB,A3_cluster_support_plus_worker_quality_selector,13,13,0.9209958670558573,1.0,estimated
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:wc2JMjhGNzB,A4_image_evidence_weighted_cluster_selector,13,0,,0.0,not_evaluable
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:wc2JMjhGNzB,A5_topology_preserving_variable_corner_selector,13,13,0.9259270739983483,1.0,estimated
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:wc2JMjhGNzB,A_oracle_evaluator_only,13,9,0.9525043539625686,0.6923076923076923,estimated
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:x8F5xyUWy9e,A0_current_largest_cluster_medoid,2,2,0.9521546933611609,1.0,estimated
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:x8F5xyUWy9e,A1_global_medoid_over_all_legal_submissions,2,2,0.9418968682880382,1.0,estimated
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:x8F5xyUWy9e,A2_cross_fitted_worker_quality_weighted_medoid,2,2,0.9418968682880382,1.0,estimated
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:x8F5xyUWy9e,A3_cluster_support_plus_worker_quality_selector,2,2,0.9414082470687439,1.0,estimated
