cohort,model,groups,support,attempts,available,no_singletons,all_groups_represented,shared_workers_median,ari_median
all26,Q,6,diagnostic_3rows_2buildings,100,100,0,85,25.0,0.11880383059571906
all26,Q,6,primary_6rows_3buildings,100,100,0,96,25.0,0.11115517867769698
all26,Q,7,diagnostic_3rows_2buildings,100,100,0,83,25.0,0.07924783454493851
all26,Q,7,primary_6rows_3buildings,100,100,0,96,25.0,0.07765279548911458
all26,Q,8,diagnostic_3rows_2buildings,100,100,0,83,25.0,0.059847573226859574
all26,Q,8,primary_6rows_3buildings,100,100,0,96,25.0,0.05234348272322956
all26,Q,9,diagnostic_3rows_2buildings,100,100,0,83,25.0,0.05118766659347697
all26,Q,9,primary_6rows_3buildings,100,100,0,96,25.0,0.05312669723885195
all26,Q,10,diagnostic_3rows_2buildings,100,100,0,83,25.0,0.03807103774975729
all26,Q,10,primary_6rows_3buildings,100,100,0,96,25.0,0.03817918107686702
all26,Q,11,diagnostic_3rows_2buildings,100,100,0,83,25.0,0.030981827932384222
all26,Q,11,primary_6rows_3buildings,100,100,0,96,25.0,0.02972313307713994
all26,Q,12,diagnostic_3rows_2buildings,100,100,0,83,25.0,0.015142772355579003
all26,Q,12,primary_6rows_3buildings,100,100,0,96,25.0,0.015142772355579003
all26,QB,2,diagnostic_3rows_2buildings,100,100,4,99,25.0,1.0
all26,QB,2,primary_6rows_3buildings,100,91,2,54,25.0,0.06181015452538618
all26,QB,3,diagnostic_3rows_2buildings,100,100,1,99,25.0,0.08675799086758007
all26,QB,3,primary_6rows_3buildings,100,91,0,52,25.0,0.08695652173913047
all26,QB,4,diagnostic_3rows_2buildings,100,100,0,99,25.0,0.5936423673649951
all26,QB,4,primary_6rows_3buildings,100,89,0,52,25.0,0.47058823529411764
all26,QB,5,diagnostic_3rows_2buildings,100,100,0,94,25.0,0.4730089152488082
all26,QB,5,primary_6rows_3buildings,100,88,0,52,25.0,0.4251888562534377
all26,QB,6,diagnostic_3rows_2buildings,100,100,0,87,25.0,0.3755555618851602
all26,QB,6,primary_6rows_3buildings,100,88,0,52,25.0,0.33132212530906735
all26,QB,7,diagnostic_3rows_2buildings,100,100,0,82,25.0,0.2800973605966578
all26,QB,7,primary_6rows_3buildings,100,88,0,52,25.0,0.26554248543777337
all26,QB,8,diagnostic_3rows_2buildings,100,100,0,82,25.0,0.22682276929691486
all26,QB,8,primary_6rows_3buildings,100,86,0,52,25.0,0.20531218848120644
all26,QB,9,diagnostic_3rows_2buildings,100,100,0,82,25.0,0.194395818621259
all26,QB,9,primary_6rows_3buildings,100,86,0,52,25.0,0.17758980672634217
all26,QB,10,diagnostic_3rows_2buildings,100,100,0,82,25.0,0.1673738193624557
all26,QB,10,primary_6rows_3buildings,100,81,0,52,25.0,0.16062571537581075
all26,QB,11,diagnostic_3rows_2buildings,100,100,0,82,25.0,0.14493549605959194
all26,QB,11,primary_6rows_3buildings,100,81,0,52,25.0,0.11616161616161616
