cohort,model,groups,role,support,attempts,available,both_at_least_2,jaccard_median,adjusted_jaccard_median
all26,B,2,benefit_high,diagnostic_3rows_2buildings,100,100,100,0.875,0.4843788137661704
all26,B,2,benefit_high,primary_6rows_3buildings,100,91,91,0.6842105263157895,0.0
all26,B,2,benefit_low,diagnostic_3rows_2buildings,100,100,100,0.4,0.357495881383855
all26,B,2,benefit_low,primary_6rows_3buildings,100,91,71,0.1,0.0
all26,B,2,edit_high,diagnostic_3rows_2buildings,100,100,100,0.875,0.4843788137661704
all26,B,2,edit_high,primary_6rows_3buildings,100,91,88,0.42857142857142855,0.11016303873600766
all26,B,2,edit_low,diagnostic_3rows_2buildings,100,100,100,0.4,0.357495881383855
all26,B,2,edit_low,primary_6rows_3buildings,100,91,71,0.23529411764705882,0.09349899949830211
all26,B,3,benefit_high,diagnostic_3rows_2buildings,100,100,100,0.7222222222222222,0.5822143490162749
all26,B,3,benefit_high,primary_6rows_3buildings,100,91,89,0.7333333333333333,0.5617769069586499
all26,B,3,benefit_low,diagnostic_3rows_2buildings,100,100,100,0.6,0.5588083398503785
all26,B,3,benefit_low,primary_6rows_3buildings,100,91,67,0.5,0.4772727272727273
all26,B,3,edit_high,diagnostic_3rows_2buildings,100,100,100,0.6201923076923077,0.5225115774783041
all26,B,3,edit_high,primary_6rows_3buildings,100,91,87,0.6153846153846154,0.5083533630640343
all26,B,3,edit_low,diagnostic_3rows_2buildings,100,100,100,0.6,0.5619208087615838
all26,B,3,edit_low,primary_6rows_3buildings,100,91,67,0.6,0.5619208087615838
all26,B,4,benefit_high,diagnostic_3rows_2buildings,100,100,97,0.6153846153846154,0.46835848653010903
all26,B,4,benefit_high,primary_6rows_3buildings,100,89,85,0.6153846153846154,0.4323875042786053
all26,B,4,benefit_low,diagnostic_3rows_2buildings,100,100,20,0.14285714285714285,0.10857142857142855
all26,B,4,benefit_low,primary_6rows_3buildings,100,89,16,0.0,0.0
all26,B,4,edit_high,diagnostic_3rows_2buildings,100,100,100,0.6,0.5061822901070947
all26,B,4,edit_high,primary_6rows_3buildings,100,89,81,0.6,0.47785999032076193
all26,B,4,edit_low,diagnostic_3rows_2buildings,100,100,99,0.5,0.46616294349540077
all26,B,4,edit_low,primary_6rows_3buildings,100,89,64,0.5,0.46616294349540077
all26,B,5,benefit_high,diagnostic_3rows_2buildings,100,100,86,0.3333333333333333,0.19204344300472492
all26,B,5,benefit_high,primary_6rows_3buildings,100,88,72,0.2928571428571428,0.17939433266500315
all26,B,5,benefit_low,diagnostic_3rows_2buildings,100,100,0,0.25,0.22
all26,B,5,benefit_low,primary_6rows_3buildings,100,88,0,0.0,0.0
all26,B,5,edit_high,diagnostic_3rows_2buildings,100,100,93,0.5714285714285714,0.4921054039508898
all26,B,5,edit_high,primary_6rows_3buildings,100,88,70,0.5,0.4485576132698562
all26,B,5,edit_low,diagnostic_3rows_2buildings,100,100,99,0.5,0.46616294349540077
all26,B,5,edit_low,primary_6rows_3buildings,100,88,58,0.5,0.46616294349540077
all26,B,6,benefit_high,diagnostic_3rows_2buildings,100,100,82,0.25,0.1388868787477524
all26,B,6,benefit_high,primary_6rows_3buildings,100,88,68,0.25,0.13850395057474094
all26,B,6,benefit_low,diagnostic_3rows_2buildings,100,100,0,0.5,0.48000000000000004
all26,B,6,benefit_low,primary_6rows_3buildings,100,88,0,0.0,0.0
all26,B,6,edit_high,diagnostic_3rows_2buildings,100,100,81,0.4365079365079365,0.3555915418451836
all26,B,6,edit_high,primary_6rows_3buildings,100,88,57,0.3333333333333333,0.25925925925925924
all26,B,6,edit_low,diagnostic_3rows_2buildings,100,100,98,0.5,0.46616294349540077
all26,B,6,edit_low,primary_6rows_3buildings,100,88,56,0.5,0.47619047619047616
all26,B,7,benefit_high,diagnostic_3rows_2buildings,100,100,67,0.19090909090909092,0.1183552481505333
all26,B,7,benefit_high,primary_6rows_3buildings,100,88,55,0.2,0.12844713058401608
all26,B,7,benefit_low,diagnostic_3rows_2buildings,100,100,0,1.0,1.0
all26,B,7,benefit_low,primary_6rows_3buildings,100,88,0,0.0,0.0
all26,B,7,edit_high,diagnostic_3rows_2buildings,100,100,58,0.25,0.22
all26,B,7,edit_high,primary_6rows_3buildings,100,88,41,0.25,0.2015625
all26,B,7,edit_low,diagnostic_3rows_2buildings,100,100,95,0.6666666666666666,0.6456800218043063
all26,B,7,edit_low,primary_6rows_3buildings,100,88,55,0.6666666666666666,0.6456800218043063
all26,B,8,benefit_high,diagnostic_3rows_2buildings,100,100,56,0.15476190476190477,0.10763316858868752
all26,B,8,benefit_high,primary_6rows_3buildings,100,86,44,0.14285714285714285,0.09276820673453406
all26,B,8,benefit_low,diagnostic_3rows_2buildings,100,100,0,1.0,1.0
all26,B,8,benefit_low,primary_6rows_3buildings,100,86,0,0.0,0.0
all26,B,8,edit_high,diagnostic_3rows_2buildings,100,100,49,0.25,0.22
all26,B,8,edit_high,primary_6rows_3buildings,100,86,35,0.25,0.20572916666666666
all26,B,8,edit_low,diagnostic_3rows_2buildings,100,100,91,0.6666666666666666,0.6456800218043063
all26,B,8,edit_low,primary_6rows_3buildings,100,86,52,0.6666666666666666,0.6456800218043063
all26,B,9,benefit_high,diagnostic_3rows_2buildings,100,100,43,0.14285714285714285,0.09
all26,B,9,benefit_high,primary_6rows_3buildings,100,86,31,0.13392857142857142,0.09
all26,B,9,benefit_low,diagnostic_3rows_2buildings,100,100,0,1.0,1.0
all26,B,9,benefit_low,primary_6rows_3buildings,100,86,0,0.0,0.0
all26,B,9,edit_high,diagnostic_3rows_2buildings,100,100,37,0.25,0.22
all26,B,9,edit_high,primary_6rows_3buildings,100,86,24,0.29166666666666663,0.23962962962962964
all26,B,9,edit_low,diagnostic_3rows_2buildings,100,100,83,0.6666666666666666,0.6456800218043063
all26,B,9,edit_low,primary_6rows_3buildings,100,86,46,0.6666666666666666,0.6456800218043063
all26,B,10,benefit_high,diagnostic_3rows_2buildings,100,100,34,0.2,0.14586070959264127
all26,B,10,benefit_high,primary_6rows_3buildings,100,81,23,0.2,0.168
all26,B,10,benefit_low,diagnostic_3rows_2buildings,100,100,0,1.0,1.0
all26,B,10,benefit_low,primary_6rows_3buildings,100,81,0,0.0,0.0
all26,B,10,edit_high,diagnostic_3rows_2buildings,100,100,24,0.29166666666666663,0.2581481481481481
all26,B,10,edit_high,primary_6rows_3buildings,100,81,15,0.25,0.22
all26,B,10,edit_low,diagnostic_3rows_2buildings,100,100,70,0.6666666666666666,0.6456800218043063
all26,B,10,edit_low,primary_6rows_3buildings,100,81,35,0.6666666666666666,0.6456800218043063
all26,B,11,benefit_high,diagnostic_3rows_2buildings,100,100,29,0.2,0.1395970214629873
all26,B,11,benefit_high,primary_6rows_3buildings,100,81,20,0.2,0.14586070959264127
all26,B,11,benefit_low,diagnostic_3rows_2buildings,100,100,0,1.0,1.0
all26,B,11,benefit_low,primary_6rows_3buildings,100,81,0,0.0,0.0
all26,B,11,edit_high,diagnostic_3rows_2buildings,100,100,14,0.3333333333333333,0.3066666666666666
all26,B,11,edit_high,primary_6rows_3buildings,100,81,11,0.3333333333333333,0.3066666666666666
all26,B,11,edit_low,diagnostic_3rows_2buildings,100,100,62,0.6666666666666666,0.6456800218043063
all26,B,11,edit_low,primary_6rows_3buildings,100,81,32,0.6666666666666666,0.6456800218043063
all26,B,12,benefit_high,diagnostic_3rows_2buildings,100,100,15,0.25,0.2027800490596893
all26,B,12,benefit_high,primary_6rows_3buildings,100,78,12,0.25,0.2027800490596893
all26,B,12,benefit_low,diagnostic_3rows_2buildings,100,100,0,1.0,1.0
all26,B,12,benefit_low,primary_6rows_3buildings,100,78,0,0.0,0.0
all26,B,12,edit_high,diagnostic_3rows_2buildings,100,100,4,0.3333333333333333,0.3066666666666666
all26,B,12,edit_high,primary_6rows_3buildings,100,78,3,0.3333333333333333,0.3066666666666666
all26,B,12,edit_low,diagnostic_3rows_2buildings,100,100,51,0.6666666666666666,0.6456800218043063
all26,B,12,edit_low,primary_6rows_3buildings,100,78,27,0.6666666666666666,0.6456800218043063
all26,B,13,benefit_high,diagnostic_3rows_2buildings,100,100,11,0.3333333333333333,0.2965367965367965
all26,B,13,benefit_high,primary_6rows_3buildings,100,78,9,0.3333333333333333,0.2965367965367965
all26,B,13,benefit_low,diagnostic_3rows_2buildings,100,100,0,1.0,1.0
all26,B,13,benefit_low,primary_6rows_3buildings,100,78,0,0.0,0.0
all26,B,13,edit_high,diagnostic_3rows_2buildings,100,100,4,0.41666666666666663,0.38944444444444437
all26,B,13,edit_high,primary_6rows_3buildings,100,78,3,0.3333333333333333,0.3066666666666666
all26,B,13,edit_low,diagnostic_3rows_2buildings,100,100,44,0.5,0.48000000000000004
all26,B,13,edit_low,primary_6rows_3buildings,100,78,22,0.5,0.48000000000000004
all26,Q,2,quality_high,diagnostic_3rows_2buildings,100,100,0,1.0,1.0
all26,Q,2,quality_high,primary_6rows_3buildings,100,100,0,1.0,1.0
all26,Q,2,quality_low,diagnostic_3rows_2buildings,100,100,100,1.0,1.0
all26,Q,2,quality_low,primary_6rows_3buildings,100,100,100,1.0,1.0
all26,Q,3,quality_high,diagnostic_3rows_2buildings,100,100,0,1.0,1.0
all26,Q,3,quality_high,primary_6rows_3buildings,100,100,0,1.0,1.0
all26,Q,3,quality_low,diagnostic_3rows_2buildings,100,100,99,0.3333333333333333,0.2470202901165454
all26,Q,3,quality_low,primary_6rows_3buildings,100,100,99,0.3333333333333333,0.2470202901165454
all26,Q,4,quality_high,diagnostic_3rows_2buildings,100,100,0,1.0,1.0
all26,Q,4,quality_high,primary_6rows_3buildings,100,100,0,1.0,1.0
all26,Q,4,quality_low,diagnostic_3rows_2buildings,100,100,78,0.4,0.3449159783537454
all26,Q,4,quality_low,primary_6rows_3buildings,100,100,78,0.4,0.3449159783537454
all26,Q,5,quality_high,diagnostic_3rows_2buildings,100,100,0,1.0,1.0
all26,Q,5,quality_high,primary_6rows_3buildings,100,100,0,1.0,1.0
all26,Q,5,quality_low,diagnostic_3rows_2buildings,100,100,51,0.5,0.4791666666666667
all26,Q,5,quality_low,primary_6rows_3buildings,100,100,43,0.5,0.4791666666666667
all26,Q,6,quality_high,diagnostic_3rows_2buildings,100,100,0,1.0,1.0
all26,Q,6,quality_high,primary_6rows_3buildings,100,100,0,1.0,1.0
all26,Q,6,quality_low,diagnostic_3rows_2buildings,100,100,19,0.5,0.4791666666666667
all26,Q,6,quality_low,primary_6rows_3buildings,100,100,19,0.5,0.4791666666666667
all26,Q,7,quality_high,diagnostic_3rows_2buildings,100,100,0,1.0,1.0
all26,Q,7,quality_high,primary_6rows_3buildings,100,100,0,1.0,1.0
all26,Q,7,quality_low,diagnostic_3rows_2buildings,100,100,8,0.5,0.4791666666666667
all26,Q,7,quality_low,primary_6rows_3buildings,100,100,7,0.5,0.4791666666666667
all26,Q,8,quality_high,diagnostic_3rows_2buildings,100,100,0,1.0,1.0
all26,Q,8,quality_high,primary_6rows_3buildings,100,100,0,1.0,1.0
