cohort,model,groups,group,support,attempts,available,both_at_least_2,jaccard_median,chance_jaccard_median,adjusted_jaccard_median
all26,B,9,5,diagnostic_3rows_2buildings,100,100,40,0.10555555555555556,0.038461538461538464,0.01251865056630596
all26,B,9,5,primary_6rows_3buildings,100,86,34,0.0,0.038461538461538464,0.0
all26,B,9,6,diagnostic_3rows_2buildings,100,100,64,0.0,0.07076923076923076,-0.039999999999999994
all26,B,9,6,primary_6rows_3buildings,100,86,48,0.0,0.06998085248085248,-0.039999999999999994
all26,B,9,7,diagnostic_3rows_2buildings,100,100,60,0.0,0.05923076923076923,-0.04
all26,B,9,7,primary_6rows_3buildings,100,86,47,0.0,0.06338461538461539,-0.04
all26,B,9,8,diagnostic_3rows_2buildings,100,100,89,0.2,0.06714285714285714,0.13789530401624736
all26,B,9,8,primary_6rows_3buildings,100,86,67,0.2,0.07193675889328063,0.13636338234520234
all26,B,9,9,diagnostic_3rows_2buildings,100,100,37,0.25,0.038461538461538464,0.22
all26,B,9,9,primary_6rows_3buildings,100,86,24,0.29166666666666663,0.045454545454545456,0.23962962962962964
all26,B,10,1,diagnostic_3rows_2buildings,100,100,70,0.6666666666666666,0.05230769230769231,0.6456800218043063
all26,B,10,1,primary_6rows_3buildings,100,81,35,0.6666666666666666,0.05230769230769231,0.6456800218043063
all26,B,10,2,diagnostic_3rows_2buildings,100,100,19,0.5,0.038461538461538464,0.48000000000000004
all26,B,10,2,primary_6rows_3buildings,100,81,11,0.3333333333333333,0.038461538461538464,0.3066666666666666
all26,B,10,3,diagnostic_3rows_2buildings,100,100,21,0.0,0.038461538461538464,-0.04
all26,B,10,3,primary_6rows_3buildings,100,81,17,0.0,0.038461538461538464,-0.04
all26,B,10,4,diagnostic_3rows_2buildings,100,100,25,0.0,0.038461538461538464,-0.04
all26,B,10,4,primary_6rows_3buildings,100,81,18,0.0,0.038461538461538464,-0.04
all26,B,10,5,diagnostic_3rows_2buildings,100,100,31,0.0,0.038461538461538464,-0.04
all26,B,10,5,primary_6rows_3buildings,100,81,26,0.0,0.038461538461538464,-0.04
all26,B,10,6,diagnostic_3rows_2buildings,100,100,58,0.0,0.06961538461538462,-0.039999999999999994
all26,B,10,6,primary_6rows_3buildings,100,81,43,0.0,0.06961538461538462,-0.039999999999999994
all26,B,10,7,diagnostic_3rows_2buildings,100,100,55,0.0,0.06338461538461539,-0.04
all26,B,10,7,primary_6rows_3buildings,100,81,42,0.0,0.06615384615384616,-0.04
all26,B,10,8,diagnostic_3rows_2buildings,100,100,70,0.0,0.05923076923076923,-0.04
all26,B,10,8,primary_6rows_3buildings,100,81,50,0.0,0.05923076923076923,-0.04
all26,B,10,9,diagnostic_3rows_2buildings,100,100,87,0.2,0.06338461538461539,0.14586070959264127
all26,B,10,9,primary_6rows_3buildings,100,81,63,0.2,0.06338461538461539,0.14586070959264127
all26,B,10,10,diagnostic_3rows_2buildings,100,100,24,0.29166666666666663,0.038461538461538464,0.2581481481481481
all26,B,10,10,primary_6rows_3buildings,100,81,15,0.25,0.038461538461538464,0.22
all26,B,11,1,diagnostic_3rows_2buildings,100,100,62,0.6666666666666666,0.05230769230769231,0.6456800218043063
all26,B,11,1,primary_6rows_3buildings,100,81,32,0.6666666666666666,0.047619047619047616,0.6456800218043063
all26,B,11,2,diagnostic_3rows_2buildings,100,100,9,0.5,0.038461538461538464,0.48000000000000004
