cohort,model,groups,workers,sizes,singleton_groups,min_size,max_size
all26,B,2,26,5|21,0,5,21
all26,B,3,26,5|13|8,0,5,13
all26,B,4,26,4|1|13|8,1,1,13
all26,B,5,26,2|2|1|13|8,1,1,13
all26,B,6,26,2|2|1|13|3|5,1,1,13
all26,B,7,26,2|2|1|4|9|3|5,1,1,9
all26,B,8,26,2|2|1|4|9|1|3|4,2,1,9
all26,B,9,26,2|2|4|1|4|5|1|3|4,2,1,5
all26,B,10,26,2|2|4|1|3|1|5|1|3|4,3,1,5
all26,B,11,26,2|2|4|1|3|1|5|1|3|3|1,4,1,5
all26,B,12,26,2|1|1|4|1|3|1|5|1|3|3|1,6,1,5
all26,B,13,26,2|1|1|4|1|3|1|2|3|1|3|3|1,6,1,4
all26,Q,2,25,24|1,1,1,24
all26,Q,3,25,6|18|1,1,1,18
all26,Q,4,25,6|16|2|1,1,1,16
all26,Q,5,25,2|4|16|2|1,1,1,16
all26,Q,6,25,2|4|8|8|2|1,1,1,8
all26,Q,7,25,1|1|4|8|8|2|1,3,1,8
all26,Q,8,25,1|1|4|8|5|3|2|1,3,1,8
all26,Q,9,25,1|1|4|2|6|5|3|2|1,3,1,6
all26,Q,10,25,1|1|1|3|2|6|5|3|2|1,4,1,6
all26,Q,11,25,1|1|1|3|2|6|5|3|1|1|1,6,1,6
all26,Q,12,25,1|1|1|3|2|4|2|5|3|1|1|1,6,1,5
all26,QB,2,25,24|1,1,1,24
all26,QB,3,25,16|8|1,1,1,16
all26,QB,4,25,13|3|8|1,1,1,13
all26,QB,5,25,5|3|8|8|1,1,1,8
all26,QB,6,25,5|3|8|7|1|1,2,1,8
all26,QB,7,25,2|3|3|8|7|1|1,2,1,8
all26,QB,8,25,2|3|3|8|4|3|1|1,2,1,8
all26,QB,9,25,2|3|3|4|4|4|3|1|1,2,1,4
all26,QB,10,25,2|3|2|1|4|4|4|3|1|1,3,1,4
all26,QB,11,25,2|3|2|1|4|3|4|3|1|1|1,4,1,4
all26,QB,12,25,2|3|2|1|3|1|3|4|3|1|1|1,5,1,4
all26,QS,2,25,24|1,1,1,24
all26,QS,3,25,21|3|1,1,1,21
all26,QS,4,25,9|12|3|1,1,1,12
all26,QS,5,25,2|12|7|3|1,1,1,12
all26,QS,6,25,2|9|7|3|3|1,1,1,9
all26,QS,7,25,2|9|7|3|1|2|1,2,1,9
all26,QS,8,25,2|4|5|7|3|1|2|1,2,1,7
all26,QS,9,25,2|4|5|5|2|3|1|2|1,2,1,5
all26,QS,10,25,2|4|2|5|5|2|1|2|1|1,3,1,5
all26,QS,11,25,2|4|2|5|5|2|1|1|1|1|1,5,1,5
all26,QS,12,25,2|2|2|2|5|5|2|1|1|1|1|1,5,1,5
all26,QSB,2,25,24|1,1,1,24
all26,QSB,3,25,16|8|1,1,1,16
all26,QSB,4,25,13|3|8|1,1,1,13
all26,QSB,5,25,13|3|6|2|1,1,1,13
all26,QSB,6,25,2|3|11|6|2|1,1,1,11
all26,QSB,7,25,2|3|11|4|2|2|1,1,1,11
all26,QSB,8,25,2|3|7|4|4|2|2|1,1,1,7
all26,QSB,9,25,2|3|7|4|2|2|2|2|1,1,1,7
all26,QSB,10,25,2|3|6|1|4|2|2|2|2|1,2,1,6
all26,QSB,11,25,2|2|1|6|1|4|2|2|2|2|1,3,1,6
all26,QSB,12,25,2|2|1|6|1|4|2|1|2|1|2|1,5,1,6
all26,QT,2,24,23|1,1,1,23
all26,QT,3,24,11|12|1,1,1,12
all26,QT,4,24,4|7|12|1,1,1,12
all26,QT,5,24,4|6|7|6|1,1,1,7
all26,QT,6,24,4|5|7|1|6|1,2,1,7
all26,QT,7,24,1|3|5|7|1|6|1,3,1,7
all26,QT,8,24,1|3|5|4|3|1|6|1,3,1,6
all26,QT,9,24,1|1|3|4|4|3|1|6|1,4,1,6
all26,QT,10,24,1|1|3|4|4|3|1|4|2|1,4,1,4
all26,QT,11,24,1|1|3|2|4|3|1|2|4|2|1,4,1,4
all26,QT,12,24,1|1|3|2|4|3|1|2|4|1|1|1,6,1,4
all26,QTB,2,24,23|1,1,1,23
all26,QTB,3,24,12|11|1,1,1,12
all26,QTB,4,24,9|3|11|1,1,1,11
all26,QTB,5,24,9|3|6|5|1,1,1,9
all26,QTB,6,24,4|3|6|5|5|1,1,1,6
all26,QTB,7,24,4|2|1|6|5|5|1,2,1,6
all26,QTB,8,24,4|2|1|5|5|1|5|1,3,1,5
all26,QTB,9,24,4|2|1|5|2|1|3|5|1,3,1,5
all26,QTB,10,24,1|4|2|1|4|2|1|3|5|1,4,1,5
all26,QTB,11,24,1|1|3|2|1|4|2|1|3|5|1,5,1,5
all26,QTB,12,24,1|1|3|2|1|4|2|1|3|4|1|1,6,1,4
all26,QTS,2,24,23|1,1,1,23
all26,QTS,3,24,12|11|1,1,1,12
all26,QTS,4,24,12|8|3|1,1,1,12
