condition,mode,affected_images,paired_responses,iou_delta_median,iou_delta_p95,iou_abs_delta_median,iou_abs_delta_p95,abs_dy_delta_px_median,abs_dy_delta_px_p95,abs_dy_abs_delta_px_median,abs_dy_abs_delta_px_p95
manual,curve,21,384,0.04477044655868101,0.26913394962927073,0.055381035568693004,0.27352402740399406,-0.02968528385360969,4.659884862033375,0.8347065273424619,5.084578624803488
manual,linear,21,384,0.054781024419679025,0.3012650842039655,0.0709295119868878,0.3012650842039655,-0.11996868534313876,2.9027342193200547,0.6162007028573839,3.728016364442624
oos,curve,1,24,0.08845880709185494,0.14774038235462322,0.08845880709185494,0.14774038235462322,-1.5756271302262235,1.5756271302262235,1.5756271302262235,1.5756271302262241
oos,linear,1,24,0.04745685934336641,0.09558198267038262,0.04745685934336641,0.09558198267038262,-1.352393305047542,1.352393305047542,1.352393305047542,1.3523933050475423
semi,curve,7,146,0.033814223145682165,0.13971696235931283,0.04239496259189035,0.13971696235931283,-0.021946032097304197,1.1259410492513666,0.7742989063257821,6.098533197181723
semi,linear,7,146,0.03955795794454453,0.39246323529411764,0.04483401081273203,0.39246323529411764,-6.689771856827065e-05,0.37747125856287767,0.02434992667201663,1.864099012255224
