mode,gt_version,condition,metric,total_rows,ok_rows,unavailable_rows,n,median,p90,p95
curve,gt_original,manual,abs_dy_px,2265,2185,80,2185,2.567939990907746,8.727993828239223,12.049596704803571
curve,gt_original,manual,abs_erp_dx_px,2265,2185,80,2185,4.67395413535678,35.25377264286,46.63779977105282
curve,gt_original,manual,erp_distance_px,2265,2185,80,2185,7.214454350965057,35.642164261150384,47.02254454047691
curve,gt_original,manual,abs_circular_dx_px,2265,2185,80,2185,18.36038648167296,156.52841589353346,276.40740571106994
curve,gt_original,manual,circular_R,2265,2185,80,2185,0.17610534754704,0.3111130766774525,0.33633268423576995
curve,gt_original,manual,gt_circular_R,2265,2185,80,2185,0.1824382525424043,0.313323559824018,0.3414639582878314
curve,gt_original,manual,iou,2265,2185,80,2185,0.9257522647607777,0.9763810228123972,0.9835440093911421
curve,gt_original,oos,abs_dy_px,216,182,34,182,2.5810076811709735,7.380765718332705,8.437393097682907
curve,gt_original,oos,abs_erp_dx_px,216,182,34,182,10.828518126954577,80.3355584622318,87.32663216367514
curve,gt_original,oos,erp_distance_px,216,182,34,182,12.491656329284321,80.33558219230423,87.34144117730123
curve,gt_original,oos,abs_circular_dx_px,216,182,34,182,22.88222535299246,285.2642882801857,331.0391575479711
curve,gt_original,oos,circular_R,216,182,34,182,0.2480196996508071,0.4163384452757739,0.45901302463643673
curve,gt_original,oos,gt_circular_R,216,182,34,182,0.2585718968397315,0.3652012595564862,0.3652012595564862
curve,gt_original,oos,iou,216,182,34,182,0.8240307442942668,0.9601690144592975,0.9692087369219445
curve,gt_original,semi,abs_dy_px,538,530,8,530,1.8402399080055147,6.142530895205028,8.366151864236125
curve,gt_original,semi,abs_erp_dx_px,538,530,8,530,2.472256018038877,20.401820277743013,25.10249325878931
curve,gt_original,semi,erp_distance_px,538,530,8,530,4.4071257603594205,22.27889668052543,25.327369870317888
curve,gt_original,semi,abs_circular_dx_px,538,530,8,530,8.425671443711813,71.42242666214669,130.0072761225884
curve,gt_original,semi,circular_R,538,530,8,530,0.22494862594182774,0.30855362491689825,0.3325803583617234
curve,gt_original,semi,gt_circular_R,538,530,8,530,0.2240617710549882,0.3069743812493615,0.3092300001897985
curve,gt_original,semi,iou,538,530,8,530,0.9610143248094403,0.9891905559385866,1.0
curve,gt_revised,manual,abs_dy_px,2265,2185,80,2185,2.584386008358877,8.715335850303271,11.698847306357756
curve,gt_revised,manual,abs_erp_dx_px,2265,2185,80,2185,3.9153355259267073,31.899900343923882,43.53351424395489
