condition,target,new,baseline,images,groups,delta,macro_delta,lo,hi
manual,singleton_share,selected_counts_dino,selected_counts_existing,185,22,-0.0109632155629,0.0137219283239,-0.0314377080355,0.0131495707769
manual,singleton_share,main_plus::feedback_all,constant,185,22,0.0137518997174,0.0280536331116,-0.0199893077741,0.04286840218
manual,singleton_share,selected_dino,constant,187,22,0.037420418461,0.0339290161626,-0.0165724347731,0.0896358858935
manual,within_cluster_median,feedback_counts,constant,143,22,-0.000159388338859,-0.000182172320564,-0.000570720209425,0.000282043170772
manual,within_cluster_median,feedback_all,constant,143,22,-5.43114874362e-05,4.42282705179e-05,-0.000311388501307,0.000227498124662
manual,within_cluster_median,feedback_all,feedback_counts,143,22,0.000105076851422,0.000226400591082,-0.000365649291644,0.000616211658163
manual,within_cluster_median,selected_counts_dino,selected_counts_existing,143,22,0.0011479804288,0.0012810347314,0.000404474297936,0.00205733847359
manual,within_cluster_median,main_plus::feedback_all,constant,143,22,-0.000215943084949,-0.000218772669432,-0.000913423773862,0.000538108439433
manual,within_cluster_median,selected_dino,constant,145,22,-0.000713461728901,-0.00114831482862,-0.0018053862963,0.000400412713754
semi,candidate_v2,feedback_counts,constant,14,7,0.0227913788929,0.0449967461728,-0.00598960978456,0.0888572240605
semi,candidate_v2,feedback_all,constant,14,7,0.154809308469,0.281833359841,0.0178169849664,0.475852636508
semi,candidate_v2,feedback_all,feedback_counts,14,7,0.132017929576,0.236836613668,0.0045492854972,0.420028632746
semi,candidate_v2,selected_counts_dino,selected_counts_existing,14,7,0.165013086956,0.179707331432,-0.001232209397,0.380589482667
semi,candidate_v2,main_plus::feedback_all,constant,14,7,0.206660794448,0.0846852676601,-0.00711743059995,0.402103266631
semi,candidate_v2,selected_dino,constant,14,7,0.0682821466323,0.00379269935282,-0.108150188542,0.239746330073
semi,core10_p_by_19,feedback_counts,constant,42,12,-0.00155649517667,-0.00720949996853,-0.0219907591075,0.0136665679659
semi,core10_p_by_19,feedback_all,constant,42,12,0.00886680790828,-2.47381199286e-05,-0.0178676268296,0.0366686917141
semi,core10_p_by_19,feedback_all,feedback_counts,42,12,0.010423303085,0.0071847618486,-0.00762708286762,0.0425418024627
semi,core10_p_by_19,selected_counts_dino,selected_counts_existing,42,12,-0.0308578039805,-0.0292318630066,-0.0514680011118,-0.0127881453762
semi,core10_p_by_19,main_plus::feedback_all,constant,42,12,-0.00130604499911,-0.00235681194671,-0.0193930672279,0.0138858843057
semi,core10_p_by_19,selected_dino,constant,42,12,0.0269834251563,0.0263968546021,0.00278125998075,0.0507401893415
semi,core_tail_10,feedback_counts,constant,42,12,0.0346461277712,0.0247078721159,-0.000134763221549,0.0818004349106
semi,core_tail_10,feedback_all,constant,42,12,0.013176546079,0.013643960081,0.000178967621579,0.0270726371535
semi,core_tail_10,feedback_all,feedback_counts,42,12,-0.0214695816921,-0.0110639120349,-0.0721480174741,0.0178910658394
semi,core_tail_10,selected_counts_dino,selected_counts_existing,42,12,-0.00636584214849,-0.00152146623548,-0.039394345996,0.0326978717347
semi,core_tail_10,main_plus::feedback_all,constant,42,12,0.00859266629918,0.010024600703,-0.00453923542228,0.0248795059251
semi,core_tail_10,selected_dino,constant,42,12,0.0185128575354,0.00914336499755,-0.0330040865782,0.0671116245547
semi,full_p_by_8,feedback_counts,constant,42,12,0.0830902270504,0.0959467805615,0.0300841989301,0.14706828013
semi,full_p_by_8,feedback_all,constant,42,12,0.111365056452,0.178132755117,0.0394326018499,0.206978348576
semi,full_p_by_8,feedback_all,feedback_counts,42,12,0.0282748294019,0.0821859745551,-0.011276195469,0.10287259526
semi,full_p_by_8,selected_counts_dino,selected_counts_existing,42,12,-0.00909206365635,-0.0263753999064,-0.040508415774,0.0152552495056
semi,full_p_by_8,main_plus::feedback_all,constant,42,12,0.0870761327414,0.130663559488,0.0217748727342,0.164304531641
semi,full_p_by_8,selected_dino,constant,42,12,0.120205819766,0.12643608813,0.0442163732252,0.204185231401
semi,grade_v1,feedback_counts,constant,5,3,0.0056929059928,0.00750442898333,-0.000797279043,0.016562043936
semi,grade_v1,feedback_all,constant,5,3,0.237777362455,0.194669717327,-0.020868508312,0.603980085986
semi,grade_v1,feedback_all,feedback_counts,5,3,0.232084456462,0.187165288343,-0.037430552248,0.604777365029
semi,grade_v1,selected_counts_dino,selected_counts_existing,5,3,0.156953788246,0.158285883148,0.0519085246415,0.258002767144
semi,grade_v1,main_plus::feedback_all,constant,5,3,0.175576327268,0.143742167248,-0.015428632853,0.4444754789
semi,grade_v1,selected_dino,constant,5,3,0.0955482568522,0.0337229220992,-0.275403751666,0.444518958407
semi,half_tv_all,feedback_counts,constant,42,12,-0.0105204720567,-0.010965185446,-0.0266740685727,0.00233362821286
semi,half_tv_all,feedback_all,constant,42,12,-0.00766900265832,-0.00347760305349,-0.0202936169004,0.00878009045942
semi,half_tv_all,feedback_all,feedback_counts,42,12,0.00285146939842,0.0074875823925,-0.00930977306826,0.0197396290847
semi,half_tv_all,selected_counts_dino,selected_counts_existing,42,12,-0.0325837865036,-0.0365303627647,-0.0857655109347,-0.00169680606942
semi,half_tv_all,main_plus::feedback_all,constant,42,12,-0.0113873510176,-0.00794997520971,-0.0210366739915,-0.00299608050126
semi,half_tv_all,selected_dino,constant,42,12,-5.39142212629e-05,0.00614964769894,-0.0198124304914,0.0192273702996
semi,late_quarter_new,feedback_counts,constant,42,12,0.00476357181592,0.000780490059902,-0.0189184632509,0.0268184705053
semi,late_quarter_new,feedback_all,constant,42,12,-0.00282045165705,-0.00713429233716,-0.0209246147307,0.0135667740671
semi,late_quarter_new,feedback_all,feedback_counts,42,12,-0.00758402347297,-0.00791478239706,-0.0208615740376,0.00307500658783
semi,late_quarter_new,selected_counts_dino,selected_counts_existing,42,12,0.0135949539826,0.019427731755,-0.0241428406344,0.0372995220982
semi,late_quarter_new,main_plus::feedback_all,constant,42,12,-0.00251068977384,-0.00625991849171,-0.0202810310417,0.0134371946909
semi,late_quarter_new,selected_dino,constant,42,12,0.0683103771858,0.0732633168106,0.0275573140933,0.145255716372
semi,singleton_share,feedback_counts,constant,43,12,0.000157390529504,-0.00493398055257,-0.0328105493231,0.0297748696269
semi,singleton_share,feedback_all,constant,43,12,-0.00785418599772,-0.00963371903184,-0.0317741395019,0.0130535721327
semi,singleton_share,feedback_all,feedback_counts,43,12,-0.00801157652723,-0.00469973847927,-0.0234344677563,0.00671059001962
semi,singleton_share,selected_counts_dino,selected_counts_existing,43,12,0.0029925692458,-0.0142429357242,-0.0309228771822,0.0349950438857
semi,singleton_share,main_plus::feedback_all,constant,43,12,-0.00739899727125,-0.0085129349564,-0.0311798193543,0.0133167013417
semi,singleton_share,selected_dino,constant,43,12,0.045982094813,0.0476942184934,-0.00535158535362,0.114016353758
semi,within_cluster_median,feedback_counts,constant,42,12,0.000583631795697,0.00178200040661,-0.000444141445603,0.0023652883903
semi,within_cluster_median,feedback_all,constant,42,12,0.00208468532343,0.00449430347483,0.000182940401285,0.00542008424924
semi,within_cluster_median,feedback_all,feedback_counts,42,12,0.00150105352773,0.00271230306822,0.000128881299151,0.00352633292223
semi,within_cluster_median,selected_counts_dino,selected_counts_existing,42,12,0.000400408931792,0.000301537986505,-0.00212011638525,0.00364899901926
semi,within_cluster_median,main_plus::feedback_all,constant,42,12,0.000595582142475,0.000530071434636,-0.000417872926635,0.00177941543247
semi,within_cluster_median,selected_dino,constant,42,12,0.00203768117461,0.00175972281963,3.45796553779e-05,0.00380260919653
