image_id,condition,n_valid,total_clusters,supported_clusters,singletons,doubletons,singleton_share,supported_share,largest_share,effective_modes_simpson,entropy_bits,point_count_disagreement,within_cluster_median,sizes_descending,good_turing_missing_mass_proxy,chao_coverage_proxy,isolated_singletons,assignment_singletons_with_compatible_peer,min_supported_loo_jaccard,max_cross_compatible_share,weakly_separated_supported_pair,supported_point_counts
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,3,1,1,0,0,0,1,1,1,-0,0,0.0179958424951,3,0,1,0,0,1,0,False,1
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,3,1,1,0,0,0,1,1,1,-0,0,0.065568976242,3,0,1,0,0,1,0,False,1
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,1,1,0,1,0,1,0,1,1,-0,,,1,1,1,1,0,,0,False,0
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,5,2,1,1,0,0.2,0.8,0.8,1.47058823529,0.721928094887,0.4,0.0626401137484,4;1,0.2,1,1,0,1,0,False,1
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,24,1,1,0,0,0,1,1,1,-0,0,0.022511757592,24,0,1,0,0,1,0,False,1
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos_geometry,24,15,3,12,0,0.5,0.5,0.208333333333,9.29032258065,3.56977383503,0.688405797101,0.0477998760494,5;4;3;1;1;1;1;1;1;1;1;1;1;1;1,0.5,0.503921568627,12,0,0.946428571429,0.933333333333,True,1
7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,oos_geometry,23,11,4,7,2,0.304347826087,0.695652173913,0.260869565217,6.08045977011,3.00097282525,0.660079051383,0.0336462107596,6;6;2;2;1;1;1;1;1;1;1,0.304347826087,0.703357182168,7,0,0.970073404856,0.916666666667,True,3
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,24,7,2,5,1,0.208333333333,0.791666666667,0.708333333333,1.93288590604,1.60634298817,0.235507246377,0.0227007242427,17;2;1;1;1;1;1,0.208333333333,0.795227920228,5,0,1,0,False,2
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,manual,5,4,1,3,1,0.6,0.4,0.4,3.57142857143,1.92192809489,0.4,0,2;1;1;1,0.6,0.485714285714,3,0,1,0,False,1
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,manual,6,5,1,4,1,0.666666666667,0.333333333333,0.333333333333,4.5,2.25162916739,0.6,0.0871720435997,2;1;1;1;1,0.666666666667,0.393939393939,4,0,1,0,False,1
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,manual,6,3,1,2,0,0.333333333333,0.666666666667,0.666666666667,2,1.25162916739,0.6,0.0177253478985,4;1;1,0.333333333333,0.761904761905,2,0,1,0,False,1
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,semi,4,1,1,0,0,0,1,1,1,-0,0,0,4,0,1,0,0,1,0,False,1
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,manual,5,3,1,2,0,0.4,0.6,0.6,2.27272727273,1.37095059445,0.7,0.059708590451,3;1;1,0.4,0.733333333333,2,0,1,0,False,1
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,semi,4,3,1,2,1,0.5,0.5,0.5,2.66666666667,1.5,0.833333333333,0,2;1;1,0.5,0.625,2,0,1,0,False,1
7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,manual,5,3,1,2,0,0.4,0.6,0.6,2.27272727273,1.37095059445,0.4,0.0489397819144,3;1;1,0.4,0.733333333333,2,0,1,0,False,1
7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,manual,5,2,1,1,0,0.2,0.8,0.8,1.47058823529,0.721928094887,0,0.0498200930069,4;1,0.2,1,1,0,1,0,False,1
7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,manual,5,2,1,1,0,0.2,0.8,0.8,1.47058823529,0.721928094887,0.4,0.0499534341062,4;1,0.2,1,1,0,1,0,False,1
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,semi,24,7,5,2,3,0.0833333333333,0.916666666667,0.541666666667,3,2.1324373408,0.365942028986,0.00600367283515,13;3;2;2;2;1;1,0.0833333333333,0.926282051282,2,0,1,0.461538461538,False,2
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,manual,24,6,3,3,1,0.125,0.875,0.5,2.88,1.89033606476,0.0833333333333,0.0352443604896,12;7;2;1;1;1,0.125,0.878521126761,1,2,0.954545454545,0.666666666667,True,1
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,manual,5,4,1,3,1,0.6,0.4,0.4,3.57142857143,1.92192809489,0.4,0.0664213357058,2;1;1;1,0.6,0.485714285714,2,1,1,0,False,1
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,semi,4,2,1,1,0,0.25,0.75,0.75,1.6,0.811278124459,0,0.000794145126129,3;1,0.25,1,1,0,1,0,False,1
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,manual,5,1,1,0,0,0,1,1,1,-0,0,0.0481958237761,5,0,1,0,0,1,0,False,1
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,semi,4,2,1,1,0,0.25,0.75,0.75,1.6,0.811278124459,0.5,0.0428401304102,3;1,0.25,1,1,0,1,0,False,1
B6ByNegPMKs_75327de9719945aa8b893a6404667884,semi,24,8,4,4,2,0.166666666667,0.833333333333,0.541666666667,3.03157894737,2.21577067414,0,0.000254299981506,13;3;2;2;1;1;1;1,0.166666666667,0.840277777778,3,1,1,0.166666666667,False,1
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,manual,23,11,5,6,2,0.260869565217,0.739130434783,0.217391304348,7.45070422535,3.14922976152,0.0869565217391,0.0410193457332,5;4;4;2;2;1;1;1;1;1;1,0.260869565217,0.746803069054,4,2,0.946894409938,0.75,True,1
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,manual,6,4,2,2,2,0.333333333333,0.666666666667,0.333333333333,3.6,1.91829583405,0.333333333333,0.0278884200636,2;2;1;1,0.333333333333,0.761904761905,2,0,1,0,False,1
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,semi,4,3,1,2,1,0.5,0.5,0.5,2.66666666667,1.5,0.5,0.0267439092136,2;1;1,0.5,0.625,2,0,1,0,False,1
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,manual,24,15,5,10,4,0.416666666667,0.583333333333,0.25,9.29032258065,3.60538854221,0.159420289855,0.0606399566131,6;2;2;2;2;1;1;1;1;1;1;1;1;1;1,0.416666666667,0.597338935574,9,1,1,0,False,1
B6ByNegPMKs_e26e2cb761894264a4a34b1046701f6b,manual,5,3,1,2,0,0.4,0.6,0.6,2.27272727273,1.37095059445,0.7,0.0812562313061,3;1;1,0.4,0.733333333333,2,0,1,0,False,1
B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,manual,6,4,1,3,0,0.5,0.5,0.5,3,1.79248125036,0,0.00728249432353,3;1;1;1,0.5,0.583333333333,3,0,1,0,False,1
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,manual,5,2,2,0,1,0,1,0.6,1.92307692308,0.970950594455,0,0.06549650016,3;2,0,1,0,0,1,0,False,1
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,manual,19,8,3,5,1,0.263157894737,0.736842105263,0.421052631579,4.05617977528,2.45845382923,0.105263157895,0.0527956265025,8;4;2;1;1;1;1;1,0.263157894737,0.742562929062,3,2,0.885964912281,0.75,True,1
S9hNv5qa7GM_2ea5348654d24115bba3dcdb21fa655e,manual,1,1,0,1,0,1,0,1,1,-0,,,1,1,1,1,0,,0,False,0
S9hNv5qa7GM_322a5d3bbca1428fb92d39bfc6e603ee,manual,2,2,0,2,0,1,0,0.5,2,1,1,,1;1,1,0.666666666667,2,0,,0,False,0
S9hNv5qa7GM_53d54b73e58940019b731673e65c1902,manual,3,2,1,1,1,0.333333333333,0.666666666667,0.666666666667,1.8,0.918295834054,0.666666666667,0.0243538101763,2;1,0.333333333333,0.833333333333,1,0,1,0,False,1
S9hNv5qa7GM_625eb179629b45f280c01d3f6ec74b4f,manual,1,1,0,1,0,1,0,1,1,-0,,,1,1,1,1,0,,0,False,0
S9hNv5qa7GM_8b55e4f095374cfe8ddb0fda0f0dfa02,manual,2,1,1,0,1,0,1,1,1,-0,0,0.0676319616488,2,0,1,0,0,,0,False,1
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,manual,20,2,1,1,0,0.05,0.95,0.95,1.10497237569,0.286396957116,0,0.0360594464715,19;1,0.05,1,0,1,0.997368421053,0,False,1
S9hNv5qa7GM_dcced7b92f444b9a83bd7d54413fa486,manual,2,1,1,0,1,0,1,1,1,-0,0,0.0686243012273,2,0,1,0,0,,0,False,1
S9hNv5qa7GM_eba5ca774e2a41dfa6e22fbff7fe66d2,manual,1,1,0,1,0,1,0,1,1,-0,,,1,1,1,1,0,,0,False,0
S9hNv5qa7GM_ed36c0b595de42f0a4e13ba5d332814a,manual,3,1,1,0,0,0,1,1,1,-0,0,0.0613472900077,3,0,1,0,0,1,0,False,1
UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,manual,4,4,0,4,0,1,0,0.25,4,2,1,,1;1;1;1,1,0.181818181818,4,0,,0,False,0
UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,semi,4,3,1,2,1,0.5,0.5,0.5,2.66666666667,1.5,0.833333333333,0.00902094649736,2;1;1,0.5,0.625,2,0,1,0,False,1
UwV83HsGsw3_16af52545aff47afb4d7b330a49091a2,manual,5,2,1,1,0,0.2,0.8,0.8,1.47058823529,0.721928094887,0.4,0.0493877253044,4;1,0.2,1,1,0,1,0,False,1
UwV83HsGsw3_528d342bf5494b3b94983545d6a1a282,oos_geometry,24,15,7,8,5,0.333333333333,0.666666666667,0.125,12.5217391304,3.77205520887,0.815217391304,0.0373276996157,3;3;2;2;2;2;2;1;1;1;1;1;1;1;1,0.333333333333,0.683848797251,8,0,0.989583333333,0.666666666667,True,4
UwV83HsGsw3_71ada030981d4468b76dcebc1b6fb940,oos_geometry,23,16,3,13,1,0.565217391304,0.434782608696,0.217391304348,10.3725490196,3.72510421794,0.830039525692,0.0469604746152,5;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1,0.565217391304,0.438707729469,10,3,1,0,False,3
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,manual,24,9,5,4,1,0.166666666667,0.833333333333,0.333333333333,5.43396226415,2.77205520887,0.663043478261,0.0165757236051,8;4;3;3;2;1;1;1;1,0.166666666667,0.836879432624,4,0,1,0,False,4
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,manual,24,8,3,5,1,0.208333333333,0.791666666667,0.583333333333,2.69158878505,2.08255181693,0.235507246377,0.0490592565359,14;3;2;1;1;1;1;1,0.208333333333,0.795227920228,2,3,0.987179487179,0.690476190476,True,2
UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,manual,6,4,2,2,2,0.333333333333,0.666666666667,0.333333333333,3.6,1.91829583405,0.8,0.0241978122244,2;2;1;1,0.333333333333,0.761904761905,2,0,1,0,False,2
UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,semi,4,3,1,2,1,0.5,0.5,0.5,2.66666666667,1.5,0.833333333333,0.0339200933769,2;1;1,0.5,0.625,2,0,1,0,False,1
UwV83HsGsw3_b979526475874ad68ae33f02d407a1fc,manual,5,4,1,3,1,0.6,0.4,0.4,3.57142857143,1.92192809489,0.9,0.0807933801821,2;1;1;1,0.6,0.485714285714,3,0,1,0,False,1
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,manual,23,3,1,2,0,0.0869565217391,0.913043478261,0.913043478261,1.19413092551,0.513185178737,0.0869565217391,0.023919853283,21;1;1,0.0869565217391,0.920289855072,2,0,1,0,False,1
UwV83HsGsw3_f9641b59487a4b0ca0fe41a82edc0980,manual,5,2,2,0,1,0,1,0.6,1.92307692308,0.970950594455,0.6,0.0440070008921,3;2,0,1,0,0,1,0,False,2
UwV83HsGsw3_fcd79f4b6a6642e99227caffb51bf407,oos_geometry,24,9,4,5,0,0.208333333333,0.791666666667,0.333333333333,5.23636363636,2.72017552146,0.565217391304,0.0455017804442,8;4;4;3;1;1;1;1;1,0.208333333333,0.79609929078,4,1,0.934848484848,0.96875,True,2
VFuaQ6m2Qom_109e18c64a614dc49e41a33ae979f98a,manual,2,2,0,2,0,1,0,0.5,2,1,1,,1;1,1,0.666666666667,2,0,,0,False,0
VFuaQ6m2Qom_381ce3cd69b846c3b920be16d29ed48e,manual,2,2,0,2,0,1,0,0.5,2,1,1,,1;1,1,0.666666666667,2,0,,0,False,0
