metric,pairs,max_absolute_error
sphere_deg,13341,4.985594159734319e-10
image_px,13341,4.9726622819434851e-10
split_fixed_deg,13341,4.985594159734319e-10
split_cyclic_deg,13341,4.985594159734319e-10
bound_free_deg,13341,4.985594159734319e-10
bound_cyclic_deg,13341,4.985594159734319e-10
