condition,metric,partition,nominal_cut,k,images,buildings,next_uncovered,fixed_expected_clusters,fixed_unseen_pool_mass,minority_unseen_mass
manual,image,complete,6,1,45,14,0.6752163823407149,0.99999999999999989,0.77075096944319688,0.24063030317651266
manual,image,complete,6,2,45,14,0.56776655767053752,1.8056160897045721,0.63903586184462913,0.21189564422925622
manual,image,complete,6,3,45,14,0.51070272142634954,2.5053207685311607,0.54651545278766411,0.18567918399450387
manual,image,complete,6,4,45,14,0.47318449393179052,3.1336548204408383,0.4765337800401977,0.16183142549649657
manual,image,complete,6,5,45,14,0.44557642178676865,3.710414426039006,0.42066819883135464,0.14020846174083965
manual,image,complete,6,6,45,14,0.42387929232076038,4.2479191209572154,0.37425023934973201,0.12067197571450268
manual,image,complete,6,7,45,14,0.40607309163485406,4.7543390741512974,0.33448559985829807,0.10308924038581964
manual,image,complete,6,8,45,14,0.39099141975583396,5.2353545391872656,0.29960053654947916,0.087333118704488788
manual,image,complete,6,9,45,14,0.37789897224814439,5.6950581997533138,0.26841842564547141,0.073282063601572731
manual,image,complete,6,10,45,14,0.36630508993938349,6.136483700711727,0.24013188179302966,0.060820117989498386
manual,image,complete,6,11,45,14,0.35586933735596632,6.5619340188825772,0.21417156277306715,0.049836914762056997
manual,image,complete,6,12,45,14,0.34634840569028658,6.9731948885482335,0.19012653864153037,0.040227676794404151
manual,image,complete,6,13,45,14,0.33756414462016388,7.3716783658967442,0.16769397752411941,0.03189321694305975
manual,image,complete,6,14,45,14,0.32938353789612373,7.7585220649987114,0.14664633510647668,0.02473993804590801
manual,image,complete,6,15,45,14,0.32170584245841122,8.1346593430151106,0.126809355850588,0.018679832922197489
manual,image,complete,6,16,45,14,0.31445412661054067,8.5008699036248725,0.10804693378344216,0.013630484372541071
manual,image,complete,6,17,45,14,0.30756950016675416,8.857816795318703,0.090250461074386279,0.0095150651789159546
manual,image,complete,6,18,45,14,0.3010069310298143,9.2060736161880321,0.07333123966063175,0.0062623381046636719
manual,image,complete,9,1,45,14,0.56087583546774999,1,0.64802416748556979,0.20756302891207817
manual,image,complete,9,2,45,14,0.45722130757240909,1.6774845876218876,0.51553188387703586,0.1820994122576374
manual,image,complete,9,3,45,14,0.40753546275162011,2.2422788535704141,0.43552922188176313,0.15893717686120451
manual,image,complete,9,4,45,14,0.37525030326641134,2.7434694031400628,0.37793034292705563,0.13793642014071694
manual,image,complete,9,5,45,14,0.35137867866252126,3.2014590677050863,0.3325928989668932,0.11896235261717834
manual,image,complete,9,6,45,14,0.33254776083128934,3.6270935612300534,0.29500516501341933,0.10188529791465875
manual,image,complete,9,7,45,14,0.31709480994602368,4.0270319244925519,0.26278704537974623,0.086580692760294412
manual,image,complete,9,8,45,14,0.30406089853222712,4.4057627658731437,0.2345262642668256,0.072929086984287891
manual,image,complete,9,9,45,14,0.29283699622742565,4.7665084433969884,0.20931034328447251,0.060816143519908085
manual,image,complete,9,10,45,14,0.28301156242108366,5.1116839902443623,0.18651445694880739,0.050132638403490158
manual,image,complete,9,11,45,14,0.27429459453531779,5.4431575391798841,0.1656931673191831,0.04077446077443557
