condition,metric,partition,nominal_cut,k,images,prefix_K,fixed_K,prefix_singletons,fixed_singletons,old_pair_churn,cluster_drop_probability
manual,image,complete,6,3,45,2.2857777777777777,2.5195555555555553,1.7666666666666666,2.1245555555555558,0.02077777777777778,0
manual,image,complete,6,5,45,3.3725555555555551,3.7084444444444444,2.5125555555555557,2.8805555555555555,0.015777777777777776,0.00022222222222222223
manual,image,complete,6,8,45,4.8641111111111108,5.2262222222222228,3.5401111111111114,3.8413333333333335,0.013142857142857142,0.00088888888888888893
manual,image,complete,6,12,45,6.7035555555555559,7.0148888888888896,4.7569999999999997,4.9767777777777775,0.013591919191919192,0.003666666666666667
manual,image,complete,6,16,45,8.3004444444444445,8.5125555555555561,5.7358888888888888,5.8671111111111109,0.012694179894179893,0.0040000000000000001
manual,image,complete,9,3,45,2.0543333333333336,2.2517777777777779,1.4235555555555557,1.7076666666666667,0.015555555555555557,0
manual,image,complete,9,5,45,2.923111111111111,3.1926666666666663,1.9927777777777778,2.2714444444444446,0.013999999999999997,0.00011111111111111112
manual,image,complete,9,8,45,4.096111111111111,4.394222222222222,2.7487777777777778,3.0180000000000002,0.011947089947089946,0.00033333333333333332
manual,image,complete,9,12,45,5.5274444444444448,5.788222222222223,3.6361111111111111,3.8558888888888885,0.011339393939393937,0.0022222222222222222
manual,image,complete,9,16,45,6.751777777777777,6.9477777777777776,4.3380000000000001,4.4984444444444449,0.010949206349206349,0.0033333333333333331
manual,image,complete,12,3,45,1.925888888888889,2.0876666666666668,1.2428888888888889,1.4598888888888888,0.0094444444444444445,0
manual,image,complete,12,5,45,2.6684444444444444,2.8874444444444447,1.716,1.9221111111111111,0.010074074074074074,0
manual,image,complete,12,8,45,3.6524444444444439,3.8857777777777782,2.3091111111111111,2.4913333333333334,0.0093703703703703692,0.00033333333333333338
manual,image,complete,12,12,45,4.8231111111111113,5.0185555555555554,2.9907777777777778,3.1243333333333334,0.010628282828282829,0.002
manual,image,complete,12,16,45,5.8289999999999997,5.9596666666666671,3.5515555555555554,3.6384444444444441,0.01002962962962963,0.0022222222222222222
manual,image,representative,6,3,45,2.2274444444444446,2.1758888888888892,1.7083333333333333,1.6167777777777776,0.019555555555555555,0.019555555555555555
manual,image,representative,6,5,45,3.1684444444444448,3.1086666666666662,2.3744444444444444,2.2843333333333335,0.010944444444444444,0.019555555555555555
manual,image,representative,6,8,45,4.4320000000000004,4.3835555555555556,3.3304444444444448,3.2589999999999999,0.0097936507936507919,0.018666666666666665
manual,image,representative,6,12,45,5.9974444444444446,5.9643333333333333,4.5088888888888894,4.4601111111111118,0.0068161616161616151,0.016666666666666666
manual,image,representative,6,16,45,7.3532222222222217,7.3370000000000006,5.4633333333333329,5.4341111111111111,0.0055947089947089943,0.016333333333333332
manual,image,representative,9,3,45,2.0072222222222225,1.9636666666666664,1.3764444444444444,1.3106666666666666,0.016,0.016
manual,image,representative,9,5,45,2.7465555555555556,2.7108888888888889,1.8704444444444446,1.8285555555555555,0.0079444444444444449,0.015777777777777776
manual,image,representative,9,8,45,3.7419999999999995,3.7144444444444447,2.5840000000000001,2.552,0.0050052910052910049,0.012444444444444445
manual,image,representative,9,12,45,4.9417777777777774,4.9316666666666666,3.4500000000000002,3.4405555555555551,0.0032808080808080804,0.011444444444444445
manual,image,representative,9,16,45,5.9827777777777786,5.9914444444444444,4.1741111111111113,4.1886666666666672,0.002819047619047619,0.010444444444444444
manual,image,representative,12,3,45,1.8973333333333333,1.8500000000000001,1.2143333333333335,1.1446666666666667,0.0091111111111111115,0.0091111111111111115
manual,image,representative,12,5,45,2.5506666666666669,2.4907777777777778,1.631,1.5546666666666664,0.0055370370370370365,0.012333333333333335
manual,image,representative,12,8,45,3.3937777777777778,3.3251111111111111,2.1760000000000002,2.0917777777777777,0.003158730158730159,0.010555555555555556
manual,image,representative,12,12,45,4.3622222222222229,4.2967777777777778,2.8037777777777779,2.7234444444444441,0.0019919191919191919,0.010888888888888889
manual,image,representative,12,16,45,5.173,5.1324444444444444,3.3118888888888889,3.2628888888888889,0.0011904761904761904,0.010999999999999999
manual,sphere,complete,6,3,45,2.2231111111111113,2.4745555555555558,1.6734444444444443,2.0489999999999999,0.01977777777777778,0
manual,sphere,complete,6,5,45,3.2478888888888888,3.6172222222222223,2.3618888888888887,2.7491111111111111,0.016722222222222222,0.00022222222222222223
manual,sphere,complete,6,8,45,4.6539999999999999,5.0531111111111109,3.2974444444444444,3.6283333333333334,0.015603174603174601,0.0013333333333333333
manual,sphere,complete,6,12,45,6.3931111111111107,6.7561111111111103,4.4208888888888884,4.7054444444444448,0.014824242424242424,0.0035555555555555557
manual,sphere,complete,6,16,45,7.9024444444444448,8.1691111111111105,5.3228888888888886,5.541555555555556,0.014324867724867725,0.0047777777777777775
manual,sphere,complete,9,3,45,2.0025555555555554,2.1812222222222224,1.3475555555555556,1.597,0.015555555555555555,0
manual,sphere,complete,9,5,45,2.8185555555555557,3.0554444444444444,1.874888888888889,2.1174444444444442,0.01312962962962963,0.00011111111111111112
manual,sphere,complete,9,8,45,3.9216666666666664,4.1866666666666665,2.5838888888888891,2.838888888888889,0.011814814814814814,0.00055555555555555556
manual,sphere,complete,9,12,45,5.2712222222222227,5.5123333333333333,3.4262222222222225,3.6604444444444444,0.011105050505050505,0.0024444444444444444
manual,sphere,complete,9,16,45,6.4325555555555551,6.6108888888888888,4.1116666666666664,4.282,0.010972486772486773,0.0032222222222222227
manual,sphere,complete,12,3,45,1.8868888888888888,2.0059999999999998,1.1850000000000001,1.3424444444444443,0.010333333333333333,0
manual,sphere,complete,12,5,45,2.5892222222222223,2.7477777777777779,1.6239999999999999,1.7783333333333335,0.0091481481481481466,0
manual,sphere,complete,12,8,45,3.5206666666666666,3.6847777777777777,2.1825555555555556,2.3364444444444445,0.0087301587301587304,0.00044444444444444447
manual,sphere,complete,12,12,45,4.6231111111111112,4.7562222222222221,2.834222222222222,2.9619999999999997,0.0095393939393939396,0.001888888888888889
manual,sphere,complete,12,16,45,5.5672222222222221,5.6501111111111113,3.3728888888888888,3.4602222222222223,0.0087746031746031745,0.0026666666666666666
manual,sphere,representative,6,3,45,2.1681111111111111,2.1316666666666668,1.6184444444444444,1.5511111111111111,0.018111111111111113,0.018111111111111113
manual,sphere,representative,6,5,45,3.0502222222222222,3.0186666666666668,2.2265555555555556,2.1748888888888889,0.0096111111111111102,0.018222222222222223
manual,sphere,representative,6,8,45,4.229111111111111,4.2221111111111114,3.0912222222222221,3.0658888888888889,0.00837037037037037,0.016777777777777777
manual,sphere,representative,6,12,45,5.6900000000000004,5.7028888888888885,4.1555555555555559,4.147444444444444,0.0061515151515151509,0.014888888888888889
