condition,metric,partition,nominal_cut,k,images,buildings,clusters_mean,singletons_mean,supported_clusters_mean,largest_share_mean,fixed_clusters_mean,fixed_singletons_mean,fixed_largest_share_mean,pair_incompatible_mean,remaining_pair_uncovered_mean,fixed_unseen_full_mass_mean,fixed_unseen_remaining_mass_mean,fixed_unseen_repeated_minority_mass_mean,fixed_repeated_minority_total_mass_mean,prefix_vs_full_relation_disagreement_mean,mean_old_pair_churn,probability_any_old_pair_change,probability_cluster_count_drop,prefix_minus_fixed_clusters,prefix_minus_fixed_singletons
manual,image,complete,6,1,45,14,1,1,0,1,1,1,1,,0.67584923748032066,0.77209531770246875,0.80701743432288819,0.23950082573583714,0.27203824779339653,,,,,0,0
manual,image,complete,6,2,45,14,1.6721111111111111,1.3442222222222222,0.3278888888888889,0.66394444444444445,1.8102222222222222,1.6204444444444446,0.59488888888888891,0.6721111111111111,0.5665761080260564,0.63748536770670639,0.69801029658717995,0.21091568504594818,0.27203824779339653,0.1381111111111111,,,0,-0.13811111111111113,-0.2762222222222222
manual,image,complete,6,3,45,14,2.2857777777777777,1.7666666666666666,0.51911111111111108,0.57140740740740736,2.5195555555555553,2.1245555555555558,0.49348148148148147,0.6774444444444444,0.51065821661998134,0.54441448004068138,0.62593721988795525,0.18567733282481566,0.27203824779339653,0.1187037037037037,0.02077777777777778,0.02077777777777778,0,-0.23377777777777778,-0.35788888888888892
manual,image,complete,6,4,45,14,2.8416666666666668,2.1416666666666666,0.69999999999999996,0.52755555555555556,3.1388888888888888,2.5187777777777778,0.45288888888888884,0.67435185185185187,0.47353477955509687,0.47477581544440811,0.57466099787868363,0.16170901680529828,0.27203824779339653,0.10803703703703703,0.016999999999999998,0.032333333333333332,0,-0.29722222222222228,-0.37711111111111106
manual,image,complete,6,5,45,14,3.3725555555555551,2.5125555555555557,0.8600000000000001,0.4996444444444445,3.7084444444444444,2.8805555555555555,0.42920000000000003,0.67320000000000002,0.44537080896686165,0.41889888731490565,0.53527344054580894,0.14015902982092912,0.27203824779339653,0.10072222222222221,0.015777777777777776,0.042333333333333334,0.00022222222222222223,-0.3358888888888889,-0.36799999999999999
manual,image,complete,6,6,45,14,3.8793333333333333,2.8638888888888889,1.0154444444444444,0.47988888888888886,4.2358888888888888,3.2136666666666667,0.41412962962962963,0.67108888888888896,0.42423263425028129,0.37378918582688608,0.50583122092141697,0.12051962091218385,0.27203824779339653,0.094607407407407404,0.015133333333333334,0.049222222222222216,0.00033333333333333332,-0.35655555555555551,-0.34977777777777774
manual,image,complete,6,7,45,14,4.3804444444444446,3.2110000000000003,1.1694444444444445,0.46203174603174596,4.7458888888888886,3.5385555555555559,0.40095238095238089,0.67204761904761912,0.40603995636716228,0.33385003995495988,0.48010234713543537,0.10256965360260555,0.27203824779339653,0.089793650793650787,0.01468888888888889,0.05577777777777778,0.001,-0.36544444444444446,-0.3275555555555556
manual,image,complete,6,8,45,14,4.8641111111111108,3.5401111111111114,1.3240000000000001,0.44795833333333329,5.2262222222222228,3.8413333333333335,0.3918611111111111,0.6729722222222223,0.39192054195804193,0.29992775386533965,0.46021351010101008,0.08719990858789485,0.27203824779339653,0.084734126984126981,0.013142857142857142,0.059555555555555556,0.00088888888888888893,-0.36211111111111116,-0.30122222222222222
manual,image,complete,6,9,45,14,5.3483333333333336,3.8711111111111109,1.477222222222222,0.43455555555555553,5.7055555555555557,4.1509999999999998,0.38312345679012344,0.67481790123456786,0.37807686387686384,0.26726783262504084,0.43960079365079369,0.072426712312181424,0.27203824779339653,0.081839506172839513,0.015011904761904761,0.071777777777777774,0.0026666666666666666,-0.35722222222222222,-0.27988888888888896
manual,image,complete,6,10,45,14,5.8214444444444453,4.1947777777777775,1.6266666666666667,0.42302222222222224,6.1642222222222216,4.4489999999999998,0.37626666666666664,0.6763703703703704,0.36536325896325894,0.23825739227295289,0.42220867650867655,0.059878514825711618,0.27203824779339653,0.076528395061728385,0.014666666666666668,0.074222222222222217,0.0027777777777777779,-0.34277777777777774,-0.25422222222222224
manual,image,complete,6,11,45,14,6.2713333333333328,4.483888888888889,1.7874444444444444,0.41224242424242424,6.5986666666666665,4.7215555555555557,0.37126262626262618,0.67731515151515154,0.35358012820512819,0.21179837153269648,0.40674978632478631,0.048809087937234388,0.27203824779339653,0.072048484848484848,0.014725925925925925,0.076888888888888882,0.0028888888888888892,-0.32733333333333337,-0.23766666666666666
manual,image,complete,6,12,45,14,6.7035555555555559,4.7569999999999997,1.9465555555555556,0.40405555555555556,7.0148888888888896,4.9767777777777775,0.3663703703703704,0.67800841750841745,0.34372113997113996,0.18798222276706258,0.39400641333974662,0.039591199314711903,0.27203824779339653,0.068447811447811452,0.013591919191919192,0.078222222222222221,0.003666666666666667,-0.3113333333333333,-0.21977777777777782
manual,image,complete,6,13,45,14,7.1133333333333342,5.0110000000000001,2.1023333333333336,0.39742735042735039,7.4025555555555558,5.2057777777777776,0.36349572649572648,0.67738603988603985,0.33607064694564692,0.16633660570508396,0.38370891053391049,0.031738962745026814,0.27203824779339653,0.065327635327635317,0.013047138047138048,0.079888888888888898,0.0041111111111111114,-0.28922222222222221,-0.19477777777777783
manual,image,complete,6,14,45,14,7.5194444444444448,5.2631111111111109,2.2563333333333331,0.39133333333333331,7.7847777777777774,5.4396666666666667,0.36107936507936506,0.67658974358974366,0.32686331569664906,0.14484999485428546,0.37139929453262793,0.023545581950044189,0.27203824779339653,0.061308913308913304,0.013883190883190883,0.085777777777777772,0.0035555555555555557,-0.26533333333333337,-0.1765555555555556
manual,image,complete,6,15,45,14,7.9161111111111113,5.5078888888888891,2.4082222222222223,0.38568148148148151,8.1538888888888899,5.6601111111111111,0.35864444444444443,0.67617460317460321,0.31900802469135803,0.12556064436453454,0.36231203703703702,0.017911841197195889,0.27203824779339653,0.058069841269841264,0.013446886446886448,0.091888888888888881,0.0032222222222222227,-0.23777777777777784,-0.1522222222222222
manual,image,complete,6,16,45,14,8.3004444444444445,5.7358888888888888,2.5645555555555557,0.3805277777777778,8.5125555555555561,5.8671111111111109,0.35649305555555555,0.67569629629629624,0.31285542328042326,0.10715894718680759,0.35370357142857139,0.012996975530613974,0.27203824779339653,0.053738888888888892,0.012694179894179893,0.091222222222222232,0.0040000000000000001,-0.21211111111111111,-0.13122222222222218
manual,image,complete,6,17,45,14,8.6834444444444436,5.9593333333333334,2.7241111111111111,0.37456862745098041,8.8640000000000008,6.0674444444444449,0.35445751633986927,0.67561928104575164,0.30711507936507937,0.089881904338140042,0.34676984126984123,0.0093094169602750826,0.27203824779339653,0.048597222222222215,0.012671296296296295,0.091111111111111101,0.0043333333333333331,-0.18055555555555552,-0.10811111111111117
manual,image,complete,6,18,45,14,9.057555555555556,6.181111111111111,2.8764444444444446,0.36977777777777782,9.211666666666666,6.2702222222222224,0.35286419753086423,0.67551053013798112,0.300437037037037,0.07294089813906747,0.33785925925925925,0.0060057165861513682,0.27203824779339653,0.043705882352941178,0.012366830065359477,0.093888888888888883,0.0052222222222222227,-0.15411111111111103,-0.089111111111111085
