view,metric,partition,nominal_cut,clusters,singletons,near_pairs,near_pairs_split,far_pairs_merged
automatic,image,complete,6,1169,777,7293,2530,0
automatic,image,complete,9,981,619,9569,2351,0
automatic,image,complete,12,874,535,10679,1679,0
automatic,image,representative,6,1051,746,7293,170,1048
automatic,image,representative,9,896,605,9569,103,791
automatic,image,representative,12,804,510,10679,22,608
automatic,sphere,complete,6,1132,744,7818,2778,0
automatic,sphere,complete,9,948,601,9936,2068,0
automatic,sphere,complete,12,847,516,10942,1335,0
automatic,sphere,representative,6,1013,706,7818,160,904
automatic,sphere,representative,9,869,579,9936,98,747
automatic,sphere,representative,12,786,490,10942,21,490
human_correspondence,image,complete,6,1169,777,7294,2531,0
human_correspondence,image,complete,9,981,619,9570,2352,0
human_correspondence,image,complete,12,874,535,10680,1680,0
human_correspondence,image,representative,6,1050,745,7294,170,1049
human_correspondence,image,representative,9,895,604,9570,103,792
human_correspondence,image,representative,12,803,509,10680,22,611
human_correspondence,sphere,complete,6,1132,744,7819,2779,0
human_correspondence,sphere,complete,9,948,601,9937,2069,0
human_correspondence,sphere,complete,12,847,516,10943,1336,0
human_correspondence,sphere,representative,6,1012,705,7819,160,905
human_correspondence,sphere,representative,9,868,578,9937,98,748
human_correspondence,sphere,representative,12,785,489,10943,21,493
