code,image_id,building,condition,N,unit,view,metric,partition,nominal_cut,actual_cut,method,clusters,singletons,largest_share,near_pairs,near_pairs_split,far_pairs_merged
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,manual,3,0,automatic,sphere,complete,6,6,automatic:sphere:complete:6,1,0,1,3,0,0
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,manual,3,0,automatic,sphere,representative,6,6,automatic:sphere:representative:6,1,0,1,3,0,0
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,manual,3,0,automatic,sphere,complete,9,9,automatic:sphere:complete:9,1,0,1,3,0,0
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,manual,3,0,automatic,sphere,representative,9,9,automatic:sphere:representative:9,1,0,1,3,0,0
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,manual,3,0,automatic,sphere,complete,12,12,automatic:sphere:complete:12,1,0,1,3,0,0
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,manual,3,0,automatic,sphere,representative,12,12,automatic:sphere:representative:12,1,0,1,3,0,0
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,manual,3,0,automatic,image,complete,6,17.066666666666666,automatic:image:complete:6,1,0,1,3,0,0
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,manual,3,0,automatic,image,representative,6,17.066666666666666,automatic:image:representative:6,1,0,1,3,0,0
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,manual,3,0,automatic,image,complete,9,25.600000000000001,automatic:image:complete:9,1,0,1,3,0,0
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,manual,3,0,automatic,image,representative,9,25.600000000000001,automatic:image:representative:9,1,0,1,3,0,0
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,manual,3,0,automatic,image,complete,12,34.133333333333333,automatic:image:complete:12,1,0,1,3,0,0
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,manual,3,0,automatic,image,representative,12,34.133333333333333,automatic:image:representative:12,1,0,1,3,0,0
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,manual,3,0,human_correspondence,sphere,complete,6,6,human_correspondence:sphere:complete:6,1,0,1,3,0,0
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,manual,3,0,human_correspondence,sphere,representative,6,6,human_correspondence:sphere:representative:6,1,0,1,3,0,0
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,manual,3,0,human_correspondence,sphere,complete,9,9,human_correspondence:sphere:complete:9,1,0,1,3,0,0
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,manual,3,0,human_correspondence,sphere,representative,9,9,human_correspondence:sphere:representative:9,1,0,1,3,0,0
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,manual,3,0,human_correspondence,sphere,complete,12,12,human_correspondence:sphere:complete:12,1,0,1,3,0,0
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,manual,3,0,human_correspondence,sphere,representative,12,12,human_correspondence:sphere:representative:12,1,0,1,3,0,0
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,manual,3,0,human_correspondence,image,complete,6,17.066666666666666,human_correspondence:image:complete:6,1,0,1,3,0,0
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,manual,3,0,human_correspondence,image,representative,6,17.066666666666666,human_correspondence:image:representative:6,1,0,1,3,0,0
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,manual,3,0,human_correspondence,image,complete,9,25.600000000000001,human_correspondence:image:complete:9,1,0,1,3,0,0
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,manual,3,0,human_correspondence,image,representative,9,25.600000000000001,human_correspondence:image:representative:9,1,0,1,3,0,0
2t7WUuJeko7-06,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,manual,3,0,human_correspondence,image,complete,12,34.133333333333333,human_correspondence:image:complete:12,1,0,1,3,0,0
