                view metric      partition  nominal_cut  decided_specified_pairs  matched
           automatic  image       complete          6.0                        8        6
           automatic  image       complete          9.0                        8        6
           automatic  image       complete         12.0                        8        6
           automatic  image representative          6.0                        8        8
           automatic  image representative          9.0                        8        8
           automatic  image representative         12.0                        8        7
           automatic sphere       complete          6.0                        8        5
           automatic sphere       complete          9.0                        8        4
           automatic sphere       complete         12.0                        8        6
           automatic sphere representative          6.0                        8        8
           automatic sphere representative          9.0                        8        7
           automatic sphere representative         12.0                        8        7
human_correspondence  image       complete          6.0                        8        6
human_correspondence  image       complete          9.0                        8        6
human_correspondence  image       complete         12.0                        8        6
human_correspondence  image representative          6.0                        8        8
human_correspondence  image representative          9.0                        8        8
human_correspondence  image representative         12.0                        8        7
human_correspondence sphere       complete          6.0                        8        5
human_correspondence sphere       complete          9.0                        8        4
human_correspondence sphere       complete         12.0                        8        6
human_correspondence sphere representative          6.0                        8        8
human_correspondence sphere representative          9.0                        8        7
human_correspondence sphere representative         12.0                        8        7
