stage,condition,base_task_id,building_id,observed_worker_count,available_record_count,geometry_computable_worker_count,geometry_missing_worker_count,topology_counts_json,topology_mode_count,topology_shannon_entropy,topology_gini_simpson,largest_topology_share,different_topology_pair_share,same_topology_pair_count,same_topology_cyclic_rmse_median,same_topology_cyclic_rmse_q25,same_topology_cyclic_rmse_q75,geometry_uncertainty_class,measurement_lane
C1,manual,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,5,5,5,0,"{""12"": 1, ""8"": 4}",2,0.5004024235381879,0.31999999999999984,0.8,0.4,6,0.05851949617270366,0.023194417647488766,0.059427642591629366,multiple_topologies,cross_stage_topology_and_cyclic_rmse_descriptive
C1,manual,7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,7y3sRwLe3Va,5,5,5,0,"{""12"": 1, ""8"": 4}",2,0.5004024235381879,0.31999999999999984,0.8,0.4,6,0.11052843794331016,0.09047771074223698,0.13735082536662852,multiple_topologies,cross_stage_topology_and_cyclic_rmse_descriptive
C1,manual,7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,7y3sRwLe3Va,6,6,6,0,"{""12"": 3, ""8"": 3}",2,0.6931471805599453,0.5,0.5,0.6,6,0.14587041336890033,0.11845733364530643,0.16111804765516874,multiple_topologies,cross_stage_topology_and_cyclic_rmse_descriptive
C1,manual,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,6,6,6,0,"{""12"": 1, ""16"": 1, ""8"": 4}",3,0.8675632284814612,0.5,0.6666666666666666,0.6,6,0.1623503706263785,0.1193054375612284,0.1632493730395448,multiple_topologies,cross_stage_topology_and_cyclic_rmse_descriptive
C1,manual,7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,7y3sRwLe3Va,5,5,5,0,"{""12"": 1, ""16"": 1, ""20"": 3}",3,0.9502705392332347,0.5599999999999999,0.6,0.7,3,0.15691433042560882,0.14634592575885405,0.15740663742584027,multiple_topologies,cross_stage_topology_and_cyclic_rmse_descriptive
C1,manual,7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,7y3sRwLe3Va,5,5,5,0,"{""16"": 1, ""8"": 4}",2,0.5004024235381879,0.31999999999999984,0.8,0.4,6,0.08878024295849413,0.06696048246401444,0.11835967730859287,multiple_topologies,cross_stage_topology_and_cyclic_rmse_descriptive
C1,manual,7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,7y3sRwLe3Va,5,5,5,0,"{""8"": 5}",1,-0.0,0.0,1.0,0.0,10,0.07529241301455282,0.02696046209914187,0.13221375587516887,single_topology_continuous_dispersion,cross_stage_topology_and_cyclic_rmse_descriptive
C1,manual,7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,7y3sRwLe3Va,5,5,5,0,"{""10"": 1, ""12"": 4}",2,0.5004024235381879,0.31999999999999984,0.8,0.4,6,0.06462314742523637,0.04584311604992944,0.0750580059748135,multiple_topologies,cross_stage_topology_and_cyclic_rmse_descriptive
C1,manual,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,B6ByNegPMKs,5,5,5,0,"{""12"": 1, ""8"": 4}",2,0.5004024235381879,0.31999999999999984,0.8,0.4,6,0.038268547961503724,0.029484124988927538,0.04690760083453484,multiple_topologies,cross_stage_topology_and_cyclic_rmse_descriptive
C1,manual,B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,5,5,5,0,"{""8"": 5}",1,-0.0,0.0,1.0,0.0,10,0.17074386720995038,0.013217954534917597,0.17418238541836029,single_topology_continuous_dispersion,cross_stage_topology_and_cyclic_rmse_descriptive
C1,manual,B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,B6ByNegPMKs,6,6,6,0,"{""10"": 1, ""8"": 5}",2,0.45056120886630463,0.2777777777777777,0.8333333333333334,0.3333333333333333,10,0.03429834206450415,0.030487849502877598,0.08690724848605998,multiple_topologies,cross_stage_topology_and_cyclic_rmse_descriptive
C1,manual,B6ByNegPMKs_e26e2cb761894264a4a34b1046701f6b,B6ByNegPMKs,5,5,5,0,"{""18"": 1, ""20"": 3, ""8"": 1}",3,0.9502705392332347,0.5599999999999999,0.6,0.7,3,0.09280548564346744,0.058967867031948895,0.09323224173410326,multiple_topologies,cross_stage_topology_and_cyclic_rmse_descriptive
C1,manual,B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,B6ByNegPMKs,6,6,6,0,"{""8"": 6}",1,-0.0,0.0,1.0,0.0,15,0.017688784288079126,0.013307863642598922,0.01947432150430304,single_topology_continuous_dispersion,cross_stage_topology_and_cyclic_rmse_descriptive
C1,manual,B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,B6ByNegPMKs,5,5,5,0,"{""8"": 5}",1,-0.0,0.0,1.0,0.0,10,0.11542480515316487,0.06578389802659947,0.1528016537971335,single_topology_continuous_dispersion,cross_stage_topology_and_cyclic_rmse_descriptive
C1,manual,UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,UwV83HsGsw3,5,5,4,1,"{""10"": 1, ""12"": 1, ""16"": 1, ""20"": 1}",4,1.3862943611198906,0.75,0.25,1.0,0,,,,multiple_topologies,cross_stage_topology_and_cyclic_rmse_descriptive
C1,manual,UwV83HsGsw3_16af52545aff47afb4d7b330a49091a2,UwV83HsGsw3,5,5,5,0,"{""10"": 1, ""8"": 4}",2,0.5004024235381879,0.31999999999999984,0.8,0.4,6,0.05201732542008724,0.032152011176428894,0.08035530144133415,multiple_topologies,cross_stage_topology_and_cyclic_rmse_descriptive
