stage,condition,dataset_group,source_file,raw_annotation_versions,independent_acquisition_keys,selected_latest_versions,duplicate_version_excess,selected_even_point_candidates,selected_strict_valid,unique_base_tasks,distinct_workers
P1,manual,PreScreen_manual,export_label/stage1_English/project-39-at-2026-06-28-05-14-65ca3316.json,362,359,359,3,330,330,30,12
P1,manual,PreScreen_manual,export_label/stage1_chinese/project-28-at-2026-07-01-07-14-56a198ba.json,420,420,420,0,411,407,30,14
P1,semi,PreScreen_semi,export_label/stage1_English/project-40-at-2026-06-28-05-14-bb74a057.json,216,216,216,0,214,214,18,12
P1,semi,PreScreen_semi,export_label/stage1_chinese/project-29-at-2026-06-30-09-00-e7ea6931.json,253,252,252,1,250,250,18,14
P1,oos,PreScreen_oos,export_label/stage1_English/project-41-at-2026-06-28-05-13-8641854f.json,108,108,108,0,96,96,9,12
P1,oos,PreScreen_oos,export_label/stage1_chinese/project-30-at-2026-06-30-09-00-69d8051b.json,126,126,126,0,125,125,9,14
C1,manual,C1_anchor_all,export_label/stage2_English/project-66-at-2026-07-30-13-01-cdb9fe80.json,135,132,132,3,132,132,12,11
C1,manual,C1_anchor_all,export_label/stage2_Chinese/project-69-at-2026-07-30-13-02-cb472115.json,144,144,144,0,144,144,12,12
C1,manual,C1_core_all,export_label/stage2_English/project-67-at-2026-07-30-13-01-f5126135.json,203,203,203,0,201,200,74,11
C1,manual,C1_core_all,export_label/stage2_Chinese/project-71-at-2026-07-30-14-18-54a73158.json,198,195,195,3,191,191,69,12
C1,semi,C1_semi,export_label/stage2_English/project-68-at-2026-07-30-13-02-cf7d8306.json,54,52,52,2,52,52,25,11
C1,semi,C1_semi,export_label/stage2_Chinese/project-72-at-2026-07-30-13-02-f69c5ac4.json,54,54,54,0,53,51,24,12
