channel,k,replicates,mae_mean,mae_median,mae_q05,mae_q95,rmse_mean,rmse_median,rmse_q05,rmse_q95,spearman_mean,spearman_median,spearman_q05,spearman_q95,top20_recall_mean,top20_recall_median,top20_recall_q05,top20_recall_q95
boundary,2,1000,0.012877842898657104,0.01264775487278488,0.010075392730397608,0.016681932258430947,0.019843678045474027,0.01875064761047164,0.014200872284917334,0.0287682429343671,0.6398788166064088,0.6439510574507739,0.4703477629092925,0.7912729924641441,0.5825555555555554,0.5555555555555556,0.3333333333333333,0.7777777777777778
wall,2,1000,0.019084692389532414,0.01871221483004499,0.014829974123285234,0.02455302083454593,0.029610127933711195,0.028267717213120803,0.02067874544847652,0.04396330249958035,0.609810356412292,0.6185199445953614,0.4428733489992708,0.7517274772073288,0.5444444444444445,0.5555555555555556,0.3333333333333333,0.7777777777777778
boundary,3,1000,0.00954131582667393,0.009434521829837204,0.007512871639152109,0.01198838349987838,0.014479190622613674,0.013915326298481792,0.010506353775244517,0.020483392896414453,0.7549373632606757,0.763957539907625,0.6273802771250304,0.8580341949598898,0.6565555555555556,0.6666666666666666,0.4444444444444444,0.8888888888888888
wall,3,1000,0.014296939626430971,0.01416821180279089,0.01117352253207652,0.01804901604824005,0.02178899366051741,0.02126816486181206,0.015259721810654133,0.029634412673560127,0.7155118709991087,0.7228749696134835,0.5920103719309618,0.8243335224049915,0.6214444444444445,0.6666666666666666,0.4444444444444444,0.7777777777777778
boundary,5,1000,0.0067210625000208996,0.006709331993357014,0.005255657017714892,0.008197708902491533,0.010095047371630517,0.009946952700139924,0.0073044993982585415,0.013297022217929286,0.8484999594846447,0.85560327364071,0.7620857304918565,0.9091321610890528,0.7693333333333334,0.7777777777777778,0.5555555555555556,0.8888888888888888
wall,5,1000,0.010425455866106078,0.010385524326112531,0.008255003928974878,0.0129124146093706,0.015348850111035988,0.015221211696311188,0.011487789862075106,0.020216406558770977,0.8051554979337169,0.8116035977635525,0.7137184993112391,0.8765173000567215,0.6787777777777778,0.6666666666666666,0.4444444444444444,0.8888888888888888
boundary,8,1000,0.004795963337657712,0.004763400914575031,0.00379349299188907,0.005817582452748416,0.007141941364836129,0.007050529833729523,0.005206070443302358,0.009316281052276026,0.9105685114658456,0.9160521837776519,0.8578478243254194,0.9458876914350538,0.8386666666666669,0.8888888888888888,0.6666666666666666,1.0
wall,8,1000,0.007763271177617722,0.00772574434568985,0.006372699169291329,0.009310942375395368,0.011019410411984926,0.010951256604456894,0.008802993836953916,0.013477523701215353,0.8688762661048538,0.8703508629770683,0.8161980390568025,0.9155822056559437,0.7416666666666667,0.7777777777777778,0.5555555555555556,0.8888888888888888
boundary,10,1000,0.004068432912812151,0.004050576388653707,0.003258567053826752,0.004925846682626764,0.005985358469334949,0.005962632118335597,0.004395361781403663,0.007705942536659696,0.9324498825054697,0.9367150149906815,0.8936877076411961,0.9594846446803339,0.862777777777778,0.8888888888888888,0.7777777777777778,1.0
wall,10,1000,0.006607317205911893,0.006587756206825578,0.005558788417901189,0.007747938422703152,0.009203247249264596,0.00917677691887456,0.007572133660367422,0.010821219140245997,0.8981208978202739,0.9008184101774575,0.853642330443238,0.9334089619965966,0.7771111111111112,0.7777777777777778,0.6666666666666666,0.8888888888888888
boundary,15,1000,0.00260531669562729,0.0026109440332913,0.0020824313027150345,0.0031272068177856335,0.0038198229536151942,0.0037742923393138824,0.002776101742377712,0.005046826923503208,0.9676896523782513,0.9695324527996111,0.9471598735920915,0.9818491208167897,0.9090000000000003,0.8888888888888888,0.7777777777777778,1.0
wall,15,1000,0.004280715814328399,0.0042860758675002724,0.0035809612431434617,0.005012623889652861,0.005987834310465211,0.005989134983957924,0.004918375229219128,0.0070857045299335215,0.9461432622964104,0.9471679766631554,0.920265780730897,0.9679118385868245,0.8351111111111114,0.8888888888888888,0.6666666666666666,1.0
boundary,20,1000,0.0014529207397350218,0.0014431559254670454,0.0011248077287375506,0.0018046185219627135,0.0022500872009854596,0.002137922746949534,0.001592450661563033,0.003281285862469261,0.9858700267401346,0.9871971477189856,0.9743942954379711,0.9935256462199175,0.9391111111111113,0.8888888888888888,0.8888888888888888,1.0
wall,20,1000,0.0023296141673922596,0.0022974234516672763,0.0018080519106770559,0.002904194471640335,0.003524173783567891,0.003481712668760203,0.002516153733360898,0.004704942283220079,0.9768678389109473,0.9782027388380198,0.9593225832590552,0.9906004375658376,0.9211111111111113,0.8888888888888888,0.8888888888888888,1.0
