stage,condition,dataset_group,base_task_id,selected_support,distinct_workers,even_point_candidate_support,strict_valid_support,strict_invalid_support,all_selected_pair_count,strict_pair_count,boundary_metric_pair_count,wall_metric_pair_count,metric_pair_coverage_over_all_selected,boundary_distance_mean,boundary_distance_median,boundary_distance_q90,wall_distance_mean,wall_distance_median,wall_distance_q90,vertical_boundary_count_disagreement,selected_point_counts_json,strict_vertical_boundary_counts_json,strict_boundary_count_diverse
C1,manual,C1_core_all,B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,5,5,5,5,0,10,10,10,10,1.0,0.021025286880571138,0.025682306438627345,0.03268379117425558,0.008457997544752715,0.006449804753777766,0.0144508627132371,0.0,"[8, 8, 8, 8, 8]","[4, 4, 4, 4, 4]",False
C1,manual,C1_core_all,UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,5,5,4,4,1,10,6,6,6,0.6,0.06191884460081548,0.056852936779574814,0.09460865831647386,0.0418940125274427,0.039376685395670796,0.05735119064733296,1.0,"[10, 12, 20, 16, 15]","[5, 6, 10, 8]",True
C1,manual,C1_core_all,UwV83HsGsw3_16af52545aff47afb4d7b330a49091a2,5,5,5,5,0,10,10,10,10,1.0,0.006862831672328829,0.004104110096890712,0.01285783874602986,0.021927570316134726,0.014190877149900305,0.04136944011035545,0.4,"[8, 8, 10, 8, 8]","[4, 4, 5, 4, 4]",True
C1,manual,C1_core_all,UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,7,7,6,6,1,21,15,15,15,0.7142857142857143,0.02353223415789807,0.02781006737123215,0.03893826144947512,0.01538773858330007,0.013803884493539531,0.027415365177145046,0.8,"[8, 0, 8, 12, 10, 10, 12]","[4, 4, 6, 5, 5, 6]",True
C1,manual,C1_core_all,UwV83HsGsw3_b979526475874ad68ae33f02d407a1fc,5,5,5,5,0,10,10,10,10,1.0,0.019059567635806962,0.020096237281680474,0.023918405239495854,0.036740477265766014,0.03925560150927215,0.05412147281335223,0.9,"[12, 12, 8, 14, 16]","[6, 6, 4, 7, 8]",True
C1,manual,C1_core_all,UwV83HsGsw3_f9641b59487a4b0ca0fe41a82edc0980,5,5,5,5,0,10,10,10,10,1.0,0.026869316327908434,0.03802123911007682,0.041280119383440186,0.024518136825439664,0.024696785655384745,0.03559808611234557,0.6,"[8, 12, 8, 12, 8]","[4, 6, 4, 6, 4]",True
C1,manual,C1_core_all,X7HyMhZNoso_2b16acff0dc042a1a75816a1fbd0a302,5,5,5,5,0,10,10,10,10,1.0,0.03840127263966422,0.021902361507527446,0.07424379328667823,0.04748084480120849,0.010725126731446988,0.10796276539754614,0.4,"[8, 12, 8, 8, 8]","[4, 6, 4, 4, 4]",True
C1,manual,C1_core_all,X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,5,5,5,5,0,10,10,10,10,1.0,0.009253532748643123,0.00993225213707305,0.011782359871014657,0.018662610040569173,0.004736167212065712,0.044455605786101596,0.7,"[16, 8, 12, 16, 16]","[8, 4, 6, 8, 8]",True
C1,manual,C1_core_all,Z6MFQCViBuw_2008e72476f84104858e908beeac0193,5,5,5,5,0,10,10,10,10,1.0,0.008369078410892882,0.007751584490647445,0.01220114447710393,0.0047096111877663275,0.004430380405670231,0.006687800161739887,0.0,"[8, 8, 8, 8, 8]","[4, 4, 4, 4, 4]",False
C1,manual,C1_core_all,Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,5,5,5,5,0,10,10,10,10,1.0,0.012509675450260004,0.013032088824238841,0.017210956057873227,0.008512559345493064,0.00790558227141197,0.013918905583782148,0.0,"[8, 8, 8, 8, 8]","[4, 4, 4, 4, 4]",False
C1,manual,C1_core_all,Z6MFQCViBuw_59aed460238643f48f593e9b9ba1c17d,5,5,5,5,0,10,10,10,10,1.0,0.007882016530494928,0.00580945817931916,0.013267853367649284,0.003604864576379774,0.0031882399382344717,0.005428921557822541,0.0,"[8, 8, 8, 8, 8]","[4, 4, 4, 4, 4]",False
C1,manual,C1_core_all,b8cTxDM8gDG_f339391e9479496e8652c972953f0ce4,5,5,5,5,0,10,10,10,10,1.0,0.008997676125756793,0.009038490208325978,0.012420368126183901,0.014140665209330638,0.006728671865885882,0.02873485487396462,0.4,"[12, 12, 12, 8, 12]","[6, 6, 6, 4, 6]",True
C1,manual,C1_core_all,b8cTxDM8gDG_f3748786c3704532abb2358581488f3f,6,6,6,6,0,15,15,15,15,1.0,0.0717252238219599,0.10089235906971128,0.1308408095629718,0.0841029987344574,0.1250452600209092,0.15133019631364442,0.0,"[8, 8, 8, 8, 8, 8]","[4, 4, 4, 4, 4, 4]",False
C1,manual,C1_core_all,e9zR4mvMWw7_0ee61863ec0c4c06bac95fb886e98945,6,6,6,6,0,15,15,15,15,1.0,0.008097041249560174,0.00916653901334119,0.011595649023477561,0.004267755172795532,0.0036136726502882244,0.006492155195029459,0.0,"[8, 8, 8, 8, 8, 8]","[4, 4, 4, 4, 4, 4]",False
C1,manual,C1_core_all,e9zR4mvMWw7_1d316dfbe35f41dd9203eaf88be5aae8,6,6,6,6,0,15,15,15,15,1.0,0.024967476400440163,0.036803663587881674,0.046321692819390935,0.020463565305366416,0.03513238289205711,0.037829381966786244,0.0,"[8, 8, 8, 8, 8, 8]","[4, 4, 4, 4, 4, 4]",False
C1,manual,C1_core_all,e9zR4mvMWw7_4273c4dd97974531b5256f96204fee47,6,6,6,6,0,15,15,15,15,1.0,0.01352059628057627,0.013620931354376142,0.02049524305991277,0.004958383231923754,0.004965641492108874,0.0070906012737822705,0.0,"[8, 8, 8, 8, 8, 8]","[4, 4, 4, 4, 4, 4]",False
C1,manual,C1_core_all,q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,5,5,5,5,0,10,10,10,10,1.0,0.011347256590273547,0.010382762628435238,0.01820476506796208,0.010207576401874575,0.012714226310605536,0.014403154506251658,0.0,"[8, 8, 8, 8, 8]","[4, 4, 4, 4, 4]",False
C1,manual,C1_core_all,q9vSo1VnCiC_3e5aacbc10904d4b88660a3cb91efcb9,5,5,5,5,0,10,10,10,10,1.0,0.048203623261325323,0.04862287937232551,0.0791064443391233,0.07719225736224482,0.06032802108189311,0.1704375530412891,0.4,"[8, 8, 12, 8, 8]","[4, 4, 6, 4, 4]",True
C1,manual,C1_core_all,q9vSo1VnCiC_3e7f67e8969f434b9a4aec0c68668b20,5,5,3,3,2,10,3,3,3,0.3,0.0362728935972025,0.03646667099226386,0.04201024292334834,0.040770263351383416,0.050032204100864286,0.053961040076721686,1.0,"[10, 16, 20, 21, 21]","[5, 8, 10]",True
C1,manual,C1_core_all,q9vSo1VnCiC_830eb252ae01401a8fe55f9538e627dd,5,5,5,5,0,10,10,10,10,1.0,0.007029758186593804,0.005953021548463944,0.011788407455066352,0.004242138508435555,0.0038645821853453555,0.006336938908796141,0.0,"[8, 8, 8, 8, 8]","[4, 4, 4, 4, 4]",False
C1,manual,C1_core_all,q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5,6,6,6,6,0,15,15,15,15,1.0,0.005171599932213485,0.0059649798318618386,0.007741212584158518,0.0060245791993296235,0.0072023034341361925,0.011321577777411385,0.0,"[8, 8, 8, 8, 8, 8]","[4, 4, 4, 4, 4, 4]",False
C1,manual,C1_core_all,q9vSo1VnCiC_a424533651804a38a55b1252daccc81e,5,5,5,5,0,10,10,10,10,1.0,0.010597329922845834,0.010857294821527252,0.015285935418703744,0.013233209758500031,0.012292486864304786,0.021563762954909103,0.4,"[8, 8, 8, 8, 10]","[4, 4, 4, 4, 5]",True
C1,manual,C1_core_all,q9vSo1VnCiC_c4b0b6a41c2a4db3927f5fa9cafb6345,6,6,6,6,0,15,15,15,15,1.0,0.04818669533023433,0.01097572107040734,0.12794087035012636,0.05433167267998854,0.010272964189945943,0.14837103341106767,0.0,"[8, 8, 8, 8, 8, 8]","[4, 4, 4, 4, 4, 4]",False
C1,manual,C1_core_all,q9vSo1VnCiC_dc320b1236f741a98303db9f89bc68a2,5,5,5,5,0,10,10,10,10,1.0,0.011831709333655616,0.00793155009973684,0.021199038567943893,0.009899548862192664,0.004317001207056748,0.020302074625040835,0.4,"[8, 8, 8, 10, 8]","[4, 4, 4, 5, 4]",True
