channel,k,replicate,task_count,mae,rmse,spearman,top20_recall
boundary,2,0,42,0.012603568054899669,0.019641316334000812,0.5719957864030468,0.6666666666666666
wall,2,0,42,0.021450480747228006,0.03605776008623888,0.6847905356129974,0.6666666666666666
boundary,2,1,42,0.013420420593163184,0.01883456057163146,0.6227210112632688,0.4444444444444444
wall,2,1,42,0.01888790222398848,0.027519883979425733,0.4938821813467304,0.2222222222222222
boundary,2,2,42,0.013180921063245804,0.019799275101613813,0.7141236528644357,0.5555555555555556
wall,2,2,42,0.019694973118644203,0.028957696554299816,0.677659833076736,0.5555555555555556
boundary,2,3,42,0.013045296983929765,0.017802624051436403,0.6139696945142209,0.6666666666666666
wall,2,3,42,0.014549346715380692,0.021636414428975296,0.7256300137752209,0.7777777777777778
boundary,2,4,42,0.010133257090112016,0.013946477202923127,0.7055343975366664,0.4444444444444444
wall,2,4,42,0.01682217695245204,0.030064554093216386,0.7462118142776112,0.5555555555555556
boundary,2,5,42,0.010207708132093797,0.014735642014782368,0.7243628708186258,0.6666666666666666
wall,2,5,42,0.01598962038023891,0.02404922585406431,0.8150399099109227,0.5555555555555556
boundary,2,6,42,0.0144527357080069,0.02245264411982748,0.6497852686168057,0.5555555555555556
wall,2,6,42,0.026260495493826495,0.04683777691856424,0.6345514950166113,0.2222222222222222
boundary,2,7,42,0.012386958887387308,0.0181578873391108,0.6428166275018232,0.3333333333333333
wall,2,7,42,0.02071078583799964,0.0317917177941776,0.6507576371444778,0.4444444444444444
boundary,2,8,42,0.009385601106507149,0.012572212920312327,0.6985657564216838,0.5555555555555556
wall,2,8,42,0.015476232159837072,0.021271633115823883,0.5979256138076331,0.5555555555555556
boundary,2,9,42,0.013730730063988929,0.019840383919006693,0.664208735110607,0.4444444444444444
wall,2,9,42,0.01749001906442991,0.02659694657850184,0.7526942711287579,0.5555555555555556
boundary,2,10,42,0.012031900224457501,0.017089805202051757,0.5083056478405316,0.4444444444444444
wall,2,10,42,0.014509433374202366,0.019765408405441415,0.581071225994652,0.5555555555555556
boundary,2,11,42,0.009381110743272008,0.013286192435440007,0.684413111861966,0.5555555555555556
wall,2,11,42,0.0192193336036309,0.02639960021391804,0.5689396706586387,0.4444444444444444
boundary,2,12,42,0.013395603398073856,0.01841157293936106,0.46697998541447205,0.3333333333333333
wall,2,12,42,0.02316989024469522,0.04393537940990964,0.558382627015639,0.5555555555555556
boundary,2,13,42,0.009004427632397496,0.012263205589571752,0.7272506279880075,0.5555555555555556
wall,2,13,42,0.015948247725597827,0.025688062372920928,0.6110525889312051,0.6666666666666666
boundary,2,14,42,0.011460695235888739,0.017067066715262265,0.62112556268316,0.4444444444444444
wall,2,14,42,0.01707021307557181,0.02548235579595346,0.6222600385967365,0.6666666666666666
boundary,2,15,42,0.010291525058455934,0.013931278372061049,0.7277368122518436,0.5555555555555556
wall,2,15,42,0.017417267823116245,0.024166576833205798,0.5979256138076331,0.6666666666666666
boundary,2,16,42,0.011135000676655649,0.015750012526838792,0.7718175188396402,0.5555555555555556
wall,2,16,42,0.01886386291254267,0.03139845794400587,0.6924074224130947,0.6666666666666666
boundary,2,17,42,0.012970033241527497,0.01904212060513451,0.6003565351268131,0.8888888888888888
wall,2,17,42,0.016441528327905713,0.022646480530141355,0.5457418361559031,0.5555555555555556
boundary,2,18,42,0.01119313092202872,0.01447732814351688,0.6024633336034357,0.6666666666666666
wall,2,18,42,0.018787193017939824,0.026340742089340355,0.5533587229560003,0.3333333333333333
boundary,2,19,42,0.012305822773936503,0.018259090824971798,0.6217486427355968,0.3333333333333333
wall,2,19,42,0.02047378977606374,0.027932628599987866,0.6191556599951382,0.4444444444444444
boundary,2,20,42,0.01462065272773762,0.020372781356310873,0.5841740614980953,0.6666666666666666
wall,2,20,42,0.019097226570098626,0.030132898742775256,0.6599408457262433,0.5555555555555556
boundary,2,21,42,0.016099245326959704,0.02360876400092927,0.5311563082408233,0.3333333333333333
wall,2,21,42,0.02529712362384527,0.04369466602743582,0.39907624989871165,0.3333333333333333
boundary,2,22,42,0.0100683977429127,0.013960958828629433,0.6645328579531642,0.7777777777777778
wall,2,22,42,0.01906381524708653,0.028395554019487092,0.561299732598655,0.5555555555555556
boundary,2,23,42,0.017396476547448757,0.03031283430082745,0.40630444504805796,0.5555555555555556
wall,2,23,42,0.020786836723681274,0.02937645818716503,0.5040314416032948,0.5555555555555556
boundary,2,24,42,0.011217645303764281,0.017452953337962308,0.6945142208897173,0.7777777777777778
wall,2,24,42,0.017846035367918938,0.028266863918679885,0.708613564540961,0.4444444444444444
boundary,2,25,42,0.011121272255341872,0.01566383304206365,0.659833076736083,0.3333333333333333
wall,2,25,42,0.01711039768248183,0.022125060454820735,0.5929017097479945,0.4444444444444444
boundary,2,26,42,0.013640655299964546,0.019539185080575703,0.4869135402317478,0.3333333333333333
wall,2,26,42,0.019323593188855986,0.029008266288020137,0.6283931610080221,0.5555555555555556
boundary,2,27,42,0.011097551308718367,0.014483659633811171,0.5392593793047565,0.5555555555555556
wall,2,27,42,0.016879003775203127,0.027634128237597262,0.46195608135483357,0.3333333333333333
boundary,2,28,42,0.011146158763188748,0.017074108570768576,0.7257920751964996,0.5555555555555556
wall,2,28,42,0.014808657013583713,0.022001355101412937,0.7019690462685358,0.4444444444444444
boundary,2,29,42,0.0103839809840596,0.017467448775679188,0.7418361559030874,0.6666666666666666
wall,2,29,42,0.02271837155124461,0.03764386834066606,0.6013289036544851,0.6666666666666666
boundary,2,30,42,0.009152762681942855,0.012135209086706624,0.750263349809578,0.6666666666666666
wall,2,30,42,0.017377267979038383,0.02629107008715191,0.6971072036301759,0.5555555555555556
boundary,2,31,42,0.013291152202586452,0.02294663206060062,0.664208735110607,0.4444444444444444
wall,2,31,42,0.019389828403272837,0.026937046041059086,0.5706992950328175,0.4444444444444444
boundary,2,32,42,0.010844466562214548,0.015372509165860984,0.6039218863949437,0.6666666666666666
wall,2,32,42,0.018579680972388792,0.026921107422439933,0.6201280285228101,0.4444444444444444
boundary,2,33,42,0.011743696070952306,0.017093466091173234,0.7773276071631149,0.6666666666666666
wall,2,33,42,0.022428244400365383,0.03387753394407489,0.7291953650433516,0.5555555555555556
boundary,2,34,42,0.012280594304603487,0.017085197976474197,0.6431407503443806,0.3333333333333333
wall,2,34,42,0.019752408795076098,0.029152505178874067,0.5706992950328175,0.5555555555555556
boundary,2,35,42,0.010538073330171902,0.014964203300675254,0.782513572644032,0.6666666666666666
wall,2,35,42,0.016275450500486947,0.028899074684355482,0.8014747589336358,0.5555555555555556
boundary,2,36,42,0.012412430695609813,0.01917344025341837,0.6689085163276882,0.6666666666666666
wall,2,36,42,0.020692199970271233,0.028320570692981547,0.5071712178915809,0.4444444444444444
boundary,2,37,42,0.01183727146763176,0.018058196103639602,0.6705291305404749,0.5555555555555556
wall,2,37,42,0.014687779266297359,0.022118518315551377,0.711044485860141,0.4444444444444444
boundary,2,38,42,0.011016702617173692,0.016225876750378343,0.6575642168381817,0.5555555555555556
wall,2,38,42,0.012971866962368886,0.01813326730353758,0.5885260513734706,0.6666666666666666
boundary,2,39,42,0.013038989513268508,0.019592539082125802,0.6411960132890366,0.6666666666666666
wall,2,39,42,0.019096550554577065,0.03180194654395811,0.5352078437727898,0.5555555555555556
boundary,2,40,42,0.012839280874025968,0.01673977985314466,0.4364490907516633,0.5555555555555556
wall,2,40,42,0.018583651500546722,0.026498614426336695,0.5636724610598904,0.2222222222222222
boundary,2,41,42,0.01556848373074311,0.021228647805366898,0.27639575399076255,0.3333333333333333
wall,2,41,42,0.022144310785054147,0.02894940796659235,0.28790211490154766,0.2222222222222222
boundary,2,42,42,0.010395656579184946,0.013944912126975949,0.6091078518758609,0.6666666666666666
wall,2,42,42,0.016046543745770424,0.02219273377387684,0.6272587310590714,0.7777777777777778
boundary,2,43,42,0.011164514016675299,0.015342407290955236,0.505226480836237,0.6666666666666666
wall,2,43,42,0.016638672280556332,0.022829748892948518,0.4326229641033952,0.3333333333333333
boundary,2,44,42,0.011646737182311727,0.017686250482727203,0.7069929503281744,0.6666666666666666
wall,2,44,42,0.01906478822994364,0.02534011771952748,0.630337898063366,0.5555555555555556
boundary,2,45,42,0.011608170466089347,0.0155969905971312,0.6633984280042136,0.5555555555555556
wall,2,45,42,0.016661659339082154,0.034392214786504234,0.759338789401183,0.5555555555555556
boundary,2,46,42,0.013412922191887899,0.020012398468369094,0.5989222483745904,0.4444444444444444
wall,2,46,42,0.018202739650752343,0.026353269428854922,0.48083313704004643,0.3333333333333333
boundary,2,47,42,0.01429286449597549,0.02443797930212593,0.6588607082084109,0.5555555555555556
wall,2,47,42,0.021172472381620608,0.02871566041595133,0.3862733976176971,0.2222222222222222
boundary,2,48,42,0.010930434550259785,0.01599368944644394,0.7193387632013583,0.6666666666666666
wall,2,48,42,0.01612962599460389,0.022536301812256052,0.7253352787445485,0.6666666666666666
boundary,2,49,42,0.01576212405342589,0.02200580629142075,0.2730367164483257,0.3333333333333333
wall,2,49,42,0.018511859707578498,0.02593530126759186,0.5474511782749896,0.5555555555555556
boundary,2,50,42,0.01188248166802655,0.017095053503383733,0.7175269427112876,0.3333333333333333
wall,2,50,42,0.015294488047306412,0.024159195101206676,0.6309861437484807,0.4444444444444444
boundary,2,51,42,0.01142150558928369,0.015543495902685006,0.5439591605218379,0.4444444444444444
wall,2,51,42,0.014831096076427418,0.021484805910649513,0.627906976744186,0.6666666666666666
boundary,2,52,42,0.015501434601183547,0.021314682162778396,0.6674499635361802,0.5555555555555556
wall,2,52,42,0.019088409559340897,0.027169307496540066,0.5719957864030468,0.3333333333333333
boundary,2,53,42,0.017228227553024084,0.030571287709665287,0.7170407584474516,0.5555555555555556
wall,2,53,42,0.01672795272823053,0.0265379467806073,0.7799205899035734,0.6666666666666666
boundary,2,54,42,0.011325919179983766,0.01743839936721552,0.6698808848553603,0.5555555555555556
wall,2,54,42,0.019411801629236766,0.027675755948823242,0.764200632039543,0.4444444444444444
boundary,2,55,42,0.011014066019947935,0.016398460207876105,0.7596629122437404,0.6666666666666666
wall,2,55,42,0.019527520033074036,0.02880262948007947,0.5389352564621992,0.5555555555555556
boundary,2,56,42,0.01179931434564008,0.018483414360981824,0.6659914107446724,0.6666666666666666
wall,2,56,42,0.02134972425431058,0.03401826167714952,0.5149501661129569,0.4444444444444444
boundary,2,57,42,0.011237006919674754,0.016467579119225438,0.7888339680739,0.6666666666666666
