image_id,building_id,common_n,usable_unassisted,high_n,legacy_summary_risk,image_only_features_present,c2_descriptor_present,stage3_descriptor_present,descriptor_union_present,c2_risk_score,c2_risk_status,c1_risk_score,c1_risk_status,stage3_risk_score,stage3_risk_status,any_source_risk_present,overlap_global_max_abs_delta,overlap_local_max_abs_delta
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,3,1,0,3.9778924598625696,1,1,0,1,3.9778924598625696,frozen,,,,,1,,
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7,3,1,0,3.768993304208514,1,1,0,1,3.768993304208514,frozen,,,,,1,,
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,2t7WUuJeko7,1,1,0,3.928480185152084,1,1,0,1,3.928480185152084,frozen,,,,,1,,
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,5,1,0,,1,1,1,1,4.582294740589919,frozen,4.578785845002923,,4.7024455111689285,ready,1,0.034125685691833496,0.41692054271698
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,24,1,1,,1,0,1,1,,,,,4.220703843326358,ready,1,,
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,7y3sRwLe3Va,24,1,1,,1,0,1,1,,,,,6.9273327634917345,ready,1,,
7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,7y3sRwLe3Va,24,1,1,,1,0,1,1,,,,,4.401468648806627,ready,1,,
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,0,0,0,,1,0,1,1,,,,,4.546555235432816,ready,1,,
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,7y3sRwLe3Va,5,1,0,,1,1,1,1,4.431977166386585,frozen,4.4058683998634,,4.443132218115589,ready,1,0.018817663192749023,0.25789594650268555
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,7y3sRwLe3Va,6,1,0,,1,1,1,1,6.3777571021790385,frozen,6.3722096627866796,,7.167584368974972,ready,1,0.3254240155220032,1.0486927032470703
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,6,1,0,,1,1,1,1,5.3408647049351226,frozen,5.344515622313824,,5.306285066730446,ready,1,0.016582608222961426,0.24866902828216553
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,7y3sRwLe3Va,5,1,0,,1,1,1,1,4.616755873688843,frozen,4.607814785323356,,4.420300052201263,ready,1,0.03346109390258789,0.15657663345336914
7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,7y3sRwLe3Va,5,1,0,,1,1,1,1,5.608482378196989,frozen,5.6046518658053985,,5.604972627566629,ready,1,0.041916489601135254,0.47828102111816406
7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,7y3sRwLe3Va,5,1,0,,1,1,1,1,3.680594339735911,frozen,3.6793390472867364,,3.7043101424849145,ready,1,0.012542128562927246,0.10688066482543945
7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,7y3sRwLe3Va,5,1,0,,1,1,1,1,4.000550167371568,frozen,3.994705846548234,,4.063456214280971,ready,1,0.1751575469970703,0.8722128868103027
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,B6ByNegPMKs,0,0,0,,1,0,1,1,,,,,5.144917600526091,ready,1,,
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,24,1,1,,1,0,1,1,,,,,7.0428011227842315,ready,1,,
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,B6ByNegPMKs,5,1,0,,1,1,1,1,5.902632801326327,frozen,5.896460962239362,,5.714905351452594,ready,1,0.033441655337810516,0.35499024391174316
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,5,1,0,,1,1,1,1,4.4727655025690405,frozen,4.457954684615341,,4.2519236191114365,ready,1,0.17715001106262207,0.6885198354721069
B6ByNegPMKs_75327de9719945aa8b893a6404667884,B6ByNegPMKs,0,0,0,,1,0,1,1,,,,,6.6985570176952605,ready,1,,
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,24,1,1,,1,0,1,1,,,,,5.62466030647999,ready,1,,
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,B6ByNegPMKs,6,1,0,,1,1,1,1,5.5658255800708885,frozen,5.570982134306987,,5.153639462207042,ready,1,0.08402758836746216,0.5077481269836426
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,24,1,1,,1,0,1,1,,,,,6.13166245065268,ready,1,,
B6ByNegPMKs_e26e2cb761894264a4a34b1046701f6b,B6ByNegPMKs,5,1,0,,1,1,1,1,5.505327048335995,frozen,5.564395575118757,,5.458200693460709,ready,1,0.06890547275543213,0.4379911422729492
B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,B6ByNegPMKs,6,1,0,,1,1,1,1,5.646239398830048,frozen,5.638769866129649,,5.767036406223728,ready,1,0.043111562728881836,0.34351110458374023
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,B6ByNegPMKs,5,1,0,,1,1,1,1,5.2396207094829395,frozen,5.228435636553798,,5.020929901089571,ready,1,0.04797089099884033,0.3240089416503906
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,S9hNv5qa7GM,20,1,1,4.425093081348839,1,1,0,1,4.425093081348839,frozen,,,,,1,,
S9hNv5qa7GM_2ea5348654d24115bba3dcdb21fa655e,S9hNv5qa7GM,1,1,0,4.026439012481026,1,1,0,1,4.026439012481026,frozen,,,,,1,,
S9hNv5qa7GM_322a5d3bbca1428fb92d39bfc6e603ee,S9hNv5qa7GM,2,1,0,4.331965706250457,1,1,0,1,4.331965706250457,frozen,,,,,1,,
S9hNv5qa7GM_53d54b73e58940019b731673e65c1902,S9hNv5qa7GM,4,1,0,14.109703699097196,1,1,0,1,14.109703699097196,frozen,,,,,1,,
S9hNv5qa7GM_625eb179629b45f280c01d3f6ec74b4f,S9hNv5qa7GM,1,1,0,4.782896096686945,1,1,0,1,4.782896096686945,frozen,,,,,1,,
S9hNv5qa7GM_8b55e4f095374cfe8ddb0fda0f0dfa02,S9hNv5qa7GM,2,1,0,3.859560696473668,1,1,0,1,3.8595606964736677,frozen,,,,,1,,
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,20,1,1,4.34198898346523,1,1,0,1,4.34198898346523,frozen,,,,,1,,
S9hNv5qa7GM_dcced7b92f444b9a83bd7d54413fa486,S9hNv5qa7GM,2,1,0,3.980147567164872,1,1,0,1,3.9801475671648716,frozen,,,,,1,,
S9hNv5qa7GM_eba5ca774e2a41dfa6e22fbff7fe66d2,S9hNv5qa7GM,1,1,0,4.139632060675147,1,1,0,1,4.139632060675147,frozen,,,,,1,,
S9hNv5qa7GM_ed36c0b595de42f0a4e13ba5d332814a,S9hNv5qa7GM,3,1,0,3.622320944116328,1,1,0,1,3.6223209441163284,frozen,,,,,1,,
UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,UwV83HsGsw3,4,1,0,,1,1,1,1,5.703420195520571,frozen,5.72137467186706,,5.73263306748561,ready,1,0.04204213619232178,0.25475239753723145
UwV83HsGsw3_16af52545aff47afb4d7b330a49091a2,UwV83HsGsw3,5,1,0,,1,1,1,1,6.063194041115433,frozen,6.059796357724657,,6.004580886722494,ready,1,0.05830049514770508,0.3483893871307373
UwV83HsGsw3_528d342bf5494b3b94983545d6a1a282,UwV83HsGsw3,24,1,1,,1,0,1,1,,,,,9.005090865506007,ready,1,,
UwV83HsGsw3_71ada030981d4468b76dcebc1b6fb940,UwV83HsGsw3,24,1,1,,1,0,1,1,,,,,7.689801102414346,ready,1,,
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3,24,1,1,,1,0,1,1,,,,,5.8213877909470195,ready,1,,
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3,24,1,1,,1,0,1,1,,,,,4.354136015104451,ready,1,,
UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,UwV83HsGsw3,6,1,0,,1,1,1,1,4.508158311857533,frozen,4.512273118792443,,4.322195525967939,ready,1,0.013913273811340332,0.3552360534667969
UwV83HsGsw3_b979526475874ad68ae33f02d407a1fc,UwV83HsGsw3,5,1,0,,1,1,1,1,3.956227193003579,frozen,3.953512535380839,,3.80221730150251,ready,1,0.03861713409423828,0.19234418869018555
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,23,1,1,,1,1,1,1,3.7104135178908835,frozen,3.7102935270451525,,3.7382201707903002,ready,1,0.02127814292907715,0.14002752304077148
UwV83HsGsw3_f9641b59487a4b0ca0fe41a82edc0980,UwV83HsGsw3,5,1,0,,1,1,1,1,5.387092502626094,frozen,5.384282330541558,,5.601773385295107,ready,1,0.03044751286506653,0.2065739631652832
UwV83HsGsw3_fcd79f4b6a6642e99227caffb51bf407,UwV83HsGsw3,24,1,1,,1,0,1,1,,,,,6.0000633048627945,ready,1,,
VFuaQ6m2Qom_109e18c64a614dc49e41a33ae979f98a,VFuaQ6m2Qom,2,1,0,5.387348197840864,1,1,0,1,5.387348197840864,frozen,,,,,1,,
VFuaQ6m2Qom_381ce3cd69b846c3b920be16d29ed48e,VFuaQ6m2Qom,2,1,0,4.11082649457379,1,1,0,1,4.11082649457379,frozen,,,,,1,,
VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85,VFuaQ6m2Qom,7,1,0,6.238125014667176,1,1,0,1,6.238125014667176,frozen,,,,,1,,
VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,VFuaQ6m2Qom,19,1,1,5.981021984881721,1,1,0,1,5.981021984881721,frozen,,,,,1,,
VFuaQ6m2Qom_f0be18aa2f1d4aa2b6adf355a86f34b8,VFuaQ6m2Qom,5,1,0,7.183628916179173,1,1,0,1,7.183628916179173,frozen,,,,,1,,
VLzqgDo317F_5d3591edd7c546acaf99db40281b3409,VLzqgDo317F,2,1,0,5.238411447323805,1,1,0,1,5.238411447323805,frozen,,,,,1,,
X7HyMhZNoso_28ada927582d4d6ea7cf44cabf31527a,X7HyMhZNoso,0,0,0,,1,0,1,1,,,,,3.8784316691030183,ready,1,,
X7HyMhZNoso_2b16acff0dc042a1a75816a1fbd0a302,X7HyMhZNoso,5,1,0,,1,1,1,1,3.7584546999551014,frozen,3.7451367006666594,,3.7722872567492773,ready,1,0.017118334770202637,0.2308483123779297
X7HyMhZNoso_987fd31155514f6facb131bd5c14881d,X7HyMhZNoso,24,1,1,,1,0,1,1,,,,,3.515910124476467,ready,1,,
