image_id,building_id,mode,config,lookahead,min_support,epsilon,permutation_threshold,common_n,k_max,q95_possible,q95_conservative,q95_status,q95_terminal_stable_n,q95_terminal_changing_n,q95_terminal_unknown_n,q95_terminal_multi_stable_n,q95_mean_unknown_fraction,q95_terminal_member_failure_n,q95_terminal_share_failure_n,q95_terminal_promotion_failure_n,q95_at_conservative_stable_n,q95_at_conservative_multi_stable_n,q95_tail_min_stable_n,q95_tail_min_multi_stable_n,ospa_possible,ospa_conservative,ospa_status,ospa_terminal_stable_n,ospa_terminal_changing_n,ospa_terminal_unknown_n,ospa_terminal_multi_stable_n,ospa_mean_unknown_fraction,q95_full_pool_n,q95_full_pool_status,q95_full_pool_invalid_n,q95_full_pool_cluster_count,q95_full_pool_cluster_sizes,q95_full_pool_m2_clusters,q95_full_pool_m3_clusters,source_curves,source_windows,source_geometry,building_high_n_images,same_building_transfer_eligible,building_common_n,q95_building_budget_possible,q95_building_budget_conservative,q95_building_budget_status,q95_building_budget_terminal_stable_n,q95_building_budget_terminal_changing_n,q95_building_budget_terminal_unknown_n,q95_terminal_m2_multi_stable_n,q95_at_conservative_m2_multi_stable_n
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,with_workers,q_0.950,5,2,0.1,0.8,24,19,5.0,5.0,identified,200,0,0,141,0.0557894736842105,0,0,0,176.0,41.0,176.0,41.0,5.0,5.0,identified,200,0,0,141,0.0557894736842105,25,unique,0,2.0,"[24,1]",1.0,1.0,multibuilding_threshold_stability_20260909_v1/revised/with_workers/replay/stability_curves.csv,multibuilding_threshold_stability_20260909_v1/revised/with_workers/replay/window_metrics.csv.gz,multibuilding_threshold_stability_20260909_v1/revised/with_workers/geometry/full_q_partitions.csv,3,True,24,5.0,5.0,identified,200.0,0.0,0.0,0.0,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,without_workers,q_0.950,5,2,0.1,0.8,24,19,1.0,2.0,finite_interval,200,0,0,0,0.0526315789473684,0,0,0,200.0,0.0,200.0,0.0,1.0,2.0,finite_interval,200,0,0,0,0.0526315789473684,24,unique,0,1.0,[24],1.0,1.0,multibuilding_threshold_stability_20260909_v1/revised/without_workers/replay/stability_curves.csv,multibuilding_threshold_stability_20260909_v1/revised/without_workers/replay/window_metrics.csv.gz,multibuilding_threshold_stability_20260909_v1/revised/without_workers/geometry/full_q_partitions.csv,3,True,24,1.0,2.0,finite_interval,200.0,0.0,0.0,0.0,0.0
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,7y3sRwLe3Va,with_workers,q_0.950,5,2,0.1,0.8,24,19,,,not_reached,43,157,0,43,0.1457894736842105,0,131,76,,,,,,,not_reached,88,112,0,88,0.1336842105263158,25,unique,0,10.0,"[12,4,2,1,1,1,1,1,1,1]",3.0,2.0,multibuilding_threshold_stability_20260909_v1/revised/with_workers/replay/stability_curves.csv,multibuilding_threshold_stability_20260909_v1/revised/with_workers/replay/window_metrics.csv.gz,multibuilding_threshold_stability_20260909_v1/revised/with_workers/geometry/full_q_partitions.csv,3,True,24,,,not_reached,43.0,157.0,0.0,43.0,
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,7y3sRwLe3Va,without_workers,q_0.950,5,2,0.1,0.8,24,19,,,not_reached,53,147,0,53,0.1392105263157895,0,114,78,,,,,,,not_reached,107,93,0,107,0.1271052631578947,24,unique,0,9.0,"[12,4,2,1,1,1,1,1,1]",3.0,2.0,multibuilding_threshold_stability_20260909_v1/revised/without_workers/replay/stability_curves.csv,multibuilding_threshold_stability_20260909_v1/revised/without_workers/replay/window_metrics.csv.gz,multibuilding_threshold_stability_20260909_v1/revised/without_workers/geometry/full_q_partitions.csv,3,True,24,,,not_reached,53.0,147.0,0.0,53.0,
7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,7y3sRwLe3Va,with_workers,q_0.950,5,2,0.1,0.8,24,19,14.0,,unknown,4,5,191,4,0.7089473684210527,0,1,5,,,,,,,not_reached,2,78,120,2,0.73,25,unknown_invalid_geometry,1,6.0,,5.0,3.0,multibuilding_threshold_stability_20260909_v1/revised/with_workers/replay/stability_curves.csv,multibuilding_threshold_stability_20260909_v1/revised/with_workers/replay/window_metrics.csv.gz,multibuilding_threshold_stability_20260909_v1/revised/with_workers/geometry/full_q_partitions.csv,3,True,24,14.0,,unknown,4.0,5.0,191.0,4.0,
7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,7y3sRwLe3Va,without_workers,q_0.950,5,2,0.1,0.8,24,19,13.0,,unknown,0,0,200,0,0.7252631578947369,0,0,0,,,,,,,not_reached,3,85,112,3,0.7284210526315791,24,unknown_invalid_geometry,1,5.0,,5.0,3.0,multibuilding_threshold_stability_20260909_v1/revised/without_workers/replay/stability_curves.csv,multibuilding_threshold_stability_20260909_v1/revised/without_workers/replay/window_metrics.csv.gz,multibuilding_threshold_stability_20260909_v1/revised/without_workers/geometry/full_q_partitions.csv,3,True,24,13.0,,unknown,0.0,0.0,200.0,0.0,
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,with_workers,q_0.950,5,2,0.1,0.8,24,19,14.0,17.0,finite_interval,189,6,5,189,0.305,0,6,0,172.0,172.0,172.0,172.0,14.0,,unknown,107,12,81,107,0.4002631578947368,25,unique,0,3.0,"[16,8,1]",2.0,2.0,multibuilding_threshold_stability_20260909_v1/revised/with_workers/replay/stability_curves.csv,multibuilding_threshold_stability_20260909_v1/revised/with_workers/replay/window_metrics.csv.gz,multibuilding_threshold_stability_20260909_v1/revised/with_workers/geometry/full_q_partitions.csv,3,True,24,14.0,17.0,finite_interval,189.0,6.0,5.0,189.0,172.0
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,without_workers,q_0.950,5,2,0.1,0.8,24,19,14.0,17.0,finite_interval,185,7,8,185,0.3223684210526316,0,7,0,169.0,169.0,169.0,169.0,15.0,15.0,identified,193,7,0,193,0.0828947368421052,24,unique,0,3.0,"[15,8,1]",2.0,2.0,multibuilding_threshold_stability_20260909_v1/revised/without_workers/replay/stability_curves.csv,multibuilding_threshold_stability_20260909_v1/revised/without_workers/replay/window_metrics.csv.gz,multibuilding_threshold_stability_20260909_v1/revised/without_workers/geometry/full_q_partitions.csv,3,True,24,14.0,17.0,finite_interval,185.0,7.0,8.0,185.0,169.0
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,with_workers,q_0.950,5,2,0.1,0.8,24,19,5.0,,unknown,10,0,190,10,0.6573684210526315,0,0,0,,,,,8.0,,unknown,120,0,80,120,0.4063157894736842,25,unknown_invalid_geometry,1,3.0,,1.0,1.0,multibuilding_threshold_stability_20260909_v1/revised/with_workers/replay/stability_curves.csv,multibuilding_threshold_stability_20260909_v1/revised/with_workers/replay/window_metrics.csv.gz,multibuilding_threshold_stability_20260909_v1/revised/with_workers/geometry/full_q_partitions.csv,3,True,24,5.0,,unknown,10.0,0.0,190.0,0.0,
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,without_workers,q_0.950,5,2,0.1,0.8,24,19,5.0,,unknown,0,0,200,0,0.678157894736842,0,0,0,,,,,8.0,,unknown,128,0,72,128,0.4084210526315789,24,unknown_invalid_geometry,1,2.0,,1.0,1.0,multibuilding_threshold_stability_20260909_v1/revised/without_workers/replay/stability_curves.csv,multibuilding_threshold_stability_20260909_v1/revised/without_workers/replay/window_metrics.csv.gz,multibuilding_threshold_stability_20260909_v1/revised/without_workers/geometry/full_q_partitions.csv,3,True,24,5.0,,unknown,0.0,0.0,200.0,0.0,
