image_id,condition,cut,scenario,removed_canonical_ids,n_valid,total_clusters,supported_clusters,singletons,doubletons,singleton_share,supported_share,largest_share,effective_modes_simpson,entropy_bits,point_count_disagreement,within_cluster_median,sizes_descending,good_turing_missing_mass_proxy,chao_coverage_proxy,isolated_singletons,assignment_singletons_with_compatible_peer,min_supported_loo_jaccard,max_cross_compatible_share,weakly_separated_supported_pair,supported_point_counts
q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,manual,0.05,with_user_confirmed_addition,,24,21,2,19,1,0.791666666667,0.208333333333,0.125,18,4.3035088548,0.869565217391,0.0217674341742,3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,0.791666666667,0.211940015186,19,0,1,0,False,2
q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,manual,0.05,exclude_confirmed_added_only,3a772c253f77d4b7,23,20,2,18,1,0.782608695652,0.217391304348,0.130434782609,17.064516129,4.22987119509,0.869565217391,0.0217674341742,3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,0.782608695652,0.221324011361,18,0,1,0,False,2
q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,manual,0.075,with_user_confirmed_addition,,24,20,2,18,1,0.75,0.25,0.166666666667,15.1578947368,4.16829583405,0.869565217391,0.0418909803622,4;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,0.75,0.253605769231,17,1,1,0,False,2
q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,manual,0.075,exclude_confirmed_added_only,3a772c253f77d4b7,23,19,2,17,1,0.739130434783,0.260869565217,0.173913043478,14.2972972973,4.08877934736,0.869565217391,0.0418909803622,4;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,0.739130434783,0.264801110083,16,1,1,0,False,2
q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,manual,0.1,with_user_confirmed_addition,,24,17,5,12,4,0.5,0.5,0.166666666667,13.0909090909,3.91829583405,0.869565217391,0.0715907405979,4;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1,0.5,0.514084507042,10,2,0.977272727273,0.5,False,4
q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,manual,0.1,exclude_confirmed_added_only,3a772c253f77d4b7,23,17,4,13,3,0.565217391304,0.434782608696,0.173913043478,12.9024390244,3.91486630388,0.869565217391,0.0704224441225,4;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1,0.565217391304,0.446396664681,11,2,1,0,False,4
q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,manual,0.125,with_user_confirmed_addition,,24,14,4,10,1,0.416666666667,0.583333333333,0.208333333333,9,3.4864405017,0.869565217391,0.090046539434,5;4;3;2;1;1;1;1;1;1;1;1;1;1,0.416666666667,0.586925287356,9,1,0.979166666667,0,False,4
q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,manual,0.125,exclude_confirmed_added_only,3a772c253f77d4b7,23,14,4,10,1,0.434782608696,0.565217391304,0.217391304348,9.28070175439,3.51836997872,0.869565217391,0.0827413163934,5;3;3;2;1;1;1;1;1;1;1;1;1;1,0.434782608696,0.569134351743,9,1,0.978260869565,0,False,4
q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,manual,0.15,with_user_confirmed_addition,,24,12,5,7,2,0.291666666667,0.708333333333,0.208333333333,8,3.26789414762,0.869565217391,0.09352687946,5;4;4;2;2;1;1;1;1;1;1;1,0.291666666667,0.715404040404,6,1,1,0,False,5
q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,manual,0.15,exclude_confirmed_added_only,3a772c253f77d4b7,23,12,5,7,2,0.304347826087,0.695652173913,0.217391304348,8.13846153846,3.29032160925,0.869565217391,0.0948330768006,5;4;3;2;2;1;1;1;1;1;1;1,0.304347826087,0.703357182168,6,1,1,0,False,5
