condition,expert_tag,k,total_clusters_mean_median,total_clusters_mean_min,total_clusters_mean_max,supported_clusters_mean_median,supported_clusters_mean_min,supported_clusters_mean_max,singletons_mean_median,singletons_mean_min,singletons_mean_max,p_fixed10pct_accepts_median,p_fixed10pct_accepts_min,p_fixed10pct_accepts_max,p_count_band_accepts_median,p_count_band_accepts_min,p_count_band_accepts_max
manual,中等,4,2.2425,1.31,2.895,1.0175,0.955,1.09,1.185,0.3,1.94,0.265,0.12,0.715,0.63,0.26,0.985
manual,中等,6,2.845,1.585,3.695,1.4125,1.045,1.69,1.3775,0.54,2.115,0.195,0.065,0.525,0.59,0.35,0.935
manual,中等,8,3.35,1.85,4.59,1.69,1.09,2.09,1.57,0.76,2.68,0.1375,0.01,0.39,0.49,0.13,0.855
manual,中等,10,3.7875,2.135,5.365,1.905,1.185,2.335,1.795,0.95,3.205,0.39,0.07,0.755,0.7625,0.225,0.98
manual,中等,12,4.2375,2.51,6.1,2.055,1.29,2.635,2.01,1.22,3.81,0.3175,0.015,0.645,0.6925,0.15,0.93
manual,中等,16,5.0625,3.025,7.435,2.465,1.69,3.2,2.3675,1.335,4.695,0.1825,0.005,0.56,0.57,0.045,0.945
manual,中等,20,5.81,3.585,8.845,3.045,2.275,3.715,2.6575,1.31,5.345,0.4675,0,0.98,0.7675,0.075,1
manual,困难,4,3.345,2.775,3.495,0.5975,0.475,0.985,2.7475,1.79,3.02,0.0425,0.015,0.125,0.085,0.045,0.335
manual,困难,6,4.5325,3.545,4.81,1.2675,1.075,1.52,3.265,2.025,3.735,0.01,0.005,0.07,0.06,0.03,0.305
manual,困难,8,5.4475,4.125,5.88,1.9475,1.725,2.125,3.4275,2.145,4.155,0.015,0.01,0.035,0.08,0.04,0.275
manual,困难,10,6.23,4.66,6.715,2.585,2.42,2.93,3.4375,2.24,4.2,0.1025,0.035,0.255,0.25,0.14,0.585
manual,困难,12,6.8525,5.03,7.495,3.205,2.805,3.645,3.4175,2.225,4.31,0.0975,0.025,0.245,0.28,0.095,0.61
manual,困难,16,7.81,5.675,8.71,4.4025,3.485,4.57,3.245,2.19,4.465,0.105,0.01,0.19,0.29,0.05,0.65
manual,困难,20,9.375,7.56,9.965,4.965,4.835,5.485,3.89,2.595,5.13,0.06,0,0.365,0.36,0.03,0.97
