image_id,condition,cut,n_full,n_subset,cluster,cluster_people,subsets,prob_retains_two_people,mean_jaccard_conditional,p_jaccard_ge85_conditional,support_and_jaccard_ge85,workers,canonical_ids
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,0.075,5,4,1,4,200,1,1,1,1,W006;W010;W027;W028,9ba553c8c79977374da6;bd14297e6f34d6705898;a3e7b70ed81a76c41c0f;98fc2a900301cecb1f95
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,0.1,5,4,1,4,200,1,1,1,1,W006;W010;W027;W028,9ba553c8c79977374da6;bd14297e6f34d6705898;a3e7b70ed81a76c41c0f;98fc2a900301cecb1f95
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,0.125,5,4,1,4,200,1,1,1,1,W006;W010;W027;W028,9ba553c8c79977374da6;bd14297e6f34d6705898;a3e7b70ed81a76c41c0f;98fc2a900301cecb1f95
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,0.15,5,4,1,4,200,1,1,1,1,W006;W010;W027;W028,9ba553c8c79977374da6;bd14297e6f34d6705898;a3e7b70ed81a76c41c0f;98fc2a900301cecb1f95
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,0.075,24,19,1,24,200,1,1,1,1,W001;W002;W006;W008;W010;W011;W012;W013;W014;W015;W017;W018;W021;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,9c8a68204bbf22bf;f5958e31992e703a;59650fcf724f11bc;13d54802362fd649;84b0461c974c6f08;b36f0dc2bb36d9b6;e43b14b1a0c01b0f;a73527487e1ba30e;9bf982556e9845da;6c26d77b8fe5e104;cbfa1db9b3b7ec4d;b86432f92a43add3;9130e3a10b708f2c;2099f09dd0969482;3040d441f80810e4;be7a92e1f36d2292;674ea0b8b27fa7c7;9c964b13299f32cb;6a317a400188cb9b;5f9c3715d22ae336;2c487c4855775399;f25bd8df99652c2b;4bfc0d70b116500c;922f49b7c63582f6
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,0.1,24,19,1,24,200,1,1,1,1,W001;W002;W006;W008;W010;W011;W012;W013;W014;W015;W017;W018;W021;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,9c8a68204bbf22bf;f5958e31992e703a;59650fcf724f11bc;13d54802362fd649;84b0461c974c6f08;b36f0dc2bb36d9b6;e43b14b1a0c01b0f;a73527487e1ba30e;9bf982556e9845da;6c26d77b8fe5e104;cbfa1db9b3b7ec4d;b86432f92a43add3;9130e3a10b708f2c;2099f09dd0969482;3040d441f80810e4;be7a92e1f36d2292;674ea0b8b27fa7c7;9c964b13299f32cb;6a317a400188cb9b;5f9c3715d22ae336;2c487c4855775399;f25bd8df99652c2b;4bfc0d70b116500c;922f49b7c63582f6
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,0.125,24,19,1,24,200,1,1,1,1,W001;W002;W006;W008;W010;W011;W012;W013;W014;W015;W017;W018;W021;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,9c8a68204bbf22bf;f5958e31992e703a;59650fcf724f11bc;13d54802362fd649;84b0461c974c6f08;b36f0dc2bb36d9b6;e43b14b1a0c01b0f;a73527487e1ba30e;9bf982556e9845da;6c26d77b8fe5e104;cbfa1db9b3b7ec4d;b86432f92a43add3;9130e3a10b708f2c;2099f09dd0969482;3040d441f80810e4;be7a92e1f36d2292;674ea0b8b27fa7c7;9c964b13299f32cb;6a317a400188cb9b;5f9c3715d22ae336;2c487c4855775399;f25bd8df99652c2b;4bfc0d70b116500c;922f49b7c63582f6
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,0.15,24,19,1,24,200,1,1,1,1,W001;W002;W006;W008;W010;W011;W012;W013;W014;W015;W017;W018;W021;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,9c8a68204bbf22bf;f5958e31992e703a;59650fcf724f11bc;13d54802362fd649;84b0461c974c6f08;b36f0dc2bb36d9b6;e43b14b1a0c01b0f;a73527487e1ba30e;9bf982556e9845da;6c26d77b8fe5e104;cbfa1db9b3b7ec4d;b86432f92a43add3;9130e3a10b708f2c;2099f09dd0969482;3040d441f80810e4;be7a92e1f36d2292;674ea0b8b27fa7c7;9c964b13299f32cb;6a317a400188cb9b;5f9c3715d22ae336;2c487c4855775399;f25bd8df99652c2b;4bfc0d70b116500c;922f49b7c63582f6
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,0.075,24,19,4,17,200,1,1,1,1,W001;W002;W006;W010;W012;W013;W014;W015;W017;W018;W021;W027;W030;W031;W033;W035;W036,babc4e1b7d60b5ce;6d3c8739804e5920;3d27ec416166fb40;1106d9b3309125ae;38972f7a8ac6e59e;e13f31dcfeca786f;c98ff21fd3ac34dc;ed7c1f77254fbb2a;f9d6980bfc9259bd;dee69b2b7ab15827;d46ea988f490ef0f;243708573fc746f4;c0d2a3ea11db107a;5ff7ca831e9c5ad8;4d2388c60747a53d;c4bc31bc73053a93;e2305061fc73b67a
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,0.075,24,19,1,2,200,0.61,1,1,0.61,W028;W032,843ee33e6df34cd4;b8541e4707e39e94
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,0.1,24,19,4,17,200,1,1,1,1,W001;W002;W006;W010;W012;W013;W014;W015;W017;W018;W021;W027;W030;W031;W033;W035;W036,babc4e1b7d60b5ce;6d3c8739804e5920;3d27ec416166fb40;1106d9b3309125ae;38972f7a8ac6e59e;e13f31dcfeca786f;c98ff21fd3ac34dc;ed7c1f77254fbb2a;f9d6980bfc9259bd;dee69b2b7ab15827;d46ea988f490ef0f;243708573fc746f4;c0d2a3ea11db107a;5ff7ca831e9c5ad8;4d2388c60747a53d;c4bc31bc73053a93;e2305061fc73b67a
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,0.1,24,19,1,2,200,0.64,1,1,0.64,W028;W032,843ee33e6df34cd4;b8541e4707e39e94
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,0.125,24,19,4,17,200,1,1,1,1,W001;W002;W006;W010;W012;W013;W014;W015;W017;W018;W021;W027;W030;W031;W033;W035;W036,babc4e1b7d60b5ce;6d3c8739804e5920;3d27ec416166fb40;1106d9b3309125ae;38972f7a8ac6e59e;e13f31dcfeca786f;c98ff21fd3ac34dc;ed7c1f77254fbb2a;f9d6980bfc9259bd;dee69b2b7ab15827;d46ea988f490ef0f;243708573fc746f4;c0d2a3ea11db107a;5ff7ca831e9c5ad8;4d2388c60747a53d;c4bc31bc73053a93;e2305061fc73b67a
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,0.125,24,19,1,2,200,0.585,1,1,0.585,W028;W032,843ee33e6df34cd4;b8541e4707e39e94
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,0.15,24,19,4,18,200,1,1,1,1,W001;W002;W006;W010;W012;W013;W014;W015;W017;W018;W021;W027;W030;W031;W033;W035;W036;W037,babc4e1b7d60b5ce;6d3c8739804e5920;3d27ec416166fb40;1106d9b3309125ae;38972f7a8ac6e59e;e13f31dcfeca786f;c98ff21fd3ac34dc;ed7c1f77254fbb2a;f9d6980bfc9259bd;dee69b2b7ab15827;d46ea988f490ef0f;243708573fc746f4;c0d2a3ea11db107a;5ff7ca831e9c5ad8;4d2388c60747a53d;c4bc31bc73053a93;e2305061fc73b67a;e805d3344d24834a
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,0.15,24,19,1,2,200,0.615,1,1,0.615,W028;W032,843ee33e6df34cd4;b8541e4707e39e94
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,manual,0.075,6,4,1,4,200,1,1,1,1,W008;W014;W031;W034,74c45cde6e9ca313500c;89f6eb36f9ae94e81adb;6051dfca1aade85a07a8;dec8403a4ddac6db3115
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,manual,0.1,6,4,1,4,200,1,1,1,1,W008;W014;W031;W034,74c45cde6e9ca313500c;89f6eb36f9ae94e81adb;6051dfca1aade85a07a8;dec8403a4ddac6db3115
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,manual,0.125,6,4,1,4,200,1,1,1,1,W008;W014;W031;W034,74c45cde6e9ca313500c;89f6eb36f9ae94e81adb;6051dfca1aade85a07a8;dec8403a4ddac6db3115
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,manual,0.15,6,4,1,4,200,1,1,1,1,W008;W014;W031;W034,74c45cde6e9ca313500c;89f6eb36f9ae94e81adb;6051dfca1aade85a07a8;dec8403a4ddac6db3115
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,semi,0.075,4,3,1,4,200,1,1,1,1,W006;W011;W033;W036,4486738211819be8d3d4;a63b28ab3b493bd3ee11;678fd1b3368b3c6302ad;53cffa383a4d19c3e30e
