p1_package,p1_import_order,base_task_id,gt_inner_id,gt_project20_task_id,figure_path,status,height_ratio_used,combined_rmse_px,combined_mean_abs_px,combined_max_abs_px
P1_semi,12,uNb9QFRL6hY_aed830f085ee4ad88ef6bed7f66f1359,19,2503,analysis_results/stage1_p1_manual_semi_bilayout_allmix_full_layout_compare_20260519/figures_ls_image/P1_semi_12_gt19_uNb9QFRL6hY_aed830f085ee4ad88ef6bed7f66f1359_ls_image_gt_vs_bilayout_allmix_full.png,ok,0.5845752862783576,0.39952013800785274,0.2591008318841742,1.1693745090591392
P1_semi,10,B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,47,2531,analysis_results/stage1_p1_manual_semi_bilayout_allmix_full_layout_compare_20260519/figures_ls_image/P1_semi_10_gt47_B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8_ls_image_gt_vs_bilayout_allmix_full.png,ok,0.969141662120819,0.021458121269318665,0.012391813202443328,0.07271038477387037
P1_manual,26,rPc6DW4iMge_186a32a1b7e34cb797731bfa78365db5,239,2723,analysis_results/stage1_p1_manual_semi_bilayout_allmix_full_layout_compare_20260519/figures_ls_image/P1_manual_26_gt239_rPc6DW4iMge_186a32a1b7e34cb797731bfa78365db5_ls_image_gt_vs_bilayout_allmix_full.png,ok,0.8706419013353625,0.0032510556933309036,0.002705023611288597,0.011848515338897414
P1_manual,30,uNb9QFRL6hY_3b9e548b46af4410b97e1d12781ec3c9,259,2743,analysis_results/stage1_p1_manual_semi_bilayout_allmix_full_layout_compare_20260519/figures_ls_image/P1_manual_30_gt259_uNb9QFRL6hY_3b9e548b46af4410b97e1d12781ec3c9_ls_image_gt_vs_bilayout_allmix_full.png,ok,0.6724276602268217,0.0031976729670887267,0.001902948851924137,0.03666833963723093
P1_semi,6,wc2JMjhGNzB_3848b1ba65fa49308c3d0a79f63782b3,118,2602,analysis_results/stage1_p1_manual_semi_bilayout_allmix_full_layout_compare_20260519/figures_ls_image/P1_semi_06_gt118_wc2JMjhGNzB_3848b1ba65fa49308c3d0a79f63782b3_ls_image_gt_vs_bilayout_allmix_full.png,ok,0.5559860229492183,0.0031269516051032286,0.0027630022324631742,0.00484687447720944
P1_semi,16,e9zR4mvMWw7_12c84e77f6564013a032220e8f9037e8,235,2719,analysis_results/stage1_p1_manual_semi_bilayout_allmix_full_layout_compare_20260519/figures_ls_image/P1_semi_16_gt235_e9zR4mvMWw7_12c84e77f6564013a032220e8f9037e8_ls_image_gt_vs_bilayout_allmix_full.png,ok,0.5145863115787505,0.002990158932454244,0.002582628202461454,0.00516723796192764
P1_semi,13,7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,268,2752,analysis_results/stage1_p1_manual_semi_bilayout_allmix_full_layout_compare_20260519/figures_ls_image/P1_semi_13_gt268_7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456_ls_image_gt_vs_bilayout_allmix_full.png,ok,0.8555113673210143,0.002890910718994092,0.002596004043920394,0.004463155969972377
P1_semi,14,B6ByNegPMKs_75327de9719945aa8b893a6404667884,282,2766,analysis_results/stage1_p1_manual_semi_bilayout_allmix_full_layout_compare_20260519/figures_ls_image/P1_semi_14_gt282_B6ByNegPMKs_75327de9719945aa8b893a6404667884_ls_image_gt_vs_bilayout_allmix_full.png,ok,0.9080176949501036,0.002875951590795275,0.002544625266311676,0.0048305431843687074
P1_semi,18,q9vSo1VnCiC_a412536ff52747d3b078f66e764cf103,11,2495,analysis_results/stage1_p1_manual_semi_bilayout_allmix_full_layout_compare_20260519/figures_ls_image/P1_semi_18_gt11_q9vSo1VnCiC_a412536ff52747d3b078f66e764cf103_ls_image_gt_vs_bilayout_allmix_full.png,ok,1.1460907161235807,0.002820123889051614,0.0025730878808115296,0.004665216484525558
P1_manual,4,wc2JMjhGNzB_dc4a9f470b834de1983c7e605ff06b2e,51,2535,analysis_results/stage1_p1_manual_semi_bilayout_allmix_full_layout_compare_20260519/figures_ls_image/P1_manual_04_gt51_wc2JMjhGNzB_dc4a9f470b834de1983c7e605ff06b2e_ls_image_gt_vs_bilayout_allmix_full.png,ok,0.5981045484542843,0.0028011873042000676,0.0024425321309093986,0.005036706636587951
P1_semi,4,wc2JMjhGNzB_77962388887942148ee65c2892600e02,114,2598,analysis_results/stage1_p1_manual_semi_bilayout_allmix_full_layout_compare_20260519/figures_ls_image/P1_semi_04_gt114_wc2JMjhGNzB_77962388887942148ee65c2892600e02_ls_image_gt_vs_bilayout_allmix_full.png,ok,0.9962351799011229,0.0027866665673857917,0.0023376209443165125,0.0052095815558459435
P1_manual,7,wc2JMjhGNzB_2195c5a9b9fd451b927b0050f23fac31,92,2576,analysis_results/stage1_p1_manual_semi_bilayout_allmix_full_layout_compare_20260519/figures_ls_image/P1_manual_07_gt92_wc2JMjhGNzB_2195c5a9b9fd451b927b0050f23fac31_ls_image_gt_vs_bilayout_allmix_full.png,ok,1.0481864631175992,0.0027273377986078264,0.0023576880554868063,0.004996528647851051
P1_manual,12,q9vSo1VnCiC_c421f07780004647a7198c4ac5371e8a,104,2588,analysis_results/stage1_p1_manual_semi_bilayout_allmix_full_layout_compare_20260519/figures_ls_image/P1_manual_12_gt104_q9vSo1VnCiC_c421f07780004647a7198c4ac5371e8a_ls_image_gt_vs_bilayout_allmix_full.png,ok,0.8697291409097065,0.0027011569289189037,0.0022010123560708555,0.004846276670832594
P1_manual,24,B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,229,2713,analysis_results/stage1_p1_manual_semi_bilayout_allmix_full_layout_compare_20260519/figures_ls_image/P1_manual_24_gt229_B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086_ls_image_gt_vs_bilayout_allmix_full.png,ok,0.7545609176158904,0.0026885858487207133,0.002284355747708064,0.004990623107516967
P1_semi,15,Z6MFQCViBuw_fbef2c9afec642c88d01cf09c90aec12,458,2942,analysis_results/stage1_p1_manual_semi_bilayout_allmix_full_layout_compare_20260519/figures_ls_image/P1_semi_15_gt458_Z6MFQCViBuw_fbef2c9afec642c88d01cf09c90aec12_ls_image_gt_vs_bilayout_allmix_full.png,ok,2.465295600891113,0.002642026439200925,0.0022715707546832192,0.0046684208974738794
P1_manual,16,B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,112,2596,analysis_results/stage1_p1_manual_semi_bilayout_allmix_full_layout_compare_20260519/figures_ls_image/P1_manual_16_gt112_B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624_ls_image_gt_vs_bilayout_allmix_full.png,ok,0.9241220080852525,0.002525735997196743,0.0021893706922320316,0.0044099869315914475
P1_semi,11,b8cTxDM8gDG_51c90ec9afc4495ab3788c6badc303df,167,2651,analysis_results/stage1_p1_manual_semi_bilayout_allmix_full_layout_compare_20260519/figures_ls_image/P1_semi_11_gt167_b8cTxDM8gDG_51c90ec9afc4495ab3788c6badc303df_ls_image_gt_vs_bilayout_allmix_full.png,ok,1.0274990558624266,0.002491671509177409,0.002159497534601741,0.005299754127122469
P1_manual,9,X7HyMhZNoso_987fd31155514f6facb131bd5c14881d,97,2581,analysis_results/stage1_p1_manual_semi_bilayout_allmix_full_layout_compare_20260519/figures_ls_image/P1_manual_09_gt97_X7HyMhZNoso_987fd31155514f6facb131bd5c14881d_ls_image_gt_vs_bilayout_allmix_full.png,ok,0.6999155044555663,0.002443721766312585,0.0021900340894979164,0.004763756492337734
P1_semi,1,e9zR4mvMWw7_1daae4b7becc43949516096170ce2a76,34,2518,analysis_results/stage1_p1_manual_semi_bilayout_allmix_full_layout_compare_20260519/figures_ls_image/P1_semi_01_gt34_e9zR4mvMWw7_1daae4b7becc43949516096170ce2a76_ls_image_gt_vs_bilayout_allmix_full.png,ok,0.5586591541767119,0.0024328087809406622,0.002130668355439083,0.0039036438478206037
P1_semi,7,e9zR4mvMWw7_f7ab5b3ece274b48be57eb65bb6d4814,35,2519,analysis_results/stage1_p1_manual_semi_bilayout_allmix_full_layout_compare_20260519/figures_ls_image/P1_semi_07_gt35_e9zR4mvMWw7_f7ab5b3ece274b48be57eb65bb6d4814_ls_image_gt_vs_bilayout_allmix_full.png,ok,0.6150419473648069,0.002416757668799044,0.001991498560860297,0.005154608337306854
P1_semi,5,wc2JMjhGNzB_3504ff17bcae4d6c85bdc61fc3a5bf0c,115,2599,analysis_results/stage1_p1_manual_semi_bilayout_allmix_full_layout_compare_20260519/figures_ls_image/P1_semi_05_gt115_wc2JMjhGNzB_3504ff17bcae4d6c85bdc61fc3a5bf0c_ls_image_gt_vs_bilayout_allmix_full.png,ok,0.7122563540935514,0.00238259065955463,0.001996533814656948,0.005376333781754283
P1_manual,19,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,172,2656,analysis_results/stage1_p1_manual_semi_bilayout_allmix_full_layout_compare_20260519/figures_ls_image/P1_manual_19_gt172_7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a_ls_image_gt_vs_bilayout_allmix_full.png,ok,0.7635245144367216,0.0023705181411361425,0.0020862050239874863,0.003991699218772737
P1_manual,18,uNb9QFRL6hY_c1ebb8b34eb846ba9b5ce23b30b299a7,156,2640,analysis_results/stage1_p1_manual_semi_bilayout_allmix_full_layout_compare_20260519/figures_ls_image/P1_manual_18_gt156_uNb9QFRL6hY_c1ebb8b34eb846ba9b5ce23b30b299a7_ls_image_gt_vs_bilayout_allmix_full.png,ok,0.6266732207934028,0.002360173214425325,0.0019105430638543253,0.010626329332808382
P1_manual,1,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,4,2488,analysis_results/stage1_p1_manual_semi_bilayout_allmix_full_layout_compare_20260519/figures_ls_image/P1_manual_01_gt4_UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596_ls_image_gt_vs_bilayout_allmix_full.png,ok,0.5119325280189507,0.0023342555926393984,0.00196401967604333,0.005489972870577731
P1_semi,17,e9zR4mvMWw7_ac03b99e3f3642be80b4d24fde0af03a,127,2611,analysis_results/stage1_p1_manual_semi_bilayout_allmix_full_layout_compare_20260519/figures_ls_image/P1_semi_17_gt127_e9zR4mvMWw7_ac03b99e3f3642be80b4d24fde0af03a_ls_image_gt_vs_bilayout_allmix_full.png,ok,0.5982582449913023,0.002252900689309116,0.0019229338078946973,0.004756224931355746
P1_semi,8,wc2JMjhGNzB_cae8fb3d40314ecea16654062030571b,119,2603,analysis_results/stage1_p1_manual_semi_bilayout_allmix_full_layout_compare_20260519/figures_ls_image/P1_semi_08_gt119_wc2JMjhGNzB_cae8fb3d40314ecea16654062030571b_ls_image_gt_vs_bilayout_allmix_full.png,ok,0.7957257509231566,0.0021790123144678165,0.001775139502052131,0.004457114741796886
P1_manual,17,yqstnuAEVhm_a93ea1ea5702412c9ef9c82a436c4599,120,2604,analysis_results/stage1_p1_manual_semi_bilayout_allmix_full_layout_compare_20260519/figures_ls_image/P1_manual_17_gt120_yqstnuAEVhm_a93ea1ea5702412c9ef9c82a436c4599_ls_image_gt_vs_bilayout_allmix_full.png,ok,0.9014791965484616,0.0021717112433712322,0.0018878763711157875,0.00505680979340184
P1_manual,8,rPc6DW4iMge_cc15fb105d86466faafdd633f89148de,96,2580,analysis_results/stage1_p1_manual_semi_bilayout_allmix_full_layout_compare_20260519/figures_ls_image/P1_manual_08_gt96_rPc6DW4iMge_cc15fb105d86466faafdd633f89148de_ls_image_gt_vs_bilayout_allmix_full.png,ok,0.854161101579666,0.0021277232248671694,0.0018843287957890087,0.00481775316779931
P1_manual,5,B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,52,2536,analysis_results/stage1_p1_manual_semi_bilayout_allmix_full_layout_compare_20260519/figures_ls_image/P1_manual_05_gt52_B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993_ls_image_gt_vs_bilayout_allmix_full.png,ok,0.9527878940105435,0.0020725610473329523,0.0017911577229195313,0.004338685601567249
P1_manual,10,q9vSo1VnCiC_2a8ef249ec0e4ad5bfe138a65f50964e,98,2582,analysis_results/stage1_p1_manual_semi_bilayout_allmix_full_layout_compare_20260519/figures_ls_image/P1_manual_10_gt98_q9vSo1VnCiC_2a8ef249ec0e4ad5bfe138a65f50964e_ls_image_gt_vs_bilayout_allmix_full.png,ok,0.8056764960289,0.0019257336425123192,0.0016213702130345661,0.00422314688842107
P1_manual,14,yqstnuAEVhm_e9b4d8e951cb4712b3905c8f4c4dabb5,109,2593,analysis_results/stage1_p1_manual_semi_bilayout_allmix_full_layout_compare_20260519/figures_ls_image/P1_manual_14_gt109_yqstnuAEVhm_e9b4d8e951cb4712b3905c8f4c4dabb5_ls_image_gt_vs_bilayout_allmix_full.png,ok,0.9415434848430545,0.0019010784809908568,0.001585570863931171,0.003958298894360723
P1_manual,23,rPc6DW4iMge_1f14902595544e389c9c910c444e79e7,219,2703,analysis_results/stage1_p1_manual_semi_bilayout_allmix_full_layout_compare_20260519/figures_ls_image/P1_manual_23_gt219_rPc6DW4iMge_1f14902595544e389c9c910c444e79e7_ls_image_gt_vs_bilayout_allmix_full.png,ok,0.9774558332231309,0.0017735948433862299,0.0013576736309080795,0.003626026396062798
P1_manual,3,uNb9QFRL6hY_d02f87bbb0414146a7a15070110a0384,39,2523,analysis_results/stage1_p1_manual_semi_bilayout_allmix_full_layout_compare_20260519/figures_ls_image/P1_manual_03_gt39_uNb9QFRL6hY_d02f87bbb0414146a7a15070110a0384_ls_image_gt_vs_bilayout_allmix_full.png,ok,0.6666587233543394,0.0017189612467193047,0.0012728218295775529,0.004826564449928128
