feature,algorithm,condition,target,n_images,n_rooms,n_buildings,within_room_MAE,outside_building_MAE,paired_MAE_delta,CI_low,CI_high
baseline,constant_median,manual,owner_valid_active_seconds,40,17,12,119.6375,83.01875,36.61875,12.8011022514,65.0737894144
baseline,constant_median,manual,point_count_disagreement,33,14,11,0.207165956573,0.331358474639,-0.124192518066,-0.232048790434,0.0162535905801
baseline,constant_median,manual,reference_geometry_error,31,13,9,0.0527613083247,0.0716656568872,-0.0189043485624,-0.0494969951267,0.0069169622642
baseline,constant_median,manual,scope_entropy,40,17,12,0.249763477634,0.618230925082,-0.368467447448,-0.625756641981,-0.137717227226
baseline,constant_median,manual,scope_non_normal_rate,40,17,12,0.173505434783,0.258233695652,-0.0847282608697,-0.219385775862,0.00908445403441
baseline,constant_median,manual,scope_p_normal,40,17,12,0.173505434783,0.258233695652,-0.0847282608696,-0.219385775862,0.00908445403452
baseline,constant_median,manual,scope_p_oos_geometry,40,17,12,0.0626177536232,0.0446286231884,0.0179891304348,0.00484949832773,0.0365087121073
baseline,constant_median,manual,scope_p_oos_insufficient,40,17,12,0.0141666666667,0.00708333333334,0.00708333333334,0,0.018253968254
baseline,constant_median,manual,scope_p_oos_open_boundary,40,17,12,0.188460144927,0.191105072464,-0.0026449275363,-0.15294799215,0.110289955717
baseline,constant_median,manual,scope_p_oos_split_level,40,17,12,0.0302083333334,0.0264583333333,0.00375000000002,-0.0178611647361,0.0368167892157
baseline,constant_median,manual,within_topology_geometry_dispersion,29,13,10,0.0475582733114,0.0422589597157,0.00529931359572,-0.00513047782762,0.0151366472921
baseline,scene_median,manual,owner_valid_active_seconds,40,17,12,116.9125,81,35.9125,13.2487980769,66.5456695332
baseline,scene_median,manual,point_count_disagreement,33,14,11,0.210547599085,0.299536300327,-0.0889887012416,-0.160769302461,0.00274187527459
baseline,scene_median,manual,reference_geometry_error,31,13,9,0.0549323432981,0.0776418376432,-0.022709494345,-0.0569812478902,0.00497968996948
baseline,scene_median,manual,scope_entropy,40,17,12,0.25632916215,0.479105860259,-0.222776698109,-0.461558658282,-0.0115541824174
baseline,scene_median,manual,scope_non_normal_rate,40,17,12,0.171422101449,0.235670289855,-0.0642481884058,-0.189744591896,0.0332155797103
baseline,scene_median,manual,scope_p_normal,40,17,12,0.171422101449,0.235670289855,-0.0642481884058,-0.189744591896,0.0332155797103
baseline,scene_median,manual,scope_p_oos_geometry,40,17,12,0.0665760869565,0.0446286231884,0.0219474637681,0.00643756644839,0.0401065503432
baseline,scene_median,manual,scope_p_oos_insufficient,40,17,12,0.013125,0.00708333333334,0.00604166666667,0,0.0171428571429
baseline,scene_median,manual,scope_p_oos_open_boundary,40,17,12,0.190126811594,0.180407608696,0.00971920289853,-0.130001186024,0.113844471501
baseline,scene_median,manual,scope_p_oos_split_level,40,17,12,0.0302083333333,0.0264583333333,0.00375,-0.0178611647362,0.0368167892157
baseline,scene_median,manual,within_topology_geometry_dispersion,29,13,10,0.0477595888797,0.0479960422928,-0.000236453413069,-0.0112936419259,0.013663899984
A_all_traits,knn,manual,owner_valid_active_seconds,40,17,12,110.75,84,26.75,2.78027356625,46.5141094771
A_all_traits,knn,manual,point_count_disagreement,33,14,11,0.180464155958,0.459661874773,-0.279197718815,-0.399492985331,-0.126435073851
A_all_traits,knn,manual,reference_geometry_error,31,13,9,0.053592731048,0.0733999694074,-0.0198072383593,-0.0530850834628,0.00367922158153
