method,baseline,algorithm,condition,target,design,n_images,n_buildings,method_MAE,target_only_MAE,delta_MAE,CI_low,CI_high
DX_other_views_feedback_mean,DX_target_feedback_matched,knn,manual,within_topology_geometry_dispersion,leave_building,54,17,0.0497548931322,0.0453891489886,0.00436574414367,-0.000237339423888,0.0101207631669
DX_other_views_feedback_mean,DX_target_feedback_matched,knn,manual,within_topology_geometry_dispersion,leave_supported_room_conservative,54,17,0.0497548931322,0.0453891489886,0.00436574414367,-0.000237339423888,0.0101207631669
DX_other_views_feedback_mean,DX_target_feedback_matched,knn,manual,within_topology_geometry_dispersion,same_room_leave_view,29,10,0.0507830400322,0.0507830400322,0,0,0
DX_other_views_feedback_mean,DX_target_feedback_matched,knn,semi,owner_valid_active_seconds,leave_building,16,9,63.0875,70.4645833334,-7.37708333337,-20.4438333334,-0.335081417645
DX_other_views_feedback_mean,DX_target_feedback_matched,knn,semi,owner_valid_active_seconds,leave_supported_room_conservative,16,9,63.0875,70.4645833334,-7.37708333337,-20.4438333334,-0.335081417645
DX_other_views_feedback_mean,DX_target_feedback_matched,knn,semi,owner_valid_active_seconds,same_room_leave_view,0,0,,,,,
DX_other_views_feedback_mean,DX_target_feedback_matched,knn,semi,point_count_disagreement,leave_building,16,9,0.264034365393,0.225426822574,0.0386075428194,-0.00473313347613,0.108112175499
DX_other_views_feedback_mean,DX_target_feedback_matched,knn,semi,point_count_disagreement,leave_supported_room_conservative,16,9,0.264034365393,0.225426822574,0.0386075428194,-0.00473313347613,0.108112175499
DX_other_views_feedback_mean,DX_target_feedback_matched,knn,semi,point_count_disagreement,same_room_leave_view,0,0,,,,,
DX_other_views_feedback_mean,DX_target_feedback_matched,knn,semi,reference_geometry_error,leave_building,16,9,0.0486671233314,0.0440356059996,0.00463151733178,-0.00713068779035,0.0224960362758
DX_other_views_feedback_mean,DX_target_feedback_matched,knn,semi,reference_geometry_error,leave_supported_room_conservative,16,9,0.0486671233314,0.0440356059996,0.00463151733178,-0.00713068779035,0.0224960362758
DX_other_views_feedback_mean,DX_target_feedback_matched,knn,semi,reference_geometry_error,same_room_leave_view,0,0,,,,,
DX_other_views_feedback_mean,DX_target_feedback_matched,knn,semi,scope_entropy,leave_building,16,9,0.394989903781,0.423347858697,-0.0283579549156,-0.279105643846,0.106372119773
DX_other_views_feedback_mean,DX_target_feedback_matched,knn,semi,scope_entropy,leave_supported_room_conservative,16,9,0.394989903781,0.423347858697,-0.0283579549156,-0.279105643846,0.106372119773
DX_other_views_feedback_mean,DX_target_feedback_matched,knn,semi,scope_entropy,same_room_leave_view,0,0,,,,,
DX_other_views_feedback_mean,DX_target_feedback_matched,knn,semi,scope_non_normal_rate,leave_building,16,9,0.159895833333,0.174826388889,-0.0149305555556,-0.0425950292398,0.0309710550887
DX_other_views_feedback_mean,DX_target_feedback_matched,knn,semi,scope_non_normal_rate,leave_supported_room_conservative,16,9,0.159895833333,0.174826388889,-0.0149305555556,-0.0425950292398,0.0309710550887
DX_other_views_feedback_mean,DX_target_feedback_matched,knn,semi,scope_non_normal_rate,same_room_leave_view,0,0,,,,,
DX_other_views_feedback_mean,DX_target_feedback_matched,knn,semi,scope_p_normal,leave_building,16,9,0.159895833333,0.174826388889,-0.0149305555556,-0.0425950292398,0.0309710550887
DX_other_views_feedback_mean,DX_target_feedback_matched,knn,semi,scope_p_normal,leave_supported_room_conservative,16,9,0.159895833333,0.174826388889,-0.0149305555556,-0.0425950292398,0.0309710550887
DX_other_views_feedback_mean,DX_target_feedback_matched,knn,semi,scope_p_normal,same_room_leave_view,0,0,,,,,
DX_other_views_feedback_mean,DX_target_feedback_matched,knn,semi,scope_p_oos_geometry,leave_building,16,9,0.0506944444444,0.0401041666667,0.0105902777778,-0.00530934343443,0.0225318287037
DX_other_views_feedback_mean,DX_target_feedback_matched,knn,semi,scope_p_oos_geometry,leave_supported_room_conservative,16,9,0.0506944444444,0.0401041666667,0.0105902777778,-0.00530934343443,0.0225318287037
DX_other_views_feedback_mean,DX_target_feedback_matched,knn,semi,scope_p_oos_geometry,same_room_leave_view,0,0,,,,,
DX_other_views_feedback_mean,DX_target_feedback_matched,knn,semi,scope_p_oos_insufficient,leave_building,16,9,0.00399305555556,0.00451388888889,-0.000520833333334,-0.00370370370371,0.00296296296297
DX_other_views_feedback_mean,DX_target_feedback_matched,knn,semi,scope_p_oos_insufficient,leave_supported_room_conservative,16,9,0.00399305555556,0.00451388888889,-0.000520833333334,-0.00370370370371,0.00296296296297
DX_other_views_feedback_mean,DX_target_feedback_matched,knn,semi,scope_p_oos_insufficient,same_room_leave_view,0,0,,,,,
DX_other_views_feedback_mean,DX_target_feedback_matched,knn,semi,scope_p_oos_open_boundary,leave_building,16,9,0.124826388889,0.133159722222,-0.00833333333326,-0.0448436041083,0.0454369588747
DX_other_views_feedback_mean,DX_target_feedback_matched,knn,semi,scope_p_oos_open_boundary,leave_supported_room_conservative,16,9,0.124826388889,0.133159722222,-0.00833333333326,-0.0448436041083,0.0454369588747
DX_other_views_feedback_mean,DX_target_feedback_matched,knn,semi,scope_p_oos_open_boundary,same_room_leave_view,0,0,,,,,
DX_other_views_feedback_mean,DX_target_feedback_matched,knn,semi,scope_p_oos_split_level,leave_building,16,9,0.0305555555556,0.0284722222223,0.00208333333334,-0.0333333333334,0.0370370370371
DX_other_views_feedback_mean,DX_target_feedback_matched,knn,semi,scope_p_oos_split_level,leave_supported_room_conservative,16,9,0.0305555555556,0.0284722222223,0.00208333333334,-0.0333333333334,0.0370370370371
DX_other_views_feedback_mean,DX_target_feedback_matched,knn,semi,scope_p_oos_split_level,same_room_leave_view,0,0,,,,,
