pair_id,image_a,image_b,building,relation_eligible,max_same_capture_angle,median_same_capture_angle,median_center_distance,max_center_distance,predicted_capture_baseline,center_spread_over_baseline,passes_rotation_consistency_at_5deg,passes_rotation_consistency_at_10deg,passes_rotation_consistency_at_20deg,passes_rotation_consistency_at_40deg,rotation_consistency_is_necessary_not_sufficient,all_projectable_candidates,all_predicted_depth_agreement_0.01,all_predicted_depth_agreement_0.05,all_predicted_depth_agreement_0.1,all_relative_depth_error_median,nadir_excluded_projectable_candidates,nadir_excluded_predicted_depth_agreement_0.01,nadir_excluded_predicted_depth_agreement_0.05,nadir_excluded_predicted_depth_agreement_0.1,nadir_excluded_relative_depth_error_median
pair0000,2t7WUuJeko7_073656b4030d4389ba7f304298be1d73,2t7WUuJeko7_8d51f41d9ce04dfdaae944da9c6d3847,2t7WUuJeko7,True,108.151514375,24.4522832469,0.335134983063,0.803076922894,0.356307655573,2.25388622284,False,False,False,False,True,28412,0.0639166549345,0.273722370829,0.496550753203,0.100728105754,27868,0.0647337447969,0.277522606574,0.503193627099,0.0993713214993
pair0001,2t7WUuJeko7_1a0d730696cc4057b0037a75c8ef6b59,2t7WUuJeko7_218fdf5321f9482e85e828c56f2c0c94,2t7WUuJeko7,True,122.595513493,28.5528453623,0.356902897358,0.497103899717,0.428463816643,1.16020047665,False,False,False,False,True,40629,0.128971916611,0.50705161338,0.663639272441,0.0485777966678,38294,0.135922076566,0.53269441688,0.693137306105,0.0438438355923
pair0002,2t7WUuJeko7_218fdf5321f9482e85e828c56f2c0c94,2t7WUuJeko7_383d84c26afa4fae9e68b89d445e091e,2t7WUuJeko7,True,68.8091491587,23.2702426448,0.394465446472,0.800866782665,0.52492082119,1.52569067478,False,False,False,False,True,32499,0.0508323333026,0.23289947383,0.53081633281,0.0941075906157,31990,0.0516098780869,0.235167239762,0.530509534229,0.0941041782498
pair0003,2t7WUuJeko7_27af7fd637014142a4f530cfd4557189,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,True,75.9575286156,27.8101899541,0.302834093571,0.553900182247,0.566411793232,0.977910757065,False,False,False,False,True,34978,0.097861512951,0.37981016639,0.546457773458,0.0820077322423,34722,0.0983814296411,0.381544841887,0.54838430966,0.0814935974777
pair0004,2t7WUuJeko7_383d84c26afa4fae9e68b89d445e091e,2t7WUuJeko7_8898d3cea28d404f8f69c3a3bce52371,2t7WUuJeko7,True,99.5766992598,35.6590647757,0.360686838627,1.28183293343,1.24258780479,1.03158342838,False,False,False,False,True,44545,0.0420473678303,0.21614098103,0.429498260186,0.11827852577,41824,0.0428223029839,0.221188791125,0.438791124713,0.116208489984
pair0005,2t7WUuJeko7_53937db036374126830e0f1203b04ead,2t7WUuJeko7_5db6d45b905f458a8290e69ff3e8d820,2t7WUuJeko7,True,148.10162819,22.5745715807,0.330463767052,0.941087007523,0.889541566372,1.05794608593,False,False,False,False,True,30862,0.0464001036874,0.180934482535,0.286468796578,0.21396740526,28391,0.048571730478,0.186291430383,0.283188334331,0.21867659688
pair0006,2t7WUuJeko7_5db6d45b905f458a8290e69ff3e8d820,2t7WUuJeko7_b72b7b78675f429a9f382a44e551cffc,2t7WUuJeko7,True,86.0403698149,39.5322415234,0.276331305504,0.504497170448,0.328849136829,1.53412950039,False,False,False,False,True,43980,0.0829922692133,0.367849022283,0.55261482492,0.0823750682175,41620,0.0819557904853,0.363647284959,0.549783757809,0.0834636352956
pair0007,2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7_9039d42e4ef4406fa57a2fbd2daba6cf,2t7WUuJeko7,True,47.1506990208,15.7980018445,0.403052210808,0.651153326035,0.695248365402,0.936576545238,False,False,False,False,True,37311,0.157299455925,0.514245128782,0.698426737423,0.0469250716269,35851,0.157345680734,0.515104181194,0.70131934953,0.046697974205
pair0008,2t7WUuJeko7_8898d3cea28d404f8f69c3a3bce52371,2t7WUuJeko7_edc7b2c25f054ce8992ae3fb66e80881,2t7WUuJeko7,True,93.7525820306,28.2390617005,0.40912091732,0.913045465946,0.790433704853,1.15511965752,False,False,False,False,True,38600,0.0382124352332,0.31310880829,0.535466321244,0.0893798097968,36827,0.0393461319141,0.324300105901,0.53455345263,0.088902965188
pair0009,2t7WUuJeko7_8d51f41d9ce04dfdaae944da9c6d3847,2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,2t7WUuJeko7,True,99.8802491262,29.6036431882,0.367502987385,0.91406327486,0.542984843254,1.68340480328,False,False,False,False,True,45598,0.023531733848,0.211039957893,0.403022062371,0.135971866548,43462,0.0233537342966,0.209907505407,0.396185173255,0.138253495097
