case_id,model,head,distance,status
V33_other_view,Bi-Layout,enclosed,0.07254983741732157,computable
V33_other_view,Bi-Layout,extended,0.06890616192212218,computable
V33_other_view,HoHoNet,single,0.22651535791769162,computable
V07,Bi-Layout,enclosed,,odd_or_insufficient
V07,Bi-Layout,extended,0.3433978464217068,computable
V07,HoHoNet,single,0.5718106482678089,computable
V31,Bi-Layout,enclosed,0.37387098877308733,computable
V31,Bi-Layout,extended,0.3676451625739139,computable
V31,HoHoNet,single,0.3859224857087673,computable
