pool,k,partitions,expected_tv,expected_missing_mass,expected_cluster_fraction
all_archived,1,51,0.3200002736440564,0.3200002736440564,0.4079275299863535
all_archived,2,51,0.2594346956972042,0.21300046234998932,0.4818073447186832
all_archived,3,51,0.22144343135416278,0.17007863507774826,0.5281666565920311
all_archived,4,51,0.1958444848777509,0.14352173008387842,0.5665193711505975
all_archived,5,51,0.17431911693749064,0.12398416954255807,0.6005248142207068
all_archived,6,51,0.15670386564979627,0.10841977591237449,0.6315117465932035
all_archived,7,51,0.14490431241837892,0.09548298345247509,0.6601700398435831
all_archived,8,51,0.13287078352841492,0.08444485827544422,0.6869378763890468
all_archived,9,51,0.12209173613670464,0.07485432298368307,0.7121258149365962
all_archived,10,51,0.11250073949073737,0.06640673801998681,0.7359680869839409
all_archived,11,51,0.10279649954257403,0.05888385361257301,0.7586481916610716
all_archived,12,51,0.09407614068183463,0.0521225955128383,0.7803135919681561
all_archived,13,51,0.08677171826553653,0.045997152573203935,0.8010850426010181
all_archived,14,51,0.08051020379028616,0.040407997577175815,0.8210628818291422
all_archived,15,51,0.07424983376208692,0.03527486013930272,0.8403314223777947
all_archived,16,51,0.06783075600662584,0.030532080133822533,0.8589620747055962
all_archived,17,51,0.061149026035515364,0.026125455956134257,0.8770155910253308
all_archived,18,51,0.05483566813153491,0.022010064777441274,0.8945436870795215
all_archived,19,51,0.04817568611788731,0.018148723658620032,0.9115902260659903
all_archived,20,51,0.04144925196531575,0.014510863919348296,0.9281921055529628
current20,1,51,0.31035223074737145,0.31035223074737145,0.4079275299863535
current20,2,51,0.25090583506770076,0.2112899160485646,0.4738701485992508
current20,3,51,0.21357904928287885,0.17002449666913258,0.5155497708155087
current20,4,51,0.18874206403266605,0.1442252841338539,0.5497056215692773
current20,5,51,0.16786734846655035,0.12521450053693034,0.5796733861342426
current20,6,51,0.15093843067650106,0.1101641829254375,0.6066766950555195
current20,7,51,0.1398467224939753,0.09778131292531142,0.6313734818138046
current20,8,51,0.12847190781631723,0.08733775501426914,0.6541883006543361
current20,9,51,0.11828223277223816,0.07836908129995633,0.6754230121039445
current20,10,51,0.1093907535295617,0.07055700798308266,0.6953038815700443
current20,11,51,0.10041754356341269,0.06367345734694678,0.714005821732784
current20,12,51,0.09250118419513002,0.057549556684797755,0.731666918555767
current20,13,51,0.08597968912136958,0.052056809301903054,0.7483980548417051
current20,14,51,0.0803701629236071,0.04709519991588772,0.7642895892579465
current20,15,51,0.07472550763957453,0.04258555496248797,0.7794160503104685
current20,16,51,0.06907719540525793,0.03846463006038755,0.7938394002781182
current20,17,51,0.06336620419463689,0.0346820041693847,0.8076112368024133
current20,18,51,0.05812145058692374,0.031198197063252924,0.8207742017184742
current20,19,51,0.05242549986021517,0.02798360548232671,0.8333628109363403
current20,20,51,0.04646862089317333,0.025017924672656133,0.8454038880509469
